FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,MT,,$0,1,Transient non-community system,,30093,,2 BAR LAZY H CAMPGROUND,59701,08,,Y,0,1,,BUTTE,,,MT0004255,VVVVVVVVVVVSV,,,45.97876,Zip Code Centroid,1,SILVER BOW COUNTY,32,,110050738804,UNK,10000,SILVER BOW,-112.514705
30063,,,Y,MT,17010204,$0,1,Community water system,,30063,,2727 WEST CENTRAL DUPLEXES,59804,08,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,MISSOULA,,,MT0000829,VVV__________,9.823,170102051603,46.85057,ADDRESS MATCHING-HOUSE NUMBER,0,MISSOULA COUNTY,5,59804,110012962703,2727 WEST CENTRAL,50,MISSOULA,-114.04678
,,,Y,MT,,$0,1,Transient non-community system,,,,3 NORTH BAR AND GRILL,,08,,N,0,0,,,,,MT0001711,_____________,,,45.936987,County Centroid,0,,,,110052960881,,30000,YELLOWSTONE,-108.276656
,,,Y,MT,,$0,1,Transient non-community system,,,,320 RANCH,99999,08,,Y,0,1,,UNK,,,MT0001291,_V__VVVSSVVVV,,,45.535559,County Centroid,1,,10,,110050539360,GALLATIN GATEWAY,30000,GALLATIN,-111.173443
,,,Y,MT,,$0,1,Transient non-community system,,30049,,7 R GUEST RANCH,59648,08,,N,0,1,,WOLF CREEK,,,MT0004383,VVVVVV_______,,,47.02439,Zip Code Centroid,0,LEWIS AND CLARK COUNTY,31,,110050628727,UNK,10000,LEWIS AND CLARK,-112.019136
,,,Y,MT,,$0,1,Transient non-community system,,30039,,7TH DAY ADVENTIST/CHRISTIAN SCHOOL,59840,08,,N,0,1,,HAMILTON,,,MT0004650,_VVVV________,,,46.232352,Zip Code Centroid,0,GRANITE COUNTY,2,,110050692620,UNK,10000,RAVALLI,-114.141962
,,,Y,MT,,$0,1,Transient non-community system,,30003,,7TH RANCH RV CAMP,59031,08,,N,0,1,,GARRYOWEN,,,MT0003832,_VV______V___,,,45.528474,Zip Code Centroid,0,BIG HORN COUNTY,8,,110053031562,UNK,10000,BIG HORN,-107.418297
,,,Y,MT,,$0,1,Transient non-community system,,,,87 CASINO BAR AND GRILL  THE,,08,,N,0,0,,,,,MT0001419,_____________,,,47.032558,County Centroid,0,,,,110050547253,,30000,JUDITH BASIN,-110.30532
,,,Y,MT,,$0,1,Transient non-community system,,30029,,A & W RESTAURANT AND HELDSTAB,59912,08,,N,0,0,,COLUMBIA FALLS,,,MT0000907,_____________,,,48.385182,Zip Code Centroid,0,FLATHEAD COUNTY,,,110053023544,UNK,10000,FLATHEAD,-114.210972
,,,Y,MT,,$0,1,Non-Transient non-community system,,30003,,ABSALOKA MINE,59034,08,,N,0,0,,HARDIN,,,MT0000417,_____________,,,45.86186,Zip Code Centroid,0,BIG HORN COUNTY,,,110053006322,UNK,10000,BIG HORN,-107.681557
,,,Y,MT,,$0,1,Community water system,,30095,,ABSAROKEE WATER AND SEWER DIST,59001,08,,N,0,1,,ABSAROKEE,,,MT0000003,__________V__,,,45.481471,Zip Code Centroid,0,STILLWATER COUNTY,1,,110012972890,UNK,10000,STILLWATER,-109.456194
,,,Y,MT,,$0,1,Transient non-community system,,30031,,ABUNDANT LIFE CHURCH,59715,08,,N,0,1,,BOZEMAN,,,MT0004488,VVVVVVVVVVV__,,,45.695299,Zip Code Centroid,0,GALLATIN COUNTY,58,,110052814059,UNK,10000,GALLATIN,-111.022873
,,,Y,MT,,$0,1,Community water system,,30005,,AGNES LEGGINS,59526,08,,N,2,0,,HARLEM,,,083090049,____________U,,,48.529916,Zip Code Centroid,0,BLAINE COUNTY,,,110037084142,"RR 1, BOX 61",10000,BLAINE,-108.792711
,,,Y,MT,,$0,1,Transient non-community system,,,,AIRPORT INN,,08,,Y,0,1,,,,,MT0001187,___VVVVVVVVVV,,,46.261481,County Centroid,1,,5,,110052889718,,30000,CUSTER,-105.550508
,,,Y,MT,,$0,1,Transient non-community system,,,,AITKENS QUICK STOP   LIBBY,,08,,N,0,1,,,,,MT0003306,VVVVVVVV_____,,,48.542232,County Centroid,0,,46,,110050551880,,30000,LINCOLN,-115.404343
,,,Y,MT,,$0,1,Transient non-community system,,,,AITKENS QUIK STOP   NOXON,,08,,N,0,1,,,,,MT0003962,________VV___,,,47.756469,County Centroid,0,,4,,110053025677,,30000,SANDERS,-115.180225
,,,Y,MT,,$0,1,Community water system,,,,ALBERTON  TOWN OF,,08,,N,0,0,,ALBERTON,,,MT0000015,_____________,,,47.004436,Place Name Centroid,0,,2,,110012973149,,20000,MINERAL,-114.485275
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  ANACONDA NO 2022,,08,,N,0,0,,,,,MT0004171,V____________,,,47.051177,State Centroid,0,,3,,110052901213,,100000,DEER LODGE,-109.634817
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  BELGRADE NO 2009,,08,,N,0,0,,,,,MT0004114,_____________,,,45.535559,County Centroid,0,,2,,110052747890,,30000,GALLATIN,-111.173443
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  BOZEMAN NO 2006,,08,,N,0,0,,,,,MT0004118,_____________,,,45.535559,County Centroid,0,,,,110052748014,,30000,GALLATIN,-111.173443
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  BUTTE NO 2007,,08,,N,0,0,,,,,MT0004162,_____________,,,47.051177,State Centroid,0,,3,,110052886784,,100000,SILVER BOW,-109.634817
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  CUT BANK NO 2033,,08,,N,0,0,,,,,MT0003514,_____________,,,48.705671,County Centroid,0,,,,110050720029,,30000,GLACIER,-112.990502
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  GLASGOW NO 2012,,08,,N,0,0,,,,,MT0004122,_____________,,,48.365713,County Centroid,0,,,,110052748096,,30000,VALLEY,-106.687883
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  GLENDIVE NO 2023,,08,,N,0,0,,,,,MT0003381,_____________,,,47.272425,County Centroid,0,,3,,110052910150,,30000,DAWSON,-104.901027
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  GREAT FALLS 10TH AVE NO 2037,,08,,N,0,0,,,,,MT0003379,_____________,,,47.316443,County Centroid,0,,,,110052910114,,30000,CASCADE,-111.350571
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  GT FLS 3RD AVE NW NO 2035,,08,,N,0,0,,,,,MT0003515,_____________,,,47.316443,County Centroid,0,,,,110050720047,,30000,CASCADE,-111.350571
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  HARLEM NO 2032,,08,,N,0,0,,,,,MT0004161,_____________,,,48.428282,County Centroid,0,,,,110052886757,,30000,BLAINE,-108.967648
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  HELENA NO 2004,,08,,N,0,0,,,,,MT0004115,_____________,,,47.122133,County Centroid,0,,,,110052747916,,30000,LEWIS AND CLARK,-112.382954
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  LIVINGSTON NO 2042,,08,,N,0,0,,,,,MT0003676,_____________,,,45.421905,County Centroid,0,,,,110053034701,,30000,PARK,-110.532798
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  MALTA NO 2013,,08,,N,0,0,,,,,MT0004117,_____________,,,48.250155,County Centroid,0,,,,110052747989,,30000,PHILLIPS,-107.928833
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  MILES CITY NO 2039,,08,,N,0,0,,,,,MT0003382,_____________,,,46.261481,County Centroid,0,,,,110052920130,,30000,CUSTER,-105.550508
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  MISSOULA NO 2010,,08,,N,0,0,,,,,MT0004120,_____________,,,47.027263,County Centroid,0,,,,110052748069,,30000,MISSOULA,-113.892681
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  MISSOULA NO 2020,,08,,N,0,0,,,,,MT0004119,_____________,,,47.027263,County Centroid,0,,,,110052748041,,30000,MISSOULA,-113.892681
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  MISSOULA NO 2024,,08,,N,0,0,,,,,MT0004163,_____________,,,47.027263,County Centroid,0,,,,110052886800,,30000,MISSOULA,-113.892681
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  MISSOULA NO 2043,,08,,N,0,0,,,,,MT0003787,_____________,,,47.027263,County Centroid,0,,,,110050527033,,30000,MISSOULA,-113.892681
,,,Y,MT,,$0,1,Transient non-community system,,,,ALBERTSONS  SHELBY NO 2014,,08,,N,0,0,,,,,MT0004169,_____________,,,48.645052,County Centroid,0,,,,110052886926,,30000,TOOLE,-111.733493
30049,,,Y,MT,10030101,$0,1,Transient non-community system,,30049,,ALBERTSONS 2008,59602,08,,N,0,0,CENTER OF A FACILITY OR STATION,HELENA,,,MT0004116,_____________,8.062,100301011406,46.61817,ADDRESS MATCHING-HOUSE NUMBER,0,LEWIS AND CLARK COUNTY,,59602,110046441622,3151 N MONTANA AVE,30,LEWIS AND CLARK,-112.02094
,,,Y,MT,,$0,1,Transient non-community system,,30111,,ALBERTSONS BLGS CENTRAL NO 2030,59101,08,,N,0,1,,BILLINGS,,,MT0003409,__VV_________,,,45.75533,Zip Code Centroid,0,YELLOWSTONE COUNTY,2,,110052868116,UNK,10000,YELLOWSTONE,-108.535473
,,,Y,MT,,$0,1,Transient non-community system,,30111,,ALBERTSONS BLGS GRAND AVE NO 2041,59101,08,,N,0,1,,BILLINGS,,,MT0003650,__VVV________,,,45.75533,Zip Code Centroid,0,YELLOWSTONE COUNTY,4,,110050760271,UNK,10000,YELLOWSTONE,-108.535473
,,,Y,MT,,$0,1,Transient non-community system,,30111,,ALBERTSONS BLGS NO 2026,59101,08,,N,0,1,,BILLINGS,,,MT0003931,__VV_________,,,45.75533,Zip Code Centroid,0,YELLOWSTONE COUNTY,2,,110050604495,UNK,10000,YELLOWSTONE,-108.535473
,,,Y,MT,,$0,1,Transient non-community system,,30111,,ALBERTSONS BLGS NO 2027,59101,08,,N,0,1,,BILLINGS,,,MT0003380,__VV_________,,,45.75533,Zip Code Centroid,0,YELLOWSTONE COUNTY,2,,110052910132,UNK,10000,YELLOWSTONE,-108.535473
,,,Y,MT,,$0,1,Transient non-community system,,,,ALCAN BAR AND CAFE,,08,,N,0,0,,,,,MT0000812,_____________,,,47.027263,County Centroid,0,,,,110052817190,,30000,MISSOULA,-113.892681
,,,Y,MT,,$0,1,Non-Transient non-community system,,,,ALDER SCHOOL,,08,,Y,0,1,,,,,MT0004680,VVVVVVVVVVVVV,,,45.319288,County Centroid,1,,5,,110050636200,,30000,MADISON,-111.917328
30111,,,Y,MT,10070004,$0,1,Community water system,,30111,,ALDINGER ACRES SUBDIVISION,59106,08,,N,0,0,CENTER OF A FACILITY OR STATION,BILLINGS,,,MT0003552,V____________,7.658,100700041006,45.77826,ADDRESS MATCHING-HOUSE NUMBER,0,YELLOWSTONE COUNTY,2,59106,110020293332,4707 S WOODHAVEN WAY,30,YELLOWSTONE,-108.63626
,,,Y,MT,,$0,1,Transient non-community system,,,,ALETHEIA CHRISTIAN FELLOWSHIP,,08,,N,0,0,,,,,MT0004646,_____________,,,48.314696,County Centroid,0,,,,110050629334,,30000,FLATHEAD,-114.054319
,,,Y,MT,,$0,1,Transient non-community system,,,,ALL SAINTS EPISCOPAL CHURCH,,08,,N,0,0,,,,,MT0004604,_____________,,,48.314696,County Centroid,0,,,,110063371881,,30000,FLATHEAD,-114.054319
