FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,1,,Y,NE,,$0,,NE3120574,,133 ESTATES,,07,,N,1,1,,BLAIR,,,,VVV_________U,,41.541555,Place Name Centroid,0,,12,110013253326,,20000,WASHINGTON,-96.135287
,,,Y,NE,,$0,,NE3120018,,1733 ESTATES ASSOCIATES,,07,,N,0,0,,,,,,____________U,,40.855226,County Centroid,0,,,110013254664,,30000,BUFFALO,-99.074983
,,,Y,NE,,$0,,NE3150075,,7 MILE MINI MART,,07,,Y,0,1,,,,,,VVVVV___VVVVU,,41.226072,County Centroid,1,,2,110050851208,,30000,BUTLER,-97.13204
31059,,03/10/2010,Y,NE,10270203,$0,,NE3120846,"$40,000",ABENGOA BIOENERGY CORP,68467,07,68354,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,YORK,,,31059,____________U,102702030602,40.69874,ADDRESS MATCHING-HOUSE NUMBER,1,FILLMORE COUNTY,,110000606504,1414 COUNTY ROAD O,50,YORK,-97.567402
,,,Y,NE,,$0,,NE3121230,,ABENGOA BIOENERGY OF NEBRASKA,,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,40.855226,County Centroid,1,,6,110050740025,,30000,BUFFALO,-99.074983
,,,Y,NE,,$0,,NE3102305,,"ABIE, VILLAGE OF",,07,,N,0,0,,,,,,____________U,,41.226072,County Centroid,0,,,110013264305,,30000,BUTLER,-97.13204
,,,Y,NE,,$0,,NE3120859,,ACKLEY VALLEY WATER SYSTEM,,07,,N,0,0,,,,,,____________U,,41.194404,County Centroid,0,,,110050860948,,30000,KEITH,-101.644474
,,,Y,NE,,$0,,NE3150004,,ADAMS CO DIST 90,,07,,N,0,0,,,,,,____________U,,40.520632,County Centroid,0,,,110050919342,,30000,ADAMS,-98.500044
,,,Y,NE,,$0,,NE3121003,,ADAMS LAND AND CATTLE,,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,41.393893,County Centroid,1,,6,110050918897,,30000,CUSTER,-99.726866
,,,Y,NE,,$0,1,NE3106712,,"ADAMS, VILLAGE OF",,07,,N,0,0,,,,,,____________U,,40.255234,County Centroid,0,,,110013261095,,30000,GAGE,-96.683453
31141,,,Y,NE,10200201,$0,,NE3150534,,ADM ALLIANCE NUTRITION INC,68602,07,68601,N,0,0,,COLUMBUS,,,31037,____________U,102002010302,41.4374,,0,COLFAX COUNTY,,110000596882,2174 E 59TH AVE,17472,PLATTE,-97.2525
,,,Y,NE,,$0,,NE3120843,,ADMIRALS COVE,,07,,N,0,1,,,,,,VVVVVV______U,,41.194404,County Centroid,0,,,110050931346,,30000,KEITH,-101.644474
,,,Y,NE,,$0,,NE3120720,,AEP (AMERICAN ELECTRIC POWER),,07,,N,0,0,,,,,,____________U,,42.215665,County Centroid,0,,,110050921259,,30000,BOX BUTTE,-103.087821
,,,Y,NE,,$0,,NE3150649,,AGATE FOSSIL BEDS,,07,,N,0,0,,,,,,____________U,,42.483806,County Centroid,0,,,110050908915,,30000,SIOUX,-103.742605
,,,Y,NE,,$0,,NE3120830,,AINSWORTH MUNICIPAL GOLF,,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,42.34939,County Centroid,1,,3,110050814801,,30000,BROWN,-99.923176
,,,Y,NE,,$0,,NE3101702,,"AINSWORTH, CITY OF",,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,42.34939,County Centroid,1,,3,110013266090,,30000,BROWN,-99.923176
,,,Y,NE,,$0,,NE3120936,,AKSARBEN AQUARIUM - NG & PC,,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,41.115064,County Centroid,1,,3,110050835245,,30000,SARPY,-96.109125
,,,Y,NE,,$0,,NE3120064,,ALBEE'S SUBDIVISION 3,,07,,N,0,1,,,,,,___V________U,,41.194404,County Centroid,0,,2,110050815917,,30000,KEITH,-101.644474
,,,Y,NE,,$0,,NE3150031,,ALBION COUNTRY CLUB,,07,,N,0,0,,,,,,____________U,,41.7054,County Centroid,0,,,110050810574,,30000,BOONE,-98.066794
,,,Y,NE,,$0,3,NE3101102,,"ALBION, CITY OF",,07,,N,0,0,,,,,,____________U,,41.7054,County Centroid,0,,,110013265885,,30000,BOONE,-98.066794
,,,Y,NE,,$0,,NE3120527,,ALDA GIT N SPLIT #33,,07,,N,0,1,,,,,,_VVVVV______U,,40.866023,County Centroid,0,,3,110050688083,,30000,HALL,-98.498004
,,,Y,NE,,$0,,NE3107909,,"ALDA, VILLAGE OF",,07,,N,0,0,,,,,,____________U,,40.866023,County Centroid,0,,,110013261567,,30000,HALL,-98.498004
,1,,Y,NE,,$0,,NE3150361,,ALEXANDRIA SRA - NG & PC,,07,,Y,1,1,,,,,,VVVVVVVVVSVVU,,40.175736,County Centroid,1,,15,110050838625,,30000,JEFFERSON,-97.143103
,,,Y,NE,,$0,,NE3116910,,"ALEXANDRIA, VILLAGE OF",,07,,N,0,0,,,,,,____________U,,40.173845,County Centroid,0,,,110013256190,,30000,THAYER,-97.596263
,,,Y,NE,,$0,,NE3121499,,ALL METALS MARKET,,07,,N,0,0,,,,,,____________U,,41.223152,County Centroid,0,,,NE3121499,,30000,Saunders,-96.640923
,,,Y,NE,,$0,,NE3105101,,"ALLEN, VILLAGE OF",,07,,N,0,0,,,,,,____________U,,42.48528,County Centroid,0,,,110013261898,,30000,DIXON,-96.855862
,,,Y,NE,,$0,,NE3120559,,ALLENS OF HASTINGS,,07,,N,0,0,,,,,,____________U,,40.520632,County Centroid,0,,,110050892780,,30000,ADAMS,-98.500044
,,,Y,NE,,$0,,NE3150038,,ALLIANCE AIRPORT,,07,,N,0,1,,,,,,VVVVVVVVVV__U,,42.215665,County Centroid,0,,3,110050810761,,30000,BOX BUTTE,-103.087821
,,,Y,NE,,$0,,NE3121228,,ALLIANCE COUNTRY CLUB,,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,42.215665,County Centroid,1,,3,110050739965,,30000,BOX BUTTE,-103.087821
,,,Y,NE,,$0,,NE3101302,,"ALLIANCE, CITY OF",,07,,N,0,0,,,,,,____________U,,42.215665,County Centroid,0,,,110012902118,,30000,BOX BUTTE,-103.087821
,,,Y,NE,,$0,,NE3108307,,"ALMA, CITY OF",,07,,N,0,0,,,,,,____________U,,40.178766,County Centroid,0,,,110013259534,,30000,HARLAN,-99.403418
,1,,Y,NE,,$0,,NE3102508,,"ALVO, VILLAGE OF",,07,,Y,1,1,,,,,,VVVVVVSSSSVVU,,40.909878,County Centroid,1,,46,110013264617,,30000,CASS,-96.140609
,,,Y,NE,,$0,,NE3121128,,AMERICOLD LOGISTICS INC,,07,,Y,0,1,,,,,,_______VVVVVU,,40.516802,County Centroid,1,,6,110050786324,,30000,SALINE,-97.131755
,,,Y,NE,,$0,,NE3120041,,"AMHERST, VILLAGE OF",,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,40.855226,County Centroid,1,,3,110013254860,,30000,BUFFALO,-99.074983
,,,Y,NE,,$0,,NE3104103,,"ANSELMO, VILLAGE OF",,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,41.393893,County Centroid,1,,12,110013263431,,30000,CUSTER,-99.726866
,,,Y,NE,,$0,,NE3104104,,"ANSLEY, VILLAGE OF",,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,41.393893,County Centroid,1,,3,110013263486,,30000,CUSTER,-99.726866
,,,Y,NE,,$0,,NE3150016,,ANTELOPE COUNTRY CLUB,,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,42.183225,County Centroid,1,,17,110050919574,,30000,ANTELOPE,-98.058037
,,,Y,NE,,$0,,NE3120993,,"APACHE CAMPER CENTER, INC",,07,,N,0,0,,,,,,____________U,,40.783547,County Centroid,0,,,110050719184,,30000,LANCASTER,-96.688658
,,,Y,NE,,$0,,NE3120687,,APACHE ENTERPRISES,,07,,N,0,0,,,,,,____________U,,41.909929,County Centroid,0,,,110050782051,,30000,MADISON,-97.606856
,,,Y,NE,,$0,,NE3121043,,AQUA EXPRESS/WATER ON TAP,,07,,N,0,0,,,,,,____________U,,41.297091,County Centroid,0,,,110050889437,,30000,DOUGLAS,-96.154066
,,,Y,NE,,$0,,NE3106506,,"ARAPAHOE, CITY OF",,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,40.191991,County Centroid,1,,9,110013260808,,30000,FURNAS,-99.909661
,1,,Y,NE,,$0,,NE3120314,,ARBYS RESTAURANT,,07,,Y,1,1,,,,,,VVVVVVVVVVVVU,,40.873056,County Centroid,1,,8,110050865649,,30000,YORK,-97.596742
,,,Y,NE,,$0,,NE3117503,,"ARCADIA, VILLAGE OF",,07,,Y,0,1,,,,,,VVVVVVVVVVVVU,,41.564094,County Centroid,1,,6,110013256396,,30000,VALLEY,-98.983484
,,,Y,NE,,$0,,NE3117901,,"ARLINGTON, VILLAGE OF",,07,,N,0,0,,,,,,____________U,,41.533979,County Centroid,0,,,110013256421,,30000,WASHINGTON,-96.224574
,,,Y,NE,,$0,,NE3121319,,ARMY NATIONAL GUARD CATS - MEAD,,07,,N,0,1,,,,,,VVVVVVVVVVV_U,,41.223152,County Centroid,0,,,110063333012,,30000,SAUNDERS,-96.640923
