FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
33011,,,Y,NH,01070006,$0,1,Non-Transient non-community system,,33011,,101 PLAZA/FEDERAL BAKE SHOP,03110,01,,N,0,0,CENTER OF A FACILITY OR STATION,BEDFORD,,,NH0196020,_____________,6.338,010700060905,42.93836,ADDRESS MATCHING-HOUSE NUMBER,0,HILLSBOROUGH COUNTY,,03110,110017740603,209 RTE 101,30,HILLS,-71.52486
,,,Y,NH,,$0,1,Transient non-community system,,33001,,104 DINER THE,03256,01,,Y,0,1,,NEW HAMPTON,,,NH1698080,_VVVVVVVVVVVV,,,43.645778,Zip Code Centroid,1,BELKNAP COUNTY,3,,110044780270,752 RTE 104,10000,BELKNAP,-71.606432
,,,Y,NH,,$0,1,Transient non-community system,,,,108 EXPRESS MINI MART,,01,,Y,0,1,,,,,NH1758050,___VVVVVVVVVV,,,42.98936,County Centroid,1,,8,,110051100599,,30000,ROCKINGHAM,-71.099437
,,,Y,NH,,$0,1,Non-Transient non-community system,,,,115/119 EMERSON RD,,01,,N,0,0,,,,,NH1566040,_____________,,,43.67086,State Centroid,0,,,,110063347775,,100000,HILLS,-71.581128
33011,,,Y,NH,01070006,$0,1,Non-Transient non-community system,,33011,,124 BEDFORD CENTER RD,03110,01,,N,0,0,CENTER OF A FACILITY OR STATION,BEDFORD,,,NH0196330,_____________,6.354,010700060905,42.93893,ADDRESS MATCHING-HOUSE NUMBER,0,HILLSBOROUGH COUNTY,,03110,110046549829,124 BEDFORD CENTER RD,30,HILLS,-71.52485
,,,Y,NH,,$0,1,Non-Transient non-community system,,,,149/151 PORTSMOUTH AVE,,01,,N,0,0,,,,,NH2236190,_____________,,,42.98936,County Centroid,0,,,,NH2236190,,30000,Rockingham,-71.099437
,,,Y,NH,,$0,1,Transient non-community system,,,,153 LAFAYETTE RD WATER SYSTEM,,01,,N,0,0,,,,,NH1048120,_____________,,,42.98936,County Centroid,0,,,,110063374110,,30000,ROCKINGHAM,-71.099437
,,,Y,NH,,$0,1,Community water system,2,33009,,175 ESTATES,03223,01,,Y,0,1,,THORNTON,,,NH2342010,_______VVSSSV,,,43.858445,Zip Code Centroid,1,GRAFTON COUNTY,28,,110017737564,SUNRISE HILL RD,10000,GRAFTON,-71.644782
,,,Y,NH,,$0,1,Non-Transient non-community system,,,,18 CLINTON DR BLDG,,01,,N,0,0,,,,,NH1176100,_____________,,,42.911643,County Centroid,0,,,,NH1176100,,30000,Hillsborough,-71.723101
33003,,,Y,NH,01060002,$0,1,Community water system,,33003,,18 HUGHES LANE / EFFINGHAM,03814,01,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,CENTER OSSIPEE,,,NH0732040,_____________,2.523,010600020804,43.78081,ADDRESS MATCHING-BLOCK FACE,0,CARROLL COUNTY,7,03814,110044781019,RYEFIELD RD,1000,CARROLL,-71.09693
