FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,#45 SOUTH PLAZA PHASE #1,,02,,N,0,0,,,,,NJ1414409,_____________,,,40.858581,County Centroid,0,,,,110051212228,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,1 MILL RIDGE LANE,,02,,N,0,0,,,,,NJ1406326,_____________,,,40.858581,County Centroid,0,,3,,110050970008,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Transient non-community system,,,,10 MILL POND DRIVE LLC,,02,,N,0,0,,,,,NJ1913324,_____________,,,41.137424,County Centroid,0,,,,110063374058,,30000,SUSSEX,-74.691855
,,,Y,NJ,,$0,1,Transient non-community system,,,,10-31 INC,,02,,N,0,0,,,,,NJ2104342,_____________,,,40.853524,County Centroid,0,,,,110049212641,,30000,WARREN,-75.009542
,,,Y,NJ,,$0,1,Transient non-community system,,,,180 GOLDMINE ROAD COMPLEX,,02,,N,0,1,,,,,NJ1427404,__________V__,,,40.858581,County Centroid,0,,4,,110050982308,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Transient non-community system,,,,186 GOLDMINE ROAD COMPLEX,,02,,N,0,0,,,,,NJ1427405,_____________,,,40.858581,County Centroid,0,,,,110050982326,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Transient non-community system,,,,1ST PRESBYTERIAN CHURCH OF BERNARDSVILLE,,02,,N,0,0,,,,,NJ1803305,_____________,,,40.565522,County Centroid,0,,1,,110049350304,,30000,SOMERSET,-74.61993
,1,,Y,NJ,,$0,1,Transient non-community system,,,,23 PETROLEUM INC,,02,,N,1,0,,,,,NJ1431309,_____________,,,40.858581,County Centroid,0,,4,,110051114833,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Transient non-community system,,,,2490 PROFESSIONAL CENTER,,02,,N,0,1,,,,,NJ1106343,_________V___,,,40.282503,County Centroid,0,,1,,110051036829,,30000,MERCER,-74.703724
,,,Y,NJ,,$0,1,Transient non-community system,,,,287 BUILDING CORPORATION,,02,,N,0,0,,,,,NJ0428303,_____________,,,39.802352,County Centroid,0,,,,110051184222,,30000,CAMDEN,-74.961251
,,,Y,NJ,,$0,1,Transient non-community system,,,,2915 ROUTE 23 SOUTH,,02,,N,0,0,,,,,NJ1615305,_____________,,,41.033763,County Centroid,0,,,,110049280103,,30000,PASSAIC,-74.300308
,,,Y,NJ,,$0,1,Transient non-community system,,,,2ND PENTECOSTAL CHURCH,,02,,N,0,0,,,,,NJ1101322,_____________,,,40.282503,County Centroid,0,,4,,110051095658,,30000,MERCER,-74.703724
,,,Y,NJ,,$0,1,Transient non-community system,,,,2ND PRESBYTERIAN CHURCH/,,02,,N,0,0,,,,,NJ2117311,_____________,,,40.853524,County Centroid,0,,,,110051220727,,30000,WARREN,-75.009542
,,,Y,NJ,,$0,1,Transient non-community system,,,,3 ROADS PIZZA,,02,,N,0,0,,,,,NJ1615381,V____________,,,41.033763,County Centroid,0,,4,,110051209134,,30000,PASSAIC,-74.300308
,,,Y,NJ,,$0,1,Transient non-community system,,,,300 LAKESIDE AVENUE,,02,,Y,0,1,,,,,NJ1912346,___________VV,,,41.137424,County Centroid,1,,2,,110049282628,,30000,SUSSEX,-74.691855
,,,Y,NJ,,$0,1,Transient non-community system,,,,3440 RT 9 S,,02,,N,0,0,,,,,NJ1319379,_____________,,,40.287056,County Centroid,0,,,,110051003383,,30000,MONMOUTH,-74.152446
,,,Y,NJ,,$0,1,Non-Transient non-community system,1,,,350 COMPLEX WELL A,,02,,N,0,1,,,,,NJ1918310,__VVV___VV___,,,41.137424,County Centroid,0,,10,,110049204268,,30000,SUSSEX,-74.691855
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,360 ROUTE 24,,02,,N,0,1,,,,,NJ1407318,VVSSSSS______,,,40.858581,County Centroid,0,,14,,110051043937,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Transient non-community system,,,,38 MOTEL,,02,,N,0,0,,,,,NJ1352331,_____________,,,40.287056,County Centroid,0,,4,,110051084072,,30000,MONMOUTH,-74.152446
,,,Y,NJ,,$0,1,Transient non-community system,,,,415 ASSOCIATES,,02,,N,0,0,,,,,NJ1407319,_____________,,,40.858581,County Centroid,0,,,,110051043955,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Transient non-community system,,,,5 POINTS CAR WASH,,02,,Y,0,1,,,,,NJ0818478,_VVVVVVVVVVVV,,,39.721019,County Centroid,1,,2,,110049200360,,30000,GLOUCESTER,-75.143708
34011,,,Y,NJ,02040206,$0,1,Transient non-community system,,34011,,5 POINTS INN,08360,02,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,VINELAND,,,NJ0105310,VV___________,61.41,020402060502,39.48608,ADDRESS MATCHING-HOUSE NUMBER,0,CUMBERLAND COUNTY,3,08360,110051185454,580 E LANDIS AVE,30,ATLANTIC,-75.023887
,,,Y,NJ,,$0,1,Transient non-community system,,,,56 WEST,,02,,N,0,1,,,,,NJ0603320,_VV__________,,,39.328387,County Centroid,0,,1,,110051219588,,30000,CUMBERLAND,-75.121644
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,6 MILL RIDGE LANE,,02,,N,0,1,,,,,NJ1406327,________VVVV,,,40.858581,County Centroid,0,,4,,110050970026,,30000,MORRIS,-74.547427
,,,Y,NJ,,$0,1,Transient non-community system,,,,7-11,,02,,Y,0,1,,,,,NJ0325301,__VVVVVVVVVVV,,,39.875786,County Centroid,1,,5,,110051166714,,30000,BURLINGTON,-74.663006
,,,Y,NJ,,$0,1,Transient non-community system,,,,7-11 RIVIERA PIZZA,,02,,N,0,1,,,,,NJ0321300,_______V_____,,,39.875786,County Centroid,0,,1,,110049193742,,30000,BURLINGTON,-74.663006
,,,Y,NJ,,$0,1,Transient non-community system,,,,815 ROUTE 17 LLC,,02,,N,0,1,,,,,NJ0248302,V___V________,,,40.95909,County Centroid,0,,4,,110049265978,,30000,BERGEN,-74.074522
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,84 HOPEWELL LLC,,02,,N,0,0,,,,,NJ1106400,_____________,,,40.282503,County Centroid,0,,,,110051061872,,30000,MERCER,-74.703724
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,97 SPENCER LANE LLC,,02,,N,0,1,,,,,NJ1006339,________VV___,,,40.565283,County Centroid,0,,1,,110051117545,,30000,HUNTERDON,-74.91197
,,,Y,NJ,,$0,1,Transient non-community system,,,,A & G TAVERN,,02,,N,0,0,,,,,NJ1917332,_____________,,,41.137424,County Centroid,0,,,,110051165948,,30000,SUSSEX,-74.691855
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,A & P FOOD MARKET,,02,,N,0,0,,,,,NJ2104334,_____________,,,40.853524,County Centroid,0,,4,,110049201797,,30000,WARREN,-75.009542
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,A & P SHOPPING CENTER,,02,,N,0,1,,,,,NJ1922325,VV___________,,,41.137424,County Centroid,0,,2,,110049293411,,30000,SUSSEX,-74.691855
,,,Y,NJ,,$0,1,Non-Transient non-community system,,,,A CHILDS PLACE,,02,,N,0,0,,,,,NJ0332326,_____________,,,39.875786,County Centroid,0,,4,,110049365405,,30000,BURLINGTON,-74.663006
,,,Y,NJ,,$0,1,Transient non-community system,,,,A PLUS SUNOCO,,02,,N,0,0,,,,,NJ0608305,_____________,,,39.328387,County Centroid,0,,,,110051199289,,30000,CUMBERLAND,-75.121644
,,,Y,NJ,,$0,1,Transient non-community system,,,,A&G PIZZA,,02,,N,0,1,,,,,NJ1913313,___________VV,,,41.137424,County Centroid,0,,2,,110051131574,,30000,SUSSEX,-74.691855
34009,,,Y,NJ,02040302,$0,1,Community water system,,34009,,A&J MOBILE HOME COURT,08242,02,,N,0,1,,RIO GRANDE,,,NJ0506013,VVV_____VVV__,23.046,020403020405,39.027053,,0,CAPE MAY COUNTY,7,08242,110031771624,3016 RT 9,17468,CAPE MAY,-74.864804
,,,Y,NJ,,$0,1,Transient non-community system,,,,A-1 MOTEL,,02,,N,0,0,,,,,NJ0111353,_____________,,,39.469354,County Centroid,0,,,,110049269144,,30000,ATLANTIC,-74.633758
,,,Y,NJ,,$0,1,Transient non-community system,,,,A-1 MOTEL - WELL #2,,02,,N,0,0,,,,,NJ0111429,_____________,,,39.469354,County Centroid,0,,,,110051243258,,30000,ATLANTIC,-74.633758
,,,Y,NJ,,$0,1,Transient non-community system,,,,ABC ASSOCIATES,,02,,N,0,0,,,,,NJ1021408,_____________,,,40.565283,County Centroid,0,,11,,110051086855,,30000,HUNTERDON,-74.91197
,,,Y,NJ,,$0,1,Transient non-community system,,,,ABC EXPRESS INC,,02,,N,0,0,,,,,NJ0818335,_____________,,,39.721019,County Centroid,0,,,,110050979884,,30000,GLOUCESTER,-75.143708
