FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,1,,Y,NM,,$0,1,Non-Transient non-community system,,,,ABC PRESCHOOL,,06,,Y,1,1,,,,,NM3503701,VVVVSSVVVVVVV,,,35.054002,County Centroid,1,,84,,110063343118,,30000,BERNALILLO,-106.669065
35039,,,Y,NM,13020102,$0,1,Transient non-community system,,35039,,ABIQUIU DAM,87510,06,,Y,0,1,,ABIQUIU,,,NM3591521,__V_______VVV,83.784,130201021601,36.1417,,1,RIO ARRIBA COUNTY,9,87510,110028023412,"STATE ROAD 96, 1 MI W OF 84/64",17630,RIO ARRIBA,-106.2292
35039,,,Y,NM,13020102,$0,1,Non-Transient non-community system,,35039,,ABIQUIU ELEMENTARY SCHOOL,87510,06,,Y,0,1,,ABIQUIU,,,NM3590121,VVVVVVVSSSSVV,76.231,130201021203,36.215839,,1,RIO ARRIBA COUNTY,37,87530,110028924644,"STATE ROAD 84/285 #1911, GATE 21342",35989,RIO ARRIBA,-106.34511
,,,Y,NM,,$0,1,Transient non-community system,,,,ABIQUIU INN,,06,,Y,0,1,,,,,NM3591821,VVVVVSSVVSSSV,,,36.509669,County Centroid,1,,44,,110051118599,,30000,RIO ARRIBA,-106.693983
,,01/20/1999,Y,NM,,$0,1,Community water system,,35039,$750,ABIQUIU MUTUAL DOMESTIC WATER CONSUMERS ASSN.,87510,06,,Y,0,1,,ABIQUIU,,,NM3500221,VVVSSSSSSSSSV,,,36.16998,Zip Code Centroid,1,RIO ARRIBA COUNTY,73,,110010698263,PO BOX 11,10000,RIO ARRIBA,-106.244603
,,,Y,NM,,$0,1,Transient non-community system,,,,ABO RUINS SALINAS PUEBLO MISSIONS,,06,,Y,0,1,,,,,NM3501030,VVVVVVVVSVVVV,,,34.634644,County Centroid,1,,16,,110051151882,,30000,TORRANCE,-105.846836
,,,Y,NM,,$0,1,Transient non-community system,,,,ABUELITA'S,,06,,Y,0,1,,,,,NM3502001,_VV______VVVV,,,35.054002,County Centroid,1,,5,,110049263694,,30000,BERNALILLO,-106.669065
,,,Y,NM,,$0,1,Community water system,,,,ACOMA PUEBLO / MAIN,87034,06,,Y,0,1,,PUEBLO OF ACOMA,,,063501001,VVVVVVVVVSSSU,,,34.89865,Zip Code Centroid,1,,9,,110012917175,-,10000,VALENCIA,-107.58699
,,,Y,NM,,$0,1,Non-Transient non-community system,,35001,,ACOMA SKY CITY CASINO,87034,06,,Y,0,1,,ACOMA,,,063504107,_______VVVVVU,,,34.89865,Zip Code Centroid,1,BERNALILLO COUNTY,3,,110050922962,I 40 EXIT 102,10000,CIBOLA,-107.58699
,,,Y,NM,,$0,1,Transient non-community system,,,,ACOMITA REST AREA,,06,,N,0,1,,,,,NM3595733,VVV__________,,,34.93205,County Centroid,0,,14,,110049213445,,30000,CIBOLA,-108.000255
,,,Y,NM,,$0,1,Non-Transient non-community system,,,,ADELINO HEADSTART SCHOOL,,06,,N,0,1,,,,,NM3590732,_____V_______,,,34.71684,County Centroid,0,,6,,110050950903,,30000,VALENCIA,-106.806582
,,,Y,NM,,$0,1,Non-Transient non-community system,,,,ADMIRAL BEVERAGE CORPORATION,,06,,N,0,1,,,,,NM3591707,VVVV_________,,,34.439127,State Centroid,0,,2,,110049190692,,100000,DONA ANA,-106.126151
,,,Y,NM,,$0,1,Community water system,,35049,,AGUA FRIA WATER ASSOCIATION,,06,,N,0,0,,,,,NM3503926,_____________,,,35.513722,County Centroid,0,SANTA FE COUNTY,4,,110012883415,,30000,SANTA FE,-105.966441
