FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,NV,,$0,1,Transient non-community system,,,,4TH STREET BISTRO,,09,,N,0,0,,,,,NV0000735,_____________,,,40.703311,County Centroid,0,,,,110051096210,,30000,WASHOE,-119.710315
32017,,,Y,NV,15010011,$0,1,Transient non-community system,,32017,,A COWBOYS DREAM,89001,09,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,ALAMO,,,NV0002563,_____________,8.758,150100111604,37.388577,ADDRESS MATCHING-HOUSE NUMBER,0,LINCOLN COUNTY,,89001,110049178698,95 HAND ME DOWN RD,50,LINCOLN,-115.162879
,,,Y,NV,,$0,1,Transient non-community system,,,,AIR BASE INN,,09,,N,0,1,,,,,NV0000703,VV___________,,,40.703311,County Centroid,0,,2,,110050965210,,30000,WASHOE,-119.710315
,,,Y,NV,,$0,1,Transient non-community system,,,,AIR SAILING INC GLIDERPORT,,09,,N,0,0,,,,,NV0000866,_____________,,,40.703311,County Centroid,0,,,,110050978046,,30000,WASHOE,-119.710315
,,,Y,NV,,$0,1,Community water system,,32017,,ALAMO SEWER AND WATER GID,89001,09,,N,0,1,,ALAMO,,,NV0000005,VVVVVVVVVVV__,,,37.5719,Zip Code Centroid,0,LINCOLN COUNTY,32,,110013109590,ALAMO SEWER AND WATER,10000,LINCOLN,-115.896955
32029,,,Y,NV,16050102,$0,1,Non-Transient non-community system,,32029,,ALCOA MICROMILL,89434,09,,N,0,1,CENTER OF A FACILITY OR STATION,MCCARRAN,,,NV0000879,VVVVVVV______,8.333,160501020607,39.55677,ADDRESS MATCHING-HOUSE NUMBER,0,STOREY COUNTY,3,89434,110059856357,1400 WALTHAM WAY,30,STOREY,-119.53555
32033,,,Y,NV,16060007,$0,1,Non-Transient non-community system,,32033,,ALLIGATOR RIDGE MINE,89301,09,,N,0,0,CENTER OF FACILITY,ELY,,,NV0003020,,0,160600070604,39.758127,INTERPOLATION-PHOTO,0,WHITE PINE COUNTY,,89301,110007981167,65 MILES NORTHWEST OF ELY,10,WHITE PINE,-115.520232
,,,Y,NV,,$0,1,Non-Transient non-community system,,,,AMARGOSA ELEMENTARY SCHOOL,,09,,N,0,0,,,,,NV0002190,_____________,,,37.966379,County Centroid,0,,,,110051089549,,30000,NYE,-116.459047
,,,Y,NV,,$0,1,Transient non-community system,,,,AMARGOSA PARK,,09,,N,0,0,,,,,NV0000828,_____________,,,37.966379,County Centroid,0,,,,110051126170,,30000,NYE,-116.459047
,,,Y,NV,,$0,1,Non-Transient non-community system,,,,AMARGOSA SENIOR CENTER,,09,,N,0,0,,,,,NV0003061,_____________,,,37.966379,County Centroid,0,,,,110051167900,,30000,NYE,-116.459047
,,,Y,NV,,$0,1,Non-Transient non-community system,,,,AMARGOSA TOWN COMPLEX,,09,,N,0,0,,,,,NV0005037,_____________,,,37.966379,County Centroid,0,,,,110051061239,,30000,NYE,-116.459047
,,,Y,NV,,$0,1,Transient non-community system,,,,AMARGOSA VALLEY VFW POST 6826,,09,,N,0,1,,,,,NV0000811,V_VV_VV______,,,37.966379,County Centroid,0,,12,,110051096684,,30000,NYE,-116.459047
,,,Y,NV,,$0,1,Community water system,,32023,,AMARGOSA VALLEY WATER ASSOCIATION,89020,09,,N,0,1,,AMARGOSA VALLEY,,,NV0002558,_______V__V__,,,36.508524,Zip Code Centroid,0,NYE COUNTY,7,,110022492541,AMARGOSA VALLEY WATER ASSOCIATION,10000,NYE,-116.497029
32023,,,Y,NV,16060015,$0,1,Community water system,,32023,,ANCHOR IN MHP,89060,09,,Y,0,1,CENTER OF A FACILITY OR STATION,PAHRUMP,,,NV0005033,V__________VV,19.905,160600150205,36.22183,ADDRESS MATCHING-HOUSE NUMBER,1,NYE COUNTY,7,89060,110022500863,150 N LESLIE,30,NYE,-116.05045
,,,Y,NV,,$0,1,Transient non-community system,,,,ANGEL CREEK CAMPGROUND USFS,,09,,N,0,1,,,,,NV0002088,_________V___,,,41.141133,County Centroid,0,,2,,110051096880,,30000,ELKO,-115.351424
,,,Y,NV,,$0,1,Transient non-community system,,,,ANGEL LAKE CAMPGROUND USFS,,09,,N,0,0,,,,,NV0003037,_____________,,,41.141133,County Centroid,0,,3,,110050993519,,30000,ELKO,-115.351424
