FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,NY,,$0,1,Non-Transient non-community system,,,,1 - 3 NEW KING STREET,,02,,N,0,1,,,,,NY5930117,VV___________,,,41.15277,County Centroid,0,,7,,110051577156,,30000,WESTCHESTER,-73.745912
,,,Y,NY,,$0,1,Non-Transient non-community system,,,,1 BYRAM BROOK PL.,,02,,N,0,1,,,,,NY5930130,VVVVVVVVVVVV,,,41.15277,County Centroid,0,,2,,110063339276,,30000,WESTCHESTER,-73.745912
,,,Y,NY,,$0,1,Transient non-community system,,,,1 FRONT STREET,,02,,N,0,0,,,,,NY3922610,_____________,,,41.427904,County Centroid,0,,2,,110049321355,,30000,PUTNAM,-73.743882
,,,Y,NY,,$0,1,Non-Transient non-community system,,,,10 CORPORATE PARK DRIVE,,02,,N,0,0,,,,,NY1330513,_____________,,,41.755009,County Centroid,0,,,,110051303530,,30000,DUTCHESS,-73.739951
,,,Y,NY,,$0,1,Non-Transient non-community system,,,,10 NEW KING STREET ASSOCIATES,,02,,Y,0,1,,,,,NY5930066,VV________VVV,,,41.15277,County Centroid,1,,12,,110051432491,,30000,WESTCHESTER,-73.745912
,,,Y,NY,,$0,1,Transient non-community system,,,,"1000 ACRES RANCH RESORT, INC.",,02,,Y,0,1,,,,,NY5612675,VVVVVVVVVVVVV,,,43.555105,County Centroid,1,,18,,110049451909,,30000,WARREN,-73.838139
,,,Y,NY,,$0,1,Transient non-community system,,,,1000 ISLANDS BAIT STORE SERVICE STATION,,02,,N,0,0,,,,,NY2230031,_____________,,,43.995371,County Centroid,0,,,,110049374627,,30000,JEFFERSON,-76.053522
,,,Y,NY,,$0,1,Transient non-community system,,,,1000 ISLANDS CAMPGROUND,,02,,N,0,0,,,,,NY2213157,_____________,,,43.995371,County Centroid,0,,1,,110049404097,,30000,JEFFERSON,-76.053522
,,,Y,NY,,$0,1,Non-Transient non-community system,,,,1070-1072 ROUTE 9,,02,,N,0,0,,,,,NY1330752,_____________,,,41.755009,County Centroid,0,,,,NY1330752,,30000,Dutchess,-73.739951
,,,Y,NY,,$0,1,Transient non-community system,,,,"11 NORTH BAR & GRILL, LLC",,02,,N,0,0,,,,,NY3706696,V____________,,,43.461443,County Centroid,0,,8,,110049424627,,30000,OSWEGO,-76.209258
,,,Y,NY,,$0,1,Transient non-community system,,,,1122 ROUTE 9D LLC,,02,,N,0,0,,,,,NY3913003,_____________,,,41.427904,County Centroid,0,,6,,110063335813,,30000,PUTNAM,-73.743882
,,,Y,NY,,$0,1,Transient non-community system,1,,,12 NORTH SPORTS BAR,,02,,N,0,0,,,,,NY3220660,_____________,,,43.242727,County Centroid,0,,13,,110049428892,,30000,ONEIDA,-75.434282
,,,Y,NY,,$0,1,Transient non-community system,,,,121 RESTAURANT/BAR,,02,,N,0,0,,,,,NY5906566,_____________,,,41.15277,County Centroid,0,,,,110051521082,,30000,WESTCHESTER,-73.745912
,,,Y,NY,,$0,1,Transient non-community system,,,,123 P.L.A.Y. PRESCHOOL,,02,,N,0,1,,,,,NY5530325,_________VVVV,,,41.947232,County Centroid,0,,6,,110063347025,,30000,ULSTER,-74.265447
,,,Y,NY,,$0,1,Transient non-community system,,,,"158 ROUTE 22, LLC",,02,,Y,0,1,,,,,NY1322779,VVVVVVVVVVVVV,,,41.755009,County Centroid,1,,1,,110051288165,,30000,DUTCHESS,-73.739951
,,,Y,NY,,$0,1,Transient non-community system,,,,"17 MILE VARAK, LLC",,02,,N,0,0,,,,,NY5730151,_____________,,,43.312377,County Centroid,0,,,,NY5730151,,30000,Washington,-73.439428
,,,Y,NY,,$0,1,Transient non-community system,,,,17 RAILROAD STREET,,02,,Y,0,1,,,,,NY5430003,______VVVVVVV,,,42.453281,County Centroid,1,,,,110049366725,,30000,TOMPKINS,-76.473712
,,,Y,NY,,$0,1,Transient non-community system,,,,17B QUICK STOP,,02,,Y,0,1,,,,,NY5230100,__VVVVVVVVVVV,,,41.720176,County Centroid,1,,1,,110049461346,,30000,SULLIVAN,-74.76468
,,,Y,NY,,$0,1,Transient non-community system,,,,182 OLD ROUTE 9,,02,,N,0,0,,,,,NY1330012,_____________,,,41.755009,County Centroid,0,,1,,110049408636,,30000,DUTCHESS,-73.739951
,,,Y,NY,,$0,1,Transient non-community system,,,,1844 HOUSE,,02,,N,0,0,,,,,NY4420982,_____________,,,44.488113,County Centroid,0,,8,,110049562193,,30000,ST. LAWRENCE,-75.074311
,,,Y,NY,,$0,1,Non-Transient non-community system,,,,185 ROUTE 312 CORPORATION,,02,,Y,0,1,,,,,NY3922042,VVVVVVVVVVVVV,,,41.427904,County Centroid,1,,,,110049591321,,30000,PUTNAM,-73.743882
,,,Y,NY,,$0,1,Transient non-community system,,,,1970 LLC,,02,,N,0,0,,,,,NY1330555,_____________,,,41.755009,County Centroid,0,,11,,110051533266,,30000,DUTCHESS,-73.739951
,,,Y,NY,,$0,1,Non-Transient non-community system,,,,1983 MONTAUK HWY OFFICES COPARTS,,02,,N,0,0,,,,,NY5130143,_____________,,,40.943554,County Centroid,0,,,,110049405292,,30000,SUFFOLK,-72.692218
,,,Y,NY,,$0,1,Transient non-community system,,,,2 BYRAM BROOK PL./SAMOLA,,02,,Y,0,1,,,,,NY5930131,____VVVVVVVVV,,,41.15277,County Centroid,1,,,,110063355809,,30000,WESTCHESTER,-73.745912
