FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,OH,,$0,1,Transient non-community system,,,,1ST CHRISTIAN CHURCH OF KENSINGTON,,05,,N,0,0,,,,,OH1563012,____________U,,,40.768462,County Centroid,0,,,,110051413396,,30000,COLUMBIANA,-80.777231
,,,Y,OH,,$0,1,Transient non-community system,,,,36 SKATE CLUB,,05,,N,0,0,,,,,OH5536412,____________U,,,40.053326,County Centroid,0,,,,110052470571,,30000,MIAMI,-84.228414
,,,Y,OH,,$0,1,Transient non-community system,,,,39 OUTPOST,,05,,Y,0,1,,,,,OH7937812,________VVVVU,,,40.447441,County Centroid,1,,,,110051531035,,30000,TUSCARAWAS,-81.471157
,4,,Y,OH,,$0,1,Transient non-community system,,,,"4-H CAMP CLIFTON, INC.",,05,,Y,4,1,,,,,OH2939612,_VVVVVVVVVVSU,,,39.687479,County Centroid,1,,28,,110051263850,,30000,GREENE,-83.894894
,,,Y,OH,,$0,1,Transient non-community system,,,,4-H CAMP OHIO-CAMP,,05,,N,0,0,,,,,OH4549612,____________U,,,40.093609,County Centroid,0,,,,110051257377,,30000,LICKING,-82.481251
,,,Y,OH,,$0,1,Transient non-community system,,,,4-H CAMP OHIO-POOL,,05,,N,0,0,,,,,OH4549622,____________U,,,40.093609,County Centroid,0,,2,,110051257395,,30000,LICKING,-82.481251
,,,Y,OH,,$0,1,Transient non-community system,,,,4-H CAMP PALMER,,05,,N,0,1,,,,,OH2632712,________V___U,,,41.597264,County Centroid,0,,3,,110051688768,,30000,FULTON,-84.124267
,,,Y,OH,,$0,1,Transient non-community system,,,,4-H CAMP PIEDMONT PWS,,05,,Y,0,1,,,,,OH0735012,_________VVVU,,,40.017682,County Centroid,1,,,,110051580909,,30000,BELMONT,-80.967727
,,,Y,OH,,$0,1,Transient non-community system,,,,4-H CAMP PIEDMONT WELL 2 PWS,,05,,Y,0,1,,,,,OH0735022,_________VVVU,,,40.017682,County Centroid,1,,3,,110051580918,,30000,BELMONT,-80.967727
39153,3,,Y,OH,05040001,$0,1,Community water system,,39153,,40 WEST MHP & CAMP,44301,05,,Y,3,1,CENTER OF A FACILITY OR STATION,AKRON,,,OH3001212,SVVVVVSVVVVSU,39.266,050400010105,41.03716,ADDRESS MATCHING-HOUSE NUMBER,1,SUMMIT COUNTY,53,44301,110006318083,1826 S MAIN ST,30,SUMMIT,-81.52684
,,,Y,OH,,$0,1,Transient non-community system,,,,47 BAR AND GRILL,,05,,Y,0,1,,,,,OH7534412,VVVVVVVVVVVVU,,,40.33668,County Centroid,1,,2,,110051563795,,30000,SHELBY,-84.204143
,,,Y,OH,,$0,1,Transient non-community system,,,,57 MARATHON,,05,,N,0,0,,,,,OH5243712,____________U,,,41.116051,County Centroid,0,,,,110051344274,,30000,MEDINA,-81.899566
,,,Y,OH,,$0,1,Transient non-community system,,,,7 AND 14 TRUCK STOP,,05,,N,0,0,,,,,OH1533912,____________U,,,40.768462,County Centroid,0,,,,110051454038,,30000,COLUMBIANA,-80.777231
,,,Y,OH,,$0,1,Transient non-community system,,,,7-ELEVEN #36218 PWS,,05,,N,0,0,,,,,OH2864212,____________U,,,41.499322,County Centroid,0,,,,110051636887,,30000,GEAUGA,-81.173505
,,,Y,OH,,$0,1,Transient non-community system,,,,7-ELEVEN STORE # 36177,,05,,N,0,0,,,,,OH7041912,____________U,,,40.774167,County Centroid,0,,,,110051663909,,30000,RICHLAND,-82.542715
,,,Y,OH,,$0,1,Transient non-community system,,,,A BROWN AND SONS NURSERY OFFICE PWS,,05,,N,0,0,,,,,OH5750412,____________U,,,39.755218,County Centroid,0,,,,110051342187,,30000,MONTGOMERY,-84.290546
,,,Y,OH,,$0,1,Non-Transient non-community system,,,,A SHANTON DAYCARE,,05,,Y,0,1,,,,,OH7136514,___________VU,,,39.323763,County Centroid,1,,,,OH7136514,,30000,Ross,-83.059585
,,,Y,OH,,$0,1,Transient non-community system,,,,A&E CAMPGROUND LLC,,05,,N,0,0,,,,,OH4645512,____________U,,,40.387553,County Centroid,0,,,,110051266866,,30000,LOGAN,-83.766343
39109,,04/09/2010,Y,OH,05080001,$0,1,Community water system,,39109,"$7,600",A&R RECK MHP,45371,05,,N,0,1,,TIPP,,,OH5500312,VVVV________U,16.186,050800012005,39.895389,,0,MIAMI COUNTY,3,45371,110006292733,4220 EAST STATE ROUTE 40,17449,MIAMI,-84.140167
,,,Y,OH,,$0,1,Transient non-community system,,,,A.B. GRAHAM MEMORIAL CENTER PWS,,05,,N,0,0,,,,,OH5538812,____________U,,,40.053326,County Centroid,0,,,,110051338076,,30000,MIAMI,-84.228414
,,,Y,OH,,$0,1,Transient non-community system,,,,A1 TWINVALLEY CAMPGROUND,,05,,Y,0,1,,,,,OH1034112,______VVVVVVU,,,40.579884,County Centroid,1,,3,,110051365571,,30000,CARROLL,-81.090787
,,,Y,OH,,$0,1,Transient non-community system,,,,ABC COUNTRY CAMPING AND CABINS,,05,,N,0,0,,,,,OH1030912,____________U,,,40.579884,County Centroid,0,,,,110051578155,,30000,CARROLL,-81.090787
