FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,OK,,$0,1,Transient non-community system,,,,4 STOP,,06,,N,0,1,,,,,OK4002687,____VVVVVVVVU,,,35.021058,County Centroid,0,,26,,OK4002687,,30000,Grady,-97.88689
,,,Y,OK,,$0,1,Transient non-community system,,,,"4 T'S OF STILLWATER, LLC",,06,,N,0,0,,,,,OK2006075,____________U,,,36.079225,County Centroid,0,,3,,110063357077,,30000,PAYNE,-96.975255
,,,Y,OK,,$0,1,Community water system,,,,51 EAST CORP,,06,,N,0,1,,,,,OK3006003,__________V_U,,,36.079225,County Centroid,0,,2,,110012838215,,30000,PAYNE,-96.975255
,,,Y,OK,,$0,1,Transient non-community system,,,,66 LAKE STOP,,06,,Y,0,1,,,,,OK6005588,____VVVVVVVVU,,,35.554611,County Centroid,1,,23,,110051860143,,30000,OKLAHOMA,-97.409401
,,,Y,OK,,$0,1,Community water system,,,,ABES RV PARK,,06,,Y,0,1,,,,,OK5005548,VVVVVVVVVVVVU,,,35.554611,County Centroid,1,,7,,110012833577,,30000,OKLAHOMA,-97.409401
40027,,,Y,OK,11090203,$0,1,Non-Transient non-community system,,40125,,ABSENTEE SHAWNEE HEALTH CENTER,73026,06,,N,0,1,CENTER OF FACILITY,NORMAN,,,OK4001492,VVVVVVVV____U,24.188,110902030302,35.230748,INTERPOLATION-PHOTO,0,POTTAWATOMIE COUNTY,4,73026,110022320727,15702 E HWY 9,5,CLEVELAND,-97.207299
,,,Y,OK,,$0,1,Transient non-community system,,,,ABSENTEE SHAWNEE TRIBAL YOUTH CAMP,,06,,N,0,0,,,,,062001459,____________U,,,35.589419,State Centroid,0,,,,062001459,,100000,,-97.486868
,,,Y,OK,,$0,1,Transient non-community system,1,,,ABUELITA ROSAS,,06,,Y,0,1,,,,,OK4006359,VVVVVVVVV__VU,,,35.211393,County Centroid,1,,8,,110051898844,,30000,POTTAWATOMIE,-96.957007
,,,Y,OK,,$0,1,Transient non-community system,,,,ACES SPORTS BAR,,06,,N,0,0,,,,,OK2002623,____________U,,,35.021058,County Centroid,0,,,,110052473444,,30000,GRADY,-97.88689
,3,,Y,OK,,$0,1,Non-Transient non-community system,1,,,ACG MATERIALS BOUSE JUNCTION,,06,,N,3,1,,,,,OK2004451,VVVVVVVVVV__U,,,36.313119,County Centroid,0,,21,,110063366860,,30000,MAJOR,-98.542015
40013,,,Y,OK,11140101,$0,1,Community water system,1,40013,,ACHILLE PWA,74720,06,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ACHILLE,,,OK2000707,VVVVVVV_____U,29.48,111401010203,33.83118,ADDRESS MATCHING-HOUSE NUMBER,0,BRYAN COUNTY,3,74720,110012864837,500 N 2ND AVE,50,BRYAN,-96.39014
