FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,OR,,$0,1,Transient non-community system,,,,5 ROCK RANCH,,10,,N,0,0,,,,,OR4195372,____________U,,,45.248138,County Centroid,0,,,,110051677985,,30000,YAMHILL,-123.316117
,,,Y,OR,,$0,1,Transient non-community system,,,,62 MARKETPLACE,,10,,Y,0,1,,,,,OR4191555,__VVV_VVVVVVU,,,42.411782,County Centroid,1,,1,,110051819403,,30000,JACKSON,-122.675797
41047,,,Y,OR,17090009,$0,1,Community water system,,41047,,62ND COURT MUTUAL WATER COMPANY WELL,97317,10,,N,0,0,FACILITY CENTROID,SALEM,,,OR4101184,____________U,44.844,170900090108,44.942028,INTERPOLATION-PHOTO,0,MARION COUNTY,,97317,110013259990,952 62ND COURT NE,367,MARION,-122.933589
,,,Y,OR,,$0,1,Non-Transient non-community system,,,,ABIQUA CHILDRENS CENTER,,10,,Y,0,1,,,,,OR4194876,VVVVVVVVVVVVU,,,44.900898,County Centroid,1,,,,110051596028,,30000,MARION,-122.57626
,,,Y,OR,,$0,1,Non-Transient non-community system,,,,ABIQUA SCHOOL,,10,,Y,0,1,,,,,OR4193768,VVVVVVVVVVVVU,,,44.900898,County Centroid,1,,,,110052563695,,30000,MARION,-122.57626
41003,,,Y,OR,17090003,$0,1,Community water system,,41003,,ADAIR VILLAGE WATER TREATMENT PLANT,97321,10,,N,0,1,FACILITY CENTROID,ALBANY,,,OR4100003,VVVVVVVV____U,10.974,170900030609,44.640689,INTERPOLATION-PHOTO,0,BENTON COUNTY,,97321,110006697805,5011 HIGHWAY 20 NORTHWEST,369,LINN,-123.162859
41059,,,Y,OR,17070103,$0,1,Community water system,,41059,,ADAMS CITY WATER DEPARTMENT FACILITY,97810,10,,N,0,0,FACILITY CENTROID,ADAMS,,,OR4100001,____________U,13.095,170701030304,45.766965,INTERPOLATION-PHOTO,0,UMATILLA COUNTY,,97810,110012833871,W CENTER ST AND CLAIRE ST,361,UMATILLA,-118.570091
,,,Y,OR,,$0,1,Community water system,,,,"ADRIAN, CITY OF",,10,,Y,0,1,,,,,OR4100002,VVVVVVVSVVVVU,,,43.1877,County Centroid,1,,22,,110012833906,,30000,MALHEUR,-117.603976
,,,Y,OR,,$0,1,Transient non-community system,,,,AGAPE FAMILY FELLOWSHIP,,10,,Y,0,1,,,,,OR4190573,______VV___VU,,,44.494824,County Centroid,1,,,,110052461992,,30000,LINN,-122.543756
,,,Y,OR,,$0,1,Transient non-community system,,,,AGATE CREEK WATER ASSOCIATION,,10,,N,0,0,,,,,OR4100967,____________U,,,43.928276,County Centroid,0,,,,110051686467,,30000,LANE,-122.897678
41017,,,Y,OR,17070301,$0,1,Community water system,,41017,,AGATE WATER SYSTEM,97702,10,,Y,0,1,FACILITY CENTROID,BEND,,,OR4101439,___________VU,10.68,170703010406,43.98218,INTERPOLATION-PHOTO,1,DESCHUTES COUNTY,,97702,110013252531,60107 MINNETONKA LN,373,DESCHUTES,-121.362218
,,,Y,OR,,$0,1,Transient non-community system,,,,AGENCY LAKE RESORT 2  SOUTH,,10,,Y,0,1,,,,,OR4195198,_VVVVVVVVVVVU,,,42.683761,County Centroid,1,,,,110051642790,,30000,KLAMATH,-121.646168
41015,,,Y,OR,17100310,$0,1,Transient non-community system,,41015,,AGNESS RV PARK,97406,10,,N,0,1,FACILITY CENTROID,AGNESS,,,OR4191198,SSV_VVV__VVVU,33.333,171003100602,42.55753,INTERPOLATION-PHOTO,0,CURRY COUNTY,5,97406,110052550002,04215 AGNESS RD,191,CURRY,-124.058282
41043,,,Y,OR,17090003,$0,1,Transient non-community system,,41043,,ALBANY CORVALLIS KOA,97321,10,,N,0,0,FACILITY CENTROID,ALBANY,,,OR4194477,V___________U,12.173,170900030403,44.564132,INTERPOLATION-PHOTO,0,LINN COUNTY,,97389,110014174810,33775 OAKVILLE RD N,18685,LINN,-123.152232
,,,Y,OR,,$0,1,Transient non-community system,,,,ALBANY MENNONITE CHURCH,,10,,N,0,0,,,,,OR4195286,____________U,,,44.494824,County Centroid,0,,,,110051528771,,30000,LINN,-122.543756
,,,Y,OR,,$0,1,Transient non-community system,,,,ALBANY RIFLE & PISTOL CLUB,,10,,N,0,1,,,,,OR4195419,____VV___VV_U,,,44.494824,County Centroid,0,,,,110051692940,,30000,LINN,-122.543756
,,,Y,OR,,$0,1,Transient non-community system,,,,ALBANY SUPERCROSS,,10,,N,0,0,,,,,OR4105100,____________U,,,44.494824,County Centroid,0,,,,110051641817,,30000,LINN,-122.543756
41043,,,Y,OR,17090003,$0,1,Community water system,,41043,,ALBANY TRAILER COURT WELL,97322,10,,N,0,0,FACILITY CENTROID,ALBANY,,,OR4100004,____________U,18.131,170900030610,44.651631,INTERPOLATION-PHOTO,0,LINN COUNTY,,97322,110012833942,1197 CENTURY DR NE,369,LINN,-123.060388
41043,,,Y,OR,17090003,$0,1,Community water system,,41043,,ALBANY WATER PLANT,97321,10,,N,0,0,FACILITY CENTROID,ALBANY,,,OR4100012,____________U,17.396,170900030403,44.634444,ADDRESS MATCHING-HOUSE NUMBER,0,LINN COUNTY,,97321,110000577108,300 VINE ST,30,LINN,-123.1125
41005,,07/29/1987,Y,OR,17080001,$0,1,Community water system,,41005,"$6,200",ALDER CREEK WATER COMPANY BARLOW DISTRICT,97055,10,,N,0,0,FACILITY CENTROID,SANDY,,,OR4100630,____________U,5.142,170800010402,45.381075,INTERPOLATION-PHOTO,0,CLACKAMAS COUNTY,,97055,110010623138,19415 SE SUMMERTIME DR,364,CLACKAMAS,-122.106643
41005,,,Y,OR,17080001,$0,1,Community water system,,41005,,ALDER CREEK WTP,97055,10,,Y,0,1,FACILITY CENTROID,SANDY,,,OR4100789,SSSSSSSSSSVSU,5.143,170800010401,45.374242,INTERPOLATION-PHOTO,1,CLACKAMAS COUNTY,27,97055,110070082530,MT HOOD HWY,182,CLACKAMAS,-122.105776
41039,,,Y,OR,17100207,$0,1,Community water system,,41039,,ALDERWOOD WATER DEVELOPMENT CO INTAKE,97439,10,,Y,0,1,FACILITY CENTROID,DUNES CITY,,,OR4100304,__VVSV_____VU,7.681,171002070103,43.91307,INTERPOLATION-PHOTO,1,LANE COUNTY,4,97493,110013271752,CLEAR LAKE RD,18873,LANE,-124.082471
,,,Y,OR,,$0,1,Community water system,,,,ALDRIDGE DITCH CO WS,,10,,N,0,1,,,,,OR4101013,V__VVV______U,,,45.511775,County Centroid,0,,,,110052722434,,30000,HOOD RIVER,-121.655976
,,,Y,OR,,$0,1,Transient non-community system,,,,ALFALFA STORE,,10,,N,0,1,,,,,OR4195065,__VV________U,,,43.915118,County Centroid,0,,,,110051628707,,30000,DESCHUTES,-121.225575
41057,,,Y,OR,17100203,$0,1,Transient non-community system,,41057,,ALICES COUNTRY HOUSE,97141,10,,Y,0,1,FACILITY CENTROID,TILLAMOOK,,,OR4194572,VVVVVVVVVVVVU,8.564,171002030508,45.487271,INTERPOLATION-PHOTO,1,TILLAMOOK COUNTY,,97141,110016656732,17345 WILSON RIVER HWY,181,TILLAMOOK,-123.688309
