FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,1,,Y,PA,,$0,1,Transient non-community system,,,,1483 NORTH CHARLOTTE STREET,,03,,Y,2,1,,,,,PA1461180,VSVVV_VVV_VVV,,,40.209999,County Centroid,1,,27,,110051644182,,30000,MONTGOMERY,-75.370201
,,,Y,PA,,$0,1,Transient non-community system,,,,1740 HOUSE,,03,,N,0,0,,,,,PA1090982,_____________,,,40.336887,County Centroid,0,,,,110051543497,,30000,BUCKS,-75.10706
42077,,,Y,PA,02040106,$0,1,Transient non-community system,,42077,,1760 PUB N GRILLE,18087,03,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,TREXLERTOWN,,,PA3390410,_V___________,16.645,020401060701,40.547506,ADDRESS MATCHING-HOUSE NUMBER,0,LEHIGH COUNTY,1,18087,110052251040,1176 TREXLERTOWN RD,50,LEHIGH,-75.605707
,,,Y,PA,,$0,1,Transient non-community system,,,,183 PLAZA,,03,,N,0,1,,,,,PA3540926,_VVVVV_______,,,40.70369,County Centroid,0,,2,,110051783110,,30000,SCHUYLKILL,-76.2178
,,,Y,PA,,$0,1,Transient non-community system,,,,1836 SALOON AND SERVICE CTR,,03,,N,0,0,,,,,PA2450899,_____________,,,41.056233,County Centroid,0,,2,,110051808102,,30000,MONROE,-75.329037
,,,Y,PA,,$0,1,Transient non-community system,,,,1ST BAPT CH COATES CORNERSTONE,,03,,N,0,1,,,,,PA1150747,__VVVVV__VVV,,,39.973965,County Centroid,0,,5,,110051576380,,30000,CHESTER,-75.749732
,,,Y,PA,,$0,1,Transient non-community system,,,,2 TS MINI GOLF DRIVING RANGE,,03,,N,0,0,,,,,PA3480965,_____________,,,40.752791,County Centroid,0,,,,110051861909,,30000,NORTHAMPTON,-75.307447
,,,Y,PA,,$0,1,Transient non-community system,,,,2047 BUILDING,,03,,N,0,0,,,,,PA3390309,_____________,,,40.614241,County Centroid,0,,,,PA3390309,,30000,Lehigh,-75.590627
,,,Y,PA,,$0,1,Transient non-community system,,,,3 B ICE CREAM,,03,,N,0,1,,,,,PA7220846,_________V___,,,40.412565,County Centroid,0,,5,,110052733592,,30000,DAUPHIN,-76.792634
,,,Y,PA,,$0,1,Transient non-community system,,,,309 FAMILY RESTAURANT,,03,,Y,0,1,,,,,PA1091384,VVVVVVV___VVV,,,40.336887,County Centroid,1,,16,,110051660421,,30000,BUCKS,-75.10706
