FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
72017,,11/14/2016,Y,PR,21010002,"$100,825",1,Non-Transient non-community system,,72017,"$100,000",ABBVIE LTD,00617,02,Y,N,4,1,CENTER OF A FACILITY OR STATION,BARCELONETA,,2,PR0209032 PR0209122,_____________,99.487,210100020301,18.433237,UNKNOWN,0,BARCELONETA MUNICIPIO,2,00617,110007806188,PR-2 KM 58.2,17600,BARCELONETA,-66.570509
,,,Y,PR,,$0,1,Non-Transient non-community system,,,,ACADEMIA RAMOS MORALES,,02,,N,0,0,,,,,PR0458334,_____________,,,18.217648,State Centroid,0,,,,110052596954,,100000,PONCE,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACD. COMUNAL RIO CHIQUITO,,02,,Y,0,1,,,,,PR0458264,VVVVVVVVVVVVV,,,18.217648,State Centroid,1,,,,110047973387,,100000,PONCE,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACEITUNA I,,02,,Y,0,1,,,,,PR0476224,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,1,,110013055861,,100000,VILLALBA,-66.410799
,,,Y,PR,,$0,1,Community water system,,72149,,ACEITUNA II,00766,02,,Y,0,1,,VILLALBA,,,PR0476234,SSSSSSSSVVVVV,,,18.126126,Zip Code Centroid,1,VILLALBA MUNICIPIO,1,,110010615076,PO BOX 623,10000,VILLALBA,-66.494491
,,,Y,PR,,$0,1,Community water system,,,,ACEITUNA III,,02,,Y,0,1,,,,,PR0476324,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,1,,110012961358,,100000,VILLALBA,-66.410799
,3,,Y,PR,,$0,1,Community water system,,,,ACEITUNAS,,02,,Y,3,1,,,,,PR0004654,VVVVSSSSVVSVV,,,18.217648,State Centroid,1,,7,,110047697480,,100000,VILLALBA,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUD. RURAL GUACIO,,02,,N,0,1,,,,,PR0367013,SSV__________,,,18.217648,State Centroid,0,,1,,110012960849,,100000,SAN SEBASTIAN,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUE.JACANAS PIEDRAS BLANCAS I,,02,,Y,0,1,,,,,PR0677056,VVVVVVVVVVVVV,,,18.217648,State Centroid,1,,,,110012958157,,100000,YABUCOA,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. BO. CEDRO,,02,,Y,0,1,,,,,PR0518135,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,1,,110063373086,,100000,CAYEY,-66.410799
72151,1,,Y,PR,21010005,$0,1,Community water system,2,72151,,ACUED. BO. GUAYABOTA,00767,02,,Y,2,1,ENTRANCE POINT OF A FACILITY OR STATION,YABUCOA,,,PR0677076,SSVVVVVVVVSVV,99.632,210100050102,18.05212,ADDRESS MATCHING-BLOCK FACE,1,YABUCOA MUNICIPIO,1,00767,110013047531,PR-182 KM 12.3 BO GUAYABOTA,1000,YABUCOA,-65.88316
,,,Y,PR,,$0,1,Community water system,,,,ACUED. CAÑABON SECTOR EL PARQUE,,02,,Y,0,1,,,,,PR0510225,SSSVVVVVVVVVV,,,18.217648,State Centroid,1,,1,,110047983385,,100000,BARRANQUITAS,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. COM. BO. QUEBRADILLAS,,02,,Y,1,1,,,,,PR0510095,SSSSSSSSSSSSV,,,18.217648,State Centroid,1,,1,,110013052515,,100000,BARRANQUITAS,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,"ACUED. COM. DEL BO. RUCIO, INC. (ACBRI)",,02,,Y,0,1,,,,,PR0457064,VVVVVVVVVVSSV,,,18.217648,State Centroid,1,,4,,110013055086,,100000,PENUELAS,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. COM. MAGUEYES,,02,,Y,0,1,,,,,PR0242052,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,1,,110012960457,,100000,LARES,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. COM. SECTOR LA SIERRA,,02,,Y,0,1,,,,,PR0613366,SVVVVVVVVVVVV,,,18.217648,State Centroid,1,,2,,110013046364,,100000,CAGUAS,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. COMUNAL EL LLANO,,02,,Y,0,1,,,,,PR0604176,SSSSVVVVVVSSV,,,18.217648,State Centroid,1,,2,,110016613422,,100000,AGUAS BUENAS,-66.410799
,1,,Y,PR,,$0,1,Community water system,,,,ACUED. COMUNIDAD 18,,02,,Y,1,1,,,,,PR0666116,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,2,,110013047390,,100000,SAN LORENZO,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. DE LA COMUNIDAD,,02,,Y,0,1,,,,,PR0242042,SSSSVVVVVVVVV,,,18.217648,State Centroid,1,,1,,110013062443,,100000,LARES,-66.410799
,1,,Y,PR,,$0,1,Community water system,,,,ACUED. DE LA COMUNIDAD  DEL DUQUE,,02,,Y,1,1,,,,,PR0653056,SSVVVSSSVVVVV,,,18.217648,State Centroid,1,,1,,110013750510,,100000,NAGUABO,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. DELGADO VEGA Y OTROS,,02,,Y,1,1,,,,,PR0613536,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,1,,110063373102,,100000,CAGUAS,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. DO%A ELENA (LOS PINOS),,02,,Y,0,1,,,,,PR0523105,VVVVVVVVVVVVV,,,18.217648,State Centroid,1,,1,,110013053239,,100000,COMERIO,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. HACIENDA DEL REY,,02,,Y,0,1,,,,,PR0613486,VVVVVVVVVVVVV,,,18.217648,State Centroid,1,,,,110047898904,,100000,CAGUAS,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. HACIENDA PLANELL,,02,,Y,0,1,,,,,PR0242032,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,1,,110013062416,,100000,LARES,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. JACANAS PIEDRAS BLANCA 2,,02,,N,0,1,,,,,PR0677206,SSV__________,,,18.217648,State Centroid,0,,1,,110013047639,,100000,YABUCOA,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. LAS DELICIAS,,02,,Y,0,1,,,,,PR0220032,SSSSSSSSVVVVV,,,18.217648,State Centroid,1,,1,,110013062256,,100000,CIALES,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. RURAL DAGUEY  AJIES ARRIBA,,02,,N,0,0,,,,,PR0306093,V____________,,,18.217648,State Centroid,0,,,,110048429928,,100000,ANASCO,-66.410799
,,,Y,PR,,$0,1,Community water system,,,,ACUED. RURAL DE TEJAS,,02,,Y,0,1,,,,,PR0677016,VVVVVVVVVVVVV,,,18.217648,State Centroid,1,,,,110013047416,,100000,YABUCOA,-66.410799
