FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,RI,,$0,,RI2980147,,A-1 PIZZA,,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,110051880354,,100000,NEWPORT,-71.52529
44007,,,Y,RI,01090004,$0,,RI1000009,,"ABBEY LANE COMMUNITY ASSN., INC.",02825,01,02825,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,FOSTER,,,44007,____V_______U,010900040605,41.850839,ADDRESS MATCHING-HOUSE NUMBER,0,PROVIDENCE COUNTY,9,110013044437,7 ABBEY LANE,50,PROVIDENCE,-71.737733
,,,Y,RI,,$0,,RI2973111,,"ABM, INC.DBA THE ATLANTIC INN",,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,4,110052642583,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI2000077,,ABRAHAM MANCHESTER RESTAURANT & TAVERN,,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,110052504081,,100000,NEWPORT,-71.52529
,,,Y,RI,,$0,,RI2943219,,ADLER BROTHERS DEV DBA WHITE HORSE TAV,,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,4,110052642422,,100000,PROVIDENCE,-71.52529
,,,Y,RI,,$0,,RI2980004,,AEGEAN PIZZA & CREAMERY,,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,110052448008,,100000,PROVIDENCE,-71.52529
,,,Y,RI,,$0,,RI2943218,,AGIOS INC DBA THE GENTLEMAN FARMER REST.,,01,,N,0,1,,,,,,VVVV__V_____U,,41.597836,State Centroid,0,,17,110052642404,,100000,PROVIDENCE,-71.52529
,1,,Y,RI,,$0,,RI2980039,,"ALBACO,L.L.C.   (A.K.A. SHORELINE PLAZA)",,01,,N,1,1,,,,,,_______SV___U,,41.597836,State Centroid,0,,24,110052634556,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI2087020,,"ALLIES DONUTS, INC.",,01,,N,0,1,,,,,,_______VVV__U,,41.597836,State Centroid,0,,6,110052634342,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI2051719,,ALPINE COUNTRY CLUB,,01,,Y,0,1,,,,,,VVVVVVVVVVVVU,,41.597836,State Centroid,1,,2,110052580131,,100000,PROVIDENCE,-71.52529
44003,,,Y,RI,01090004,$0,,RI2519426,,ALPINE NURSING HOME,02816,01,02816,Y,0,1,CENTER OF A FACILITY OR STATION,COVENTRY,,,44003,___________VU,010900040601,41.66506,ADDRESS MATCHING-HOUSE NUMBER,1,KENT COUNTY,4,110013042723,557 WEAVER HILL RD,30,KENT,-71.66639
,,,Y,RI,,$0,,RI2980465,,AMICABLE CONGREGATIONAL CHURCH,,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,RI2980465,,100000,Newport,-71.52529
,,,Y,RI,,$0,,RI2980151,,"ANDREWS REALTY, INC./DBA RICHMOND PLAZA",,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,110051880443,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI2980295,,"ANMOL INC., DBA EZ MART",,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,8,110052526771,,100000,PROVIDENCE,-71.52529
,,,Y,RI,,$0,,RI2980310,,ARCADIA CHILDRENS HOME,,01,,N,0,1,,,,,,______V_____U,,41.597836,State Centroid,0,,4,110052530828,,100000,KENT,-71.52529
,,,Y,RI,,$0,,RI2980336,,"ARROWHEAD DENTAL ASSOCIATES, INC.",,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,110052477477,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI1858417,,ASHAWAY ELEMENTARY SCHOOL,,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,110052643467,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI1858415,,ASHAWAY LINE & TWINE MFG. CO.-LOWER MILL,,01,,Y,0,1,,,,,,_VV______VVVU,,41.597836,State Centroid,1,,8,110052643412,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI1000044,,ASHAWAY LINE & TWINE MFG. CO.-UPPER MILL,,01,,N,0,0,,,,,,____________U,,41.597836,State Centroid,0,,,110052562295,,100000,WASHINGTON,-71.52529
,,,Y,RI,,$0,,RI2980460,,ASHAWAY RV RESORT,,01,,N,0,1,,,,,,_________V__U,,41.597836,State Centroid,0,,8,110063368573,,100000,WASHINGTON,-71.52529
