FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,SD,,$0,1,Community water system,,46093,,76 RANCH ESTATES,57785,08,,N,0,0,,STURGIS,,,SD4602259,_____________,,,44.409462,Zip Code Centroid,0,MEADE COUNTY,,,110048590182,UNK,10000,MEADE,-103.518474
46013,,,Y,SD,10160004,$0,1,Community water system,,46013,,ABERDEEN WATER WORKS,57401,08,,N,0,0,CENTER OF A FACILITY OR STATION,ABERDEEN,,,SD4600020,_____________,3.815,101600040803,45.55139,ADDRESS MATCHING-HOUSE NUMBER,0,BROWN COUNTY,1,57401,110000578884,12668 391ST AVE.,30,BROWN,-98.4128
,,,Y,SD,,$0,1,Community water system,,,,ALCESTER,,08,,N,0,1,,,,,SD4600004,_______V_____,,,42.831106,County Centroid,0,,1,,110013015218,,30000,UNION,-96.650829
,,,Y,SD,,$0,1,Community water system,,,,ALEXANDRIA,,08,,N,0,0,,,,,SD4600062,_____________,,,43.680612,County Centroid,0,,1,,110012956514,,30000,HANSON,-97.796845
,,,Y,SD,,$0,1,Community water system,,46007,,ALLEN WATER SYSTEM,57714,08,,N,0,1,,ALLEN,,,084690481,VVVVVV______U,,,43.317405,Zip Code Centroid,0,BENNETT COUNTY,,,110012928957,UNKNOWN,10000,SHANNON,-102.023767
,,,Y,SD,,$0,1,Community water system,,,,ALPENA,,08,,N,0,0,,,,,SD4600025,_____________,,,44.063416,County Centroid,0,,5,,110013012738,,30000,JERAULD,-98.623188
46007,,,Y,SD,10140202,$0,1,Community water system,,46007,,AMERICAN HORSE DAY SCHOOL WWTF,57714,08,,N,0,1,,ALLEN,,,084690466,__VVVV______U,95.292,101402020301,43.277417,,0,BENNETT COUNTY,,57714,110020661746,"100 MAIN STREET, PO BOX 660",99999999,BENNETT,-101.922639
,,,Y,SD,,$0,1,Community water system,,,,AMHERST WATER COMPANY,,08,,N,0,0,,,,,SD4600030,_____________,,,45.737054,County Centroid,0,,2,,110013012854,,30000,MARSHALL,-97.580884
,,,Y,SD,,$0,1,Community water system,,,,ARLINGTON,,08,,N,0,0,,,,,SD4600385,_____________,,,44.362969,County Centroid,0,,,,110012999407,,30000,KINGSBURY,-97.499313
,,,Y,SD,,$0,1,Community water system,,,,ARMOUR,,08,,N,0,0,,,,,SD4600028,_____________,,,43.391506,County Centroid,0,,,,110013012792,,30000,DOUGLAS,-98.358433
46047,,,Y,SD,10120109,$0,1,Transient non-community system,,46047,,ARMY CORPS OF ENGINEERS COLD BROOK DAM,57747,08,,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,HOT SPRINGS,,,SD4680102 SD4680120 SD4680125,,15.158,101201090102,43.44815,ADDRESS MATCHING-HOUSE NUMBER,0,FALL RIVER COUNTY,,57747,110006869772,EVANS STREET,50,FALL RIVER,-103.48018
,,,Y,SD,,$0,1,Community water system,,,,AURORA,,08,,N,0,0,,,,,SD4600058,_____________,,,44.376675,County Centroid,0,,,,110013013933,,30000,BROOKINGS,-96.797797
,,,Y,SD,,$0,1,Community water system,,,,AURORA-BRULE RURAL WATER SYSTEM,,08,,N,0,1,,,,,SD4600621,VVVVV________,,,43.724719,County Centroid,0,,1,,110012863605,,30000,AURORA,-98.577587
,,,Y,SD,,$0,1,Community water system,,,,AUTUMN MEADOWS,,08,,N,0,0,,,,,SD4602240,_____________,,,44.606792,County Centroid,0,,,,110020602187,,30000,MEADE,-102.715864
,,,Y,SD,,$0,1,Community water system,,46009,,AVON,57315,08,,N,0,0,,AVON,,,SD4600031,_____________,,,43.00277,Zip Code Centroid,0,BON HOMME COUNTY,,,110013012872,UNK,10000,BON HOMME,-98.05355
,,,Y,SD,,$0,1,Community water system,,,,B & J MOBILE HOME PARK,,08,,N,0,0,,,,,SD4602122,_____________,,,44.606792,County Centroid,0,,1,,110012858149,,30000,MEADE,-102.715864
,,,Y,SD,,$0,1,Community water system,,,,BADGER,,08,,N,0,0,,,,,SD4600032,_____________,,,44.362969,County Centroid,0,,1,,110013012989,,30000,KINGSBURY,-97.499313
,,,Y,SD,,$0,1,Transient non-community system,,,,BADLANDS/WHITE RIVER KOA KAMPGROUND,57750,08,,N,0,1,,INTERIOR,,,SD4600646,_VV__________,,,43.748276,Zip Code Centroid,0,,2,,110052868857,,10000,JACKSON,-101.941602
,,,Y,SD,,$0,1,Community water system,,,,BALTIC,,08,,N,0,0,,,,,SD4600034,_____________,,,43.667472,County Centroid,0,,,,110013013014,,30000,MINNEHAHA,-96.795726
,,,Y,SD,,$0,1,Community water system,,,,BATESLAND,,08,,Y,0,1,,,,,SD4600036,__VV__VV__VVV,,,43.341937,County Centroid,1,,8,,110013013112,,30000,SHANNON,-102.55948
,,,Y,SD,,$0,1,Transient non-community system,,,,BEAR COUNTRY USA,,08,,N,0,0,,,,,SD4600528,_____________,,,44.002349,County Centroid,0,,,,110052824930,,30000,PENNINGTON,-102.823802
,,,Y,SD,,$0,1,Transient non-community system,,,,BEAVER LAKE CAMPGROUND,57730,08,,N,0,1,,CUSTER,,,SD4600529,VVVVVV___VV__,,,43.855937,Zip Code Centroid,0,,6,,110052784581,,10000,CUSTER,-103.6941
,,,Y,SD,,$0,1,Community water system,,,,BELLE FOURCHE,,08,,N,0,1,,,,,SD4600037,_______VVVV__,,,44.896435,County Centroid,0,,2,,110013013176,,30000,BUTTE,-103.501762
,,,Y,SD,,$0,1,Community water system,,,,BERESFORD,,08,,N,0,0,,,,,SD4600386,_____________,,,42.831106,County Centroid,0,,,,110012999504,,30000,UNION,-96.650829
,,,Y,SD,,$0,1,Community water system,,,,BESTGEN WATER COMPANY,,08,,N,0,1,,,,,SD4600387,____VV_______,,,44.606792,County Centroid,0,,1,,110012999568,,30000,MEADE,-102.715864
,,,Y,SD,,$0,1,Transient non-community system,,,,BHHEC-HILLSIDE SYSTEM,57744,08,,N,0,1,,HERMOSA,,,SD4600100,VV___VV_V____,,,43.83966,Zip Code Centroid,0,,6,,110052824770,,10000,CUSTER,-103.194124
,,,Y,SD,,$0,1,Transient non-community system,,,,BHHEC-MAIN LODGE,57744,08,,N,0,1,,HERMOSA,,,SD4600095,V____VV_V____,,,43.83966,Zip Code Centroid,0,,4,,110052824761,,10000,CUSTER,-103.194124
,,,Y,SD,,$0,1,Community water system,,,,BICENTENNIAL TRAILER COURT,,08,,N,0,1,,,,,SD4600426,________VV___,,,44.353669,County Centroid,0,,3,,110012862704,,30000,LAWRENCE,-103.796528
,,,Y,SD,,$0,1,Transient non-community system,,,,BIG PINE CAMPGROUND,57730,08,,N,0,0,,CUSTER,,,SD4600532,_____________,,,43.855937,Zip Code Centroid,0,,,,110052784634,,10000,CUSTER,-103.6941
,,,Y,SD,,$0,1,Community water system,,,,BIG SIOUX COMMUNITY WATER SYSTEM,,08,,N,0,0,,,,,SD4600429,_____________,,,44.012429,County Centroid,0,,,,110012862740,,30000,MOODY,-96.676054
,,,Y,SD,,$0,1,Community water system,,,,BIG STONE CITY,,08,,N,0,1,,,,,SD4600007,__________VV,,,45.172637,County Centroid,0,,3,,110013015361,,30000,GRANT,-96.772261
,,,Y,SD,,$0,1,Community water system,,,,BISON,,08,,N,0,1,,,,,SD4600039,VVVVVV_______,,,45.483387,County Centroid,0,,11,,110013013292,,30000,PERKINS,-102.467995
,,,Y,SD,,$0,1,Transient non-community system,,,,BJ'S HERMOSA,57744,08,,N,0,0,,,,,SD4602207,_____________,,,43.83966,Zip Code Centroid,0,,1,,110052627813,,10000,CUSTER,-103.194124
