FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,TN,,$0,,TN0001261,,ABRAMS CREEK CAMPGROUND,,04,,N,0,0,,,,,,____________U,,35.688185,County Centroid,0,,,110052565737,,30000,BLOUNT,-83.922973
47085,,,Y,TN,06040003,$0,,TN0004910,,"ACCURATE ENERGETIC SYSTEMS, LLC",37101,04,37101,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,MCEWEN,,,47081,VVVVVVVVVVVSU,060400030906,35.982076,ADDRESS MATCHING-HOUSE NUMBER,1,HICKMAN COUNTY,2,110054863420,5891 HIGHWAY 230 WEST,50,HUMPHREYS,-87.705716
47147,,,Y,TN,05130206,$0,,TN0000001,,ADAMS-CEDAR HILL WATER SYSTEM,37010,04,37010,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ADAMS,,,47147,_VVVVVVVVVVVU,051302060705,36.59257,ADDRESS MATCHING-HOUSE NUMBER,1,ROBERTSON COUNTY,4,110020127502,608 KEYSBURG ROAD,50,ROBERTSON,-87.06052
,,,Y,TN,,$0,,TN0000002,,ADAMSVILLE WATER SYSTEM,38310,04,,N,0,0,,ADAMSVILLE,,,47109,____________U,,35.229394,Zip Code Centroid,0,MCNAIRY COUNTY,,110012859754,CITY OF ADAMSVILLE,10000,MCNAIRY,-88.33372
,,,Y,TN,,$0,,TN0004447,,ADVENTURE BOUND CAMPING RESORT-GATLINBUR,,04,,N,0,0,,,,,,____________U,,35.791284,County Centroid,0,,,110052671186,,30000,SEVIER,-83.521955
,,,Y,TN,,$0,,TN0004408,,AEDC COMPLEX-WATER PLANT,,04,,N,0,0,,,,,,____________U,,35.488759,County Centroid,0,,,110052501333,,30000,COFFEE,-86.078219
,,,Y,TN,,$0,,TN0004409,,AEDC GOLF COURSE WATER SYSTEM,,04,,N,0,0,,,,,,____________U,,35.488759,County Centroid,0,,,110052501379,,30000,COFFEE,-86.078219
,,,Y,TN,,$0,,TN0001623,,ALAMO BAPTIST CHURCH,,04,,N,0,0,,,,,,____________U,,36.358175,County Centroid,0,,,110052525647,,30000,OBION,-89.150175
47033,,,Y,TN,08010204,$0,,TN0000005,,ALAMO WATER DEPT,38001,04,38001,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ALAMO,,,47033,VVVVVVVVVVVVU,080102040204,35.783452,ADDRESS MATCHING-HOUSE NUMBER,1,CROCKETT COUNTY,2,110012859807,74 E PARK ST,50,CROCKETT,-89.116149
47009,,,Y,TN,06010201,$0,,TN0000007,,ALCOA WATER SYSTEM - LITTLE RIVER PLANT,37804,04,37804,N,0,1,CENTER OF A FACILITY OR STATION,MARYVILLE,Y,,47009,_____VV_____U,060102010110,35.80843,ADDRESS MATCHING-HOUSE NUMBER,0,BLOUNT COUNTY,3,110052216071,301 SAM HOUSTON SCHOOL RD,30,BLOUNT,-83.92968
,,,Y,TN,,$0,,TN0005097,,ALDER SPRINGS VILLAGE,,04,,N,0,0,,,,,,____________U,,36.401592,County Centroid,0,,,110052582326,,30000,CAMPBELL,-84.15925
,,,Y,TN,,$0,,TN0000008,,ALEXANDRIA WATER SYSTEM,37012,04,,Y,0,1,,ALEXANDRIA,,,47041,______VVVVVVU,,36.005906,Zip Code Centroid,1,DEKALB COUNTY,5,110012858103,CITY OF ALEXANDRIA,10000,DEKALB,-86.04689
,,,Y,TN,,$0,,TN0000009,,ALGOOD WATER SYSTEM,,04,,Y,0,1,,ALGOOD,,,,_VVVVVVVVVVVU,,36.200019,Place Name Centroid,1,,4,110012856999,,20000,PUTNAM,-85.446711
,1,,Y,TN,,$0,,TN0000010,,ALLARDT WATER WORKS,,04,,Y,1,1,,ALLARDT,,,,VVVVVSSSSSVVU,,36.380665,Place Name Centroid,1,,9,110012857024,,20000,FENTRESS,-84.881111
47009,,,Y,TN,06010201,$0,,TN0000974,,ALLENDALE DRIVE MOBLIE HOME PK,37777,04,37777,Y,0,1,CENTER OF A FACILITY OR STATION,LOUISVILLE,,,47009,VVVVVVVVVVVVU,060102010110,35.86374,ADDRESS MATCHING-HOUSE NUMBER,1,BLOUNT COUNTY,9,110012844958,1015 CRESTHILL DR.,30,BLOUNT,-83.96273
,,,Y,TN,,$0,,TN0000014,,ALPHA-TALBOTT UTILITY DIST.,37877,04,,N,0,0,,TALBOTT,,,47063,____________U,,36.174369,Zip Code Centroid,0,HAMBLEN COUNTY,,110012857060,PO BOX 100.,10000,HAMBLEN,-83.419595
,1,,Y,TN,,$0,,TN0004326,,ANTIOCH BAPTIST CHURCH - HUMBOLDT,,04,,Y,1,1,,,,,,SSVVVVVVVVVVU,,35.606056,County Centroid,1,,8,110052581498,,30000,MADISON,-88.833424
,,,Y,TN,,$0,,TN0000948,,"AQUA UTILITIES CO, INC",,04,,Y,0,1,,ADAMSVILLE,,,,__VVVVVVVVVVU,,35.234084,Place Name Centroid,1,,2,110012844556,,20000,HARDIN,-88.370871
,,,Y,TN,,$0,1,TN0001500,,ARARAT BAPTIST CHURCH,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,35.606056,County Centroid,1,,2,110052855022,,30000,MADISON,-88.833424
,,,Y,TN,,$0,,TN0000018,,ARDMORE WATER SYSTEM,,04,,N,0,0,,ARDMORE,,,,____________U,,35.004441,Place Name Centroid,0,,,110012952821,,20000,GILES,-86.850713
,,,Y,TN,,$0,,TN0004171,,ARMSTRONG FERRY CAMPGROUND,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,35.503397,County Centroid,1,,,110052505918,,30000,MEIGS,-84.823888
47031,,03/28/2002,Y,TN,06030003,$0,,TN0000830,"$7,500",ARNOLD ENGINEERING DEVELOPMENT COMPLEX,37389,04,37342,Y,0,1,CENTER OF A FACILITY OR STATION,ARNOLD AFB,,,47051,,060400020103,35.3778,INTERPOLATION-MAP,1,FRANKLIN COUNTY,,110017413217,100 KINDEL DR,18600,COFFEE,-86.0456
47025,,,Y,TN,06010206,$0,,TN0000022,,ARTHUR-SHAWANEE UTILITY DISTRI,37752,04,37752,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,HARROGATE,,,47025,____________U,060102060404,36.578103,ADDRESS MATCHING-HOUSE NUMBER,0,CLAIBORNE COUNTY,3,110012857088,112 KIRBY ST,50,CLAIBORNE,-83.655055
,,,Y,TN,,$0,,TN0000023,,ASHLAND CITY WATER DEPT,37015,04,,Y,0,1,,ASHLAND CITY,,,47021,VVVVVVVVVVVVU,,36.301353,Zip Code Centroid,1,CHEATHAM COUNTY,2,110012857113,ASHLAND CITY,10000,CHEATHAM,-87.038236
,,,Y,TN,,$0,,TN0000024,,ATHENS UTILITIES BOARD,37371,04,,N,0,0,,ATHENS,,,47107,____________U,,35.440184,Zip Code Centroid,0,MCMINN COUNTY,,110012950967,PO BOX 689,10000,MCMINN,-84.59257
,,,Y,TN,,$0,,TN0000033,,ATOKA WATER SYSTEM,,04,,Y,0,1,,ATOKA,,,,VVVVVVVVVVVVU,,35.426947,Place Name Centroid,1,,2,110012857140,,20000,TIPTON,-89.784228
,,,Y,TN,,$0,,TN0000035,,ATWOOD WATER SYSTEM,,04,,N,0,0,,ATWOOD,,,,____________U,,35.972509,Place Name Centroid,0,,,110012857168,,20000,CARROLL,-88.669804
,,,Y,TN,,$0,,TN0004508,,BANDY CREEK CAMPGROUND,,04,,N,0,0,,,,,,____________U,,36.437239,County Centroid,0,,,110052438741,,30000,SCOTT,-84.498386
47141,,,Y,TN,05130106,$0,,TN0000038,,BANGHAM UTILITY DIST,38506,04,38506,N,0,0,CENTER OF A FACILITY OR STATION,COOKEVILLE,,,47141,____________U,051301060205,36.21498,ADDRESS MATCHING-HOUSE NUMBER,0,PUTNAM COUNTY,,110012857195,3694 HILHAM RD,30,PUTNAM,-85.4807
,,,Y,TN,,$0,,TN0000765,,BARTLETT WATER SYSTEM,,04,,Y,0,1,,BARTLETT,,,,__________VVU,,35.230222,Place Name Centroid,1,,2,110012845724,,20000,SHELBY,-89.821863
,1,,Y,TN,,$0,1,TN0002697,,BATTLE CREEK MARKET,,04,,Y,1,1,,,,,,SSSVVVVVVVVVU,,35.133422,County Centroid,1,,15,110052700145,,30000,MARION,-85.618399
,,,Y,TN,,$0,,TN0000040,,BAXTER WATER DEPT,,04,,Y,0,1,,BAXTER,,,,_VVVVVVVVVVVU,,36.153404,Place Name Centroid,1,,2,110012857211,,20000,PUTNAM,-85.635307
,,,Y,TN,,$0,,TN0000805,,BAYS MOUNTAIN MOBILE HOME PARK,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,35.688185,County Centroid,1,,8,110012946599,,30000,BLOUNT,-83.922973
,,,Y,TN,,$0,,TN0002618,,BAYS MTN PARK WATER SYSTEM,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,36.510212,County Centroid,1,,10,110052469351,,30000,SULLIVAN,-82.299397
,,,Y,TN,,$0,,TN0005103,,BEACH ISLAND MARINA,,04,,Y,0,1,,,,,,______VVVVVVU,,36.28414,County Centroid,1,,2,110052582442,,30000,UNION,-83.836088
,,,Y,TN,,$0,,TN0000041,,BEAN STATION UTILITY DISTRICT,37708,04,,N,0,0,,BEAN STATION,,,47057,____________U,,36.32303,Zip Code Centroid,0,GRAINGER COUNTY,,110012857239,PO BOX 52,10000,GRAINGER,-83.313778
47003,1,,Y,TN,06040002,$0,,TN0000517,,BEDFORD COUNTY UD,37160,04,37160,Y,1,1,CENTER OF A FACILITY OR STATION,SHELBYVILLE,,,47003,SSVVVVVVVSSSU,060400020303,35.48229,ADDRESS MATCHING-HOUSE NUMBER,1,BEDFORD COUNTY,26,110012850030,214 BETHANY LN,30,BEDFORD,-86.4399
,,,Y,TN,,$0,,TN0001237,,BEECH SPRING BAPTIST CHURCH,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,35.416639,County Centroid,1,,9,110052722595,,30000,CHESTER,-88.605505
,,,Y,TN,,$0,,TN0000044,,BELL BUCKLE WATER SYSTEM,37020,04,,N,0,0,,BELL BUCKLE,,,47003,____________U,,35.589399,Zip Code Centroid,0,BEDFORD COUNTY,,110012951056,CITY OF BELL BUCKLE,10000,BEDFORD,-86.366465
,,,Y,TN,,$0,,TN0000045,,BELLS PUBLIC UTILITY DISTRICT,,04,,Y,0,1,,BELLS,,,,____VVVVVVVVU,,35.720858,Place Name Centroid,1,,3,110012857293,,20000,CROCKETT,-89.087986
,,,Y,TN,,$0,,TN0000046,,BELVIDERE RURAL UTILITY DISTRI,37306,04,,N,0,0,,BELVIDERE,,,47051,____________U,,35.093275,Zip Code Centroid,0,FRANKLIN COUNTY,3,110012857319,PO BOX 67,10000,FRANKLIN,-86.174091
,,,Y,TN,,$0,,TN0000048,,BENTON WATER SYSTEM,,04,,Y,0,1,,BENTON,,,,VVVVVVVVVVVVU,,35.174569,Place Name Centroid,1,,2,110012857346,,20000,POLK,-84.652153
,,,Y,TN,,$0,,TN0005175,,BERRY'S ONE STOP,,04,,N,0,0,,,,,,____________U,,35.242687,County Centroid,0,,,110063337786,,30000,WAYNE,-87.819703
,,,Y,TN,,$0,,TN0000050,,BETHEL SPRINGS WATER SYSTEM,,04,,N,0,0,,BETHEL SPRINGS,,,,____________U,,35.234687,Place Name Centroid,0,,,110012857373,,20000,MCNAIRY,-88.611757
,,,Y,TN,,$0,,TN0004053,,BETHLEHEM BAPTIST CHURCH,,04,,N,0,0,,,,,,____________U,,35.606056,County Centroid,0,,,110052502868,,30000,MADISON,-88.833424
,,,Y,TN,,$0,,TN0000122,,BIG CREEK UTILITY DISTRICT,37301,04,,N,0,0,,ALTAMONT,,,47061,____________U,,35.436097,Zip Code Centroid,0,GRUNDY COUNTY,,110012855990,PO BOX 160,10000,GRUNDY,-85.741298
,,,Y,TN,,$0,,TN0000051,,BIG SANDY WATER DEPT,,04,,N,0,0,,BIG SANDY,,,,____________U,,36.232356,Place Name Centroid,0,,,110012857391,,20000,BENTON,-88.085485
,,,Y,TN,,$0,,TN0004360,,BIRDSONG RESORT & MARINA,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,36.069253,County Centroid,1,,4,110052669475,,30000,BENTON,-88.071212
,,,Y,TN,,$0,,TN0004989,,BLACK BEAR RESORT,,04,,N,0,1,,,,,,VVVVVVVVVVVVU,,36.284744,County Centroid,0,,2,110052634208,,30000,CARTER,-82.126593
,,,Y,TN,,$0,,TN0004794,,BLACK OAK MARINA,,04,,N,0,1,,,,,,______VV____U,,36.048479,County Centroid,0,,6,110051906023,,30000,JEFFERSON,-83.440966
,,,Y,TN,,$0,,TN0008285,,BLACKBERRY MOUNTAIN L.L.C.,,04,,Y,0,1,,,,,,___________VU,,35.688185,County Centroid,1,,2,TN0008285,,30000,Blount,-83.922973
47163,,,Y,TN,06010102,$0,,TN0000056,,BLOOMINGDALE UTILITY DISTRICT,37660,04,37660,N,0,0,CENTER OF A FACILITY OR STATION,KINGSPORT,,,47163,____________U,060101020703,36.5848,ADDRESS MATCHING-HOUSE NUMBER,0,SULLIVAN COUNTY,3,110012857453,3212 BLOOMINGDALE ROAD,30,SULLIVAN,-82.48837
,,,Y,TN,,$0,,TN0000058,,BLOUNTVILLE UD,,04,,N,0,0,,,,,,____________U,,36.510212,County Centroid,0,,,110012951145,,30000,SULLIVAN,-82.299397
,,,Y,TN,,$0,,TN0004837,,BLUE SPRINGS DOCK,,04,,Y,0,1,,,,,,___________VU,,36.28414,County Centroid,1,,,110052519262,,30000,UNION,-83.836088
,1,,Y,TN,,$0,,TN0000958,,BLUEBIRD HILLS MOBILE HOME COM,37101,04,,Y,1,1,,MC EWEN,,,47085,VVVVVVVVVVVVU,,35.924981,Zip Code Centroid,1,HUMPHREYS COUNTY,10,110012947375,HIGHWAY 70 EAST,10000,HUMPHREYS,-87.64994
,,,Y,TN,,$0,,TN0004992,,"BLUES CITY BREWERY, LLC",,04,,N,0,1,,,,,,VVV_________U,,35.183794,County Centroid,0,,3,110052643608,,30000,SHELBY,-89.895397
