FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,1,,Y,TX,,$0,1,Transient non-community system,,,,1017 CAFE,,06,,Y,1,1,,,,,TX2140030,VVVVVVVVVVVVV,,,26.546335,County Centroid,1,,40,,110053012360,,30000,STARR,-98.715803
,,,Y,TX,,$0,1,Community water system,,,,114TH STREET MOBILE HOME PARK,,06,,Y,0,1,,,,,TX1520067,VVVVSVVVVVVVV,,,33.611469,County Centroid,1,,80,,110048344163,,30000,LUBBOCK,-101.819944
,,,Y,TX,,$0,1,Transient non-community system,,,,1300 ALDINE MAIL ROUTE OFFICE PARK,,06,,N,0,0,,,,,TX1011354,_____________,,,31.434703,State Centroid,0,,,,110052630550,,100000,,-99.281824
,1,,Y,TX,,$0,1,Non-Transient non-community system,,,,1350 HUGH ROAD WATER SYSTEM,,06,,Y,1,1,,,,,TX1012765,_______VVVVVV,,,29.857273,County Centroid,1,,4,,110052825109,,30000,HARRIS,-95.393037
,,,Y,TX,,$0,1,Non-Transient non-community system,,,,14200 STUEBNER AIRLINE OFFICE WAREHOUSE,,06,,Y,0,1,,,,,TX1012239,VVVV____VVSSV,,,29.857273,County Centroid,1,,18,,110052787882,,30000,HARRIS,-95.393037
,,,Y,TX,,$0,1,Non-Transient non-community system,,,,147TH T A N G,,06,,N,0,1,,,,,TX1013173,VVV_VVVV_____,,,29.857273,County Centroid,0,,19,,110052592271,,30000,HARRIS,-95.393037
,,,Y,TX,,$0,1,Community water system,,,,1485 LIMITED CRYSTAL SPRINGS WATER CO,,06,,N,0,1,,,,,TX1700580,__VVV________,,,30.302364,County Centroid,0,,8,,110048995744,,30000,MONTGOMERY,-95.503523
,,,Y,TX,,$0,1,Transient non-community system,,,,2 K RESERVE,,06,,N,0,0,,,,,TX2370116,_____________,,,30.013578,County Centroid,0,,,,TX2370116,,30000,Waller,-95.982102
,,,Y,TX,,$0,1,Transient non-community system,,,,242 EXPRESS MART,,06,,N,0,1,,,,,TX1700814,___VVVVSSVV__,,,30.302364,County Centroid,0,,25,,110052932699,,30000,MONTGOMERY,-95.503523
,,,Y,TX,,$0,1,Transient non-community system,,,,2920 FOOD MART,,06,,N,0,0,,,,,TX1013469,_____________,,,29.857273,County Centroid,0,,,,110052605169,,30000,HARRIS,-95.393037
,,,Y,TX,,$0,1,Community water system,,,,2920 WEST SUBDIVISION,,06,,N,0,0,,,,,TX1012276,_____________,,,29.857273,County Centroid,0,,,,110048885159,,30000,HARRIS,-95.393037
,,,Y,TX,,$0,1,Transient non-community system,,,,2978 EXPRESS,,06,,N,0,0,,,,,TX1700863,_____________,,,30.302364,County Centroid,0,,,,TX1700863,,30000,Montgomery,-95.503523
,,,Y,TX,,$0,1,Community water system,,,,3 G WSC,,06,,Y,0,1,,,,,TX1500006,________VVVVV,,,30.707585,County Centroid,1,,14,,110048762040,,30000,LLANO,-98.68469
,,,Y,TX,,$0,1,Community water system,,,,3-D MOBILE HOME AND RV PARK,,06,,N,0,1,,,,,TX0910072,VVVVVVV___VVV,,,33.624508,County Centroid,0,,27,,110013271869,,30000,GRAYSON,-96.675699
,,,Y,TX,,$0,1,Transient non-community system,,,,3180 CONVENIENCE STORE & GAS,,06,,N,0,0,,,,,TX0360131,_____________,,,29.703933,County Centroid,0,,,,TX0360131,,30000,Chambers,-94.668875
,,,Y,TX,,$0,1,Community water system,,,,3D BUNKHOUSE PWS,,06,,N,0,0,,,,,TX0720059,_____________,,,32.238136,County Centroid,0,,,,TX0720059,,30000,Erath,-98.222377
,,,Y,TX,,$0,1,Non-Transient non-community system,,,,3H FARMS,,06,,N,0,1,,,,,TX1700835,____VVVV_____,,,30.302364,County Centroid,0,,6,,TX1700835,,30000,Montgomery,-95.503523
,,,Y,TX,,$0,1,Transient non-community system,,,,3S SERVICES,,06,,N,0,0,,,,,TX0640055,_____________,,,28.423587,County Centroid,0,,6,,110063355462,,30000,DIMMIT,-99.765871
,,,Y,TX,,$0,1,Non-Transient non-community system,,,,3S SERVICES MIDLAND,,06,,Y,0,1,,,,,TX1650170,_________SSSV,,,31.870896,County Centroid,1,,29,,TX1650170,,30000,Midland,-102.024326
,,,Y,TX,,$0,1,Transient non-community system,,,,4 CORNERS BAR B Q,,06,,N,0,0,,,,,TX1012822,_____________,,,29.857273,County Centroid,0,,,,110052737865,,30000,HARRIS,-95.393037
,1,,Y,TX,,$0,1,Community water system,,,,4 D WATER COMPANY,,06,,Y,1,1,,,,,TX0460152,VSSSSSVVVVVVV,,,29.803019,County Centroid,1,,51,,110049591633,,30000,COMAL,-98.255201
,1,,Y,TX,,$0,1,Transient non-community system,,,,4 J RIVER WAY,,06,,N,1,1,,,,,TX2320053,VVV__________,,,29.35034,County Centroid,0,,13,,110052864361,,30000,UVALDE,-99.761074
,,,Y,TX,,$0,1,Community water system,,,,4 R RANCH WATER 2,,06,,N,0,1,,,,,TX1160091,_______VVVVV,,,33.123438,County Centroid,0,,8,,110048800972,,30000,HUNT,-96.083807
,,,Y,TX,,$0,1,Transient non-community system,,,,4 WAY BAR & GRILL,,06,,N,0,1,,,,,TX0100107,VVVVVVVVVVVV,,,29.755748,County Centroid,0,,95,,110063359066,,30000,BANDERA,-99.260682
,,,Y,TX,,$0,1,Transient non-community system,,,,4.0 CELLARS,,06,,N,0,0,,,,,TX0860120,_____________,,,30.32639,County Centroid,0,,,,110063355578,,30000,GILLESPIE,-98.942106
,1,,Y,TX,,$0,1,Community water system,,,,410 WSC,,06,,N,1,1,,,,,TX1940006,SVV__________,,,33.619626,County Centroid,0,,18,,110048840466,,30000,RED RIVER,-95.048429
,1,,Y,TX,,$0,1,Community water system,,,,439 WSC,,06,,N,1,1,,,,,TX0140076,_VVVSSVV_____,,,31.04211,County Centroid,0,,29,,110049741543,,30000,BELL,-97.481921
,,,Y,TX,,$0,1,Transient non-community system,,,,46 CROSSING,,06,,N,0,0,,,,,TX1300056,_____________,,,29.944524,County Centroid,0,,,,110052737384,,30000,KENDALL,-98.711094
