FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,UT,,$0,,UTAH02001,,ACME WATER COMPANY,,08,,N,0,1,,,,,49003,V___VVVVV____,,41.476021,County Centroid,0,BOX ELDER COUNTY,26,110017909593,,30000,BOX ELDER,-113.052922
,,,Y,UT,,$0,,UTAH14007,,ADELAIDE CAMPGROUND,,08,,N,0,1,,,,,,_V_____V_____,,39.09454,County Centroid,0,,10,110053028905,,30000,MILLARD,-113.525014
,,,Y,UT,,$0,,UTAH18062,,ALBION BASIN CAMPGROUND,,08,,N,0,1,,,,,,VVVV_________,,40.667882,County Centroid,0,,6,110052931440,,30000,SALT LAKE,-111.924244
,,,Y,UT,,$0,,UTAH18052,,ALFS INN,,08,,Y,0,1,,,,,,VVVVVVVVVVVVV,,40.667882,County Centroid,1,,16,110052914691,,30000,SALT LAKE,-111.924244
,,,Y,UT,,$0,,UTAH25007,,ALPINE,,08,,N,0,0,,,,,,_____________,,40.120409,County Centroid,0,,4,110017899443,,30000,UTAH,-111.668667
49049,,,Y,UT,16020201,$0,,UTAH25124,,ALPINE COVE WATER SSD,,08,84004,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,,,,49049,VVVVVVVSSSSSV,160202011001,40.47779,ADDRESS MATCHING-HOUSE NUMBER,1,UTAH COUNTY,22,110017900388,,50,UTAH,-111.76221
,,,Y,UT,,$0,,UTAH18049,,ALTA TOWN WATER SYSTEM,84092,08,,N,0,0,,ALTA,,,49035,_____________,,40.580675,Zip Code Centroid,0,SALT LAKE COUNTY,,110017903287,UNK,10000,SALT LAKE,-111.704293
,,,Y,UT,,$0,,UTAH13001,,ALTON,,08,,Y,0,1,,,,,,VVVVVVVSVVVVV,,37.275118,County Centroid,1,,22,110017907247,,30000,KANE,-111.815413
,,,Y,UT,,$0,,UTAH03002,,AMALGA,,08,,N,0,1,,,,,,VVVVVVVVVV___,,41.734225,County Centroid,0,,26,110017893243,,30000,CACHE,-111.744581
49049,,,Y,UT,16020201,$0,,UTAH25008,,AMERICAN FORK CITY PUBLIC WORKS COMPLEX,84003,08,84003,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,AMERICAN FORK,,,49049,VVVVVVVVVVVVV,160202010803,40.381022,ADDRESS MATCHING-HOUSE NUMBER,1,UTAH COUNTY,8,110017899461,275 EAST 200 NORTH,50,UTAH,-111.791237
