FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,VA,,$0,1,Transient non-community system,,,,208 VARIETY STORE AND ZESTY`S,,03,,N,0,1,,,,,VA6177377,VV____VV____U,,,38.182311,County Centroid,0,,10,,110050664731,,30000,SPOTSYLVANIA,-77.65628
51077,,,Y,VA,05050001,$0,1,Transient non-community system,,51077,,21 GROCERY,24326,03,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ELK CREEK,,,VA1077411,____VVVVVVVVU,9.197,050500010502,36.718993,ADDRESS MATCHING-HOUSE NUMBER,1,GRAYSON COUNTY,6,24326,110052979229,9345 ELK CREEK PARKWAY,50,GRAYSON,-81.167937
,,,Y,VA,,$0,1,Transient non-community system,,,,21229 N. BAYSIDE ROAD,,03,,Y,0,1,,,,,VA3131590,____VVVVVSSSU,,,37.302629,County Centroid,1,,22,,110053026694,,30000,NORTHAMPTON,-75.923868
,,,Y,VA,,$0,1,Non-Transient non-community system,,,,"4F, LLC",,03,,N,0,0,,,,,VA2003075,____________U,,,38.024184,County Centroid,0,,,,110052767467,,30000,ALBEMARLE,-78.553506
,,,Y,VA,,$0,1,Community water system,,,,501 TRAILER COURT,,03,,N,0,0,,,,,VA5031980,____________U,,,37.210151,County Centroid,0,,1,,110012821571,,30000,CAMPBELL,-79.095429
,,,Y,VA,,$0,1,Transient non-community system,,,,5750 CLUB INC,,03,,N,0,1,,,,,VA6153170,VV__VV______U,,,38.702332,County Centroid,0,,12,,110050650826,,30000,PRINCE WILLIAM,-77.478887
,,,Y,VA,,$0,1,Transient non-community system,,,,605 PRINCESS ANNE ROAD,,03,,Y,0,1,,,,,VA3810099,_VVV_____VVVU,,,37.522251,State Centroid,1,,3,,VA3810099,,100000,,-78.668194
,,,Y,VA,,$0,1,Transient non-community system,,,,7K FARMS,,03,,N,0,0,,,,,VA5031808,____________U,,,37.210151,County Centroid,0,,,,VA5031808,,30000,Campbell,-79.095429
,,,Y,VA,,$0,1,Transient non-community system,,,,A. R. E. CAMP TES,,03,,Y,0,1,,,,,VA1173011,VVV__VV___VVU,,,36.842318,County Centroid,1,,17,,110053025025,,30000,SMYTH,-81.539786
,,,Y,VA,,$0,1,Non-Transient non-community system,,,,"ABB POWER T & D COMPANY, INC.",,03,,N,0,1,,,,,VA1021056,VVV_VVVVVVV_U,,,37.130612,County Centroid,0,,11,,110052912210,,30000,BLAND,-81.125853
