FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,143-145 WINDRIDGE DRIVE,,01,,N,0,0,,,,,VT0021139,_____________,,,44.460676,County Centroid,0,,,,110049645693,,30000,CHITTENDEN,-73.070525
,,,Y,VT,,$0,1,Transient non-community system,,,,1824 HOUSE,,01,,N,0,1,,,,,VT0021155,VVVV_________,,,44.274953,County Centroid,0,,7,,110049646004,,30000,WASHINGTON,-72.609475
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,19 PRECAST ROAD,,01,,Y,0,1,,,,,VT0021596,_______VSSSSV,,,44.460676,County Centroid,1,,73,,VT0021596,,30000,Chittenden,-73.070525
,,,Y,VT,,$0,1,Transient non-community system,,,,19TH HOLE  WILLISTON COUNTRY CLUB,,01,,N,0,1,,,,,VT0002232,_______VVV___,,,44.460676,County Centroid,0,,3,,110049740740,,30000,CHITTENDEN,-73.070525
,,,Y,VT,,$0,1,Transient non-community system,,,,7 ELEVEN STORE NO 32511,,01,,N,0,0,,,,,VT0021237,_____________,,,43.035325,County Centroid,0,,,,110049514897,,30000,BENNINGTON,-73.11146
,,,Y,VT,,$0,1,Transient non-community system,,,,7 ELEVEN STORE NO 32512,,01,,N,0,0,,,,,VT0021009,_____________,,,42.999143,County Centroid,0,,,,110049909907,,30000,WINDHAM,-72.716335
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,802 TOYOTA,,01,,N,0,1,,,,,VT0021349,VSVV____VV___,,,44.274953,County Centroid,0,,8,,110049501883,,30000,WASHINGTON,-72.609475
,,,Y,VT,,$0,1,Transient non-community system,,,,ABBEY PUB RESTAURANT,,01,,N,0,0,,,,,VT0001213,_____________,,,44.858964,County Centroid,0,,,,110053043470,,30000,FRANKLIN,-72.909402
,,,Y,VT,,$0,1,Transient non-community system,,,,ABBOTTS GLEN,,01,,N,0,0,,,,,VT0020965,_____________,,,42.999143,County Centroid,0,,5,,110049603899,,30000,WINDHAM,-72.716335
,,,Y,VT,,$0,1,Transient non-community system,,,,ABEL MOUNTAIN CAMPGROUND,,01,,N,0,0,,,,,VT0008153,_____________,,,44.003392,County Centroid,0,,,,110049819407,,30000,ORANGE,-72.369687
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,ADDISON COUNTY HOME HEALTH AND HOSPICE,,01,,Y,0,1,,,,,VT0020908,VVVVVVVVVVVVV,,,44.031248,County Centroid,1,,12,,110049634099,,30000,ADDISON,-73.141581
,,,Y,VT,,$0,1,Transient non-community system,,,,ADDISON COUNTY HOME HEALTH NEIGHBORS,,01,,N,0,0,,,,,VT0004637,_____________,,,44.031248,County Centroid,0,,,,110049642785,,30000,ADDISON,-73.141581
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,ADVANCED ILLUMINATION INC,,01,,N,0,1,,,,,VT0021345,__VVVVVVVVVVV,,,43.588143,County Centroid,0,,10,,110049501829,,30000,WINDSOR,-72.591515
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,AGRI-MARK WAITSFIELD,,01,,Y,0,1,,,,,VT0020874,VVVVVVVVVVVVV,,,44.274953,County Centroid,1,,,,110049725268,,30000,WASHINGTON,-72.609475
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,ALBANY COMMUNITY SCHOOL,,01,,N,0,0,,,,,VT0020563,_____________,,,44.828442,County Centroid,0,,,,110049909337,,30000,ORLEANS,-72.25163
,,,Y,VT,,$0,1,Community water system,,,,ALBANY WATER SYSTEM,,01,,N,0,0,,,,,VT0005188,_____________,,,44.828442,County Centroid,0,,,,110012828173,,30000,ORLEANS,-72.25163
,,,Y,VT,,$0,1,Non-Transient non-community system,,,,ALBERT BRIDGE SCHOOL,,01,,Y,0,1,,,,,VT0006077,VVVVVVVVVVVVV,,,43.588143,County Centroid,1,,4,,110049573724,,30000,WINDSOR,-72.591515
,,,Y,VT,,$0,1,Transient non-community system,,,,ALBURG RV RESORT,,01,,Y,0,1,,,,,VT0008257,_VVVVVVVVVVVV,,,44.801788,County Centroid,1,,7,,110049895538,,30000,GRAND ISLE,-73.300758
,,,Y,VT,,$0,1,Transient non-community system,,,,ALBURG SHORT STOP MOBIL,,01,,N,0,0,,,,,VT0020972,_____________,,,44.801788,County Centroid,0,,2,,110049604022,,30000,GRAND ISLE,-73.300758
,,,Y,VT,,$0,1,Community water system,,,,ALBURGH FIRE DISTRICT 1,,01,,Y,0,1,,,,,VT0005137,__________VSV,,,44.801788,County Centroid,1,,15,,110012828761,,30000,GRAND ISLE,-73.300758
,,,Y,VT,,$0,1,Community water system,,,,ALBURGH FIRE DISTRICT 2,,01,,N,0,1,,,,,VT0020964,VVVVVV_______,,,44.801788,County Centroid,0,,25,,110063358968,,30000,GRAND ISLE,-73.300758
,,,Y,VT,,$0,1,Community water system,,50013,,ALBURGH VILLAGE WATER SYSTEM,05440,01,,N,0,1,,ALBURGH,,,VT0005136,VVVVV________,,,44.957445,Zip Code Centroid,0,GRAND ISLE COUNTY,23,,110010599290,TOWN-WIDE WATER SYSTEM,10000,GRAND ISLE,-73.265875
,,,Y,VT,,$0,1,Transient non-community system,,,,ALLEN BROTHERS INC,,01,,N,0,1,,,,,VT0021367,VVVV__VV_____,,,42.999143,County Centroid,0,,17,,110049501990,,30000,WINDHAM,-72.716335
,,,Y,VT,,$0,1,Transient non-community system,,,,ALLIS STATE PARK,,01,,N,0,0,,,,,VT0008039,_____________,,,44.003392,County Centroid,0,,,,110049777782,,30000,ORANGE,-72.369687
,,,Y,VT,,$0,1,Transient non-community system,,,,ALOHA GIRLS CAMP,,01,,N,0,0,,,,,VT0006401,_____________,,,44.003392,County Centroid,0,,,,110049742276,,30000,ORANGE,-72.369687
,,,Y,VT,,$0,1,Transient non-community system,,,,ALOHA HIVE CAMP,,01,,N,0,0,,,,,VT0006402,_____________,,,44.003392,County Centroid,0,,,,110049742294,,30000,ORANGE,-72.369687
,,,Y,VT,,$0,1,Transient non-community system,,,,ALOHA MIDDLEBROOK CAMPUS,,01,,N,0,0,,,,,VT0006422,_____________,,,44.003392,County Centroid,0,,,,110049742490,,30000,ORANGE,-72.369687
,,,Y,VT,,$0,1,Community water system,,,,ALPEN MEADOWS,,01,,Y,0,1,,,,,VT0005359,VVVVVVVVVVVVV,,,43.588143,County Centroid,1,,21,,110012827209,,30000,WINDSOR,-72.591515
,,,Y,VT,,$0,1,Community water system,,,,ALPINE HAVEN,,01,,Y,0,1,,,,,VT0005208,__________VVV,,,44.828442,County Centroid,1,,2,,110012828280,,30000,ORLEANS,-72.25163
,,,Y,VT,,$0,1,Transient non-community system,,,,ALPINE TRAILS LODGE,,01,,Y,0,1,,,,,VT0002637,_______VVVVVV,,,44.060548,State Centroid,1,,6,,110049666937,,100000,,-72.673354
,,,Y,VT,,$0,1,Transient non-community system,,,,ALPINE VALLEY RV PARK,,01,,Y,0,1,,,,,VT0021228,_V___VVVVVVVV,,,44.724021,County Centroid,1,,20,,110049514628,,30000,ESSEX,-71.732736
,,,Y,VT,,$0,1,Community water system,,,,ALTA GARDENS ESTATES,,01,,N,0,1,,,,,VT0005628,VV___________,,,43.035325,County Centroid,0,,30,,110012826353,,30000,BENNINGTON,-73.11146
,,,Y,VT,,$0,1,Transient non-community system,,,,AMEE FARM,,01,,Y,0,1,,,,,VT0021292,VVVSSVVVVVVVV,,,43.580844,County Centroid,1,,40,,110049905769,,30000,RUTLAND,-73.038196
,,,Y,VT,,$0,1,Transient non-community system,,,,AMERICAN FLAT BREAD LAREAU FARM INN,,01,,N,0,0,,,,,VT0020691,_____________,,,44.274953,County Centroid,0,,3,,110049936049,,30000,WASHINGTON,-72.609475
,,,Y,VT,,$0,1,Transient non-community system,,,,AMERICAN LEGION POST 90,,01,,N,0,0,,,,,VT0021059,_____________,,,43.035325,County Centroid,0,,3,,110049864090,,30000,BENNINGTON,-73.11146
,,,Y,VT,,$0,1,Transient non-community system,,,,APPLE ISLAND RESORT,,01,,N,0,0,,,,,VT0020477,_____________,,,44.801788,County Centroid,0,,,,110049530316,,30000,GRAND ISLE,-73.300758
,,,Y,VT,,$0,1,Transient non-community system,,,,APPLE VALLEY INN CAFE,,01,,N,0,0,,,,,VT0001488,_____________,,,43.035325,County Centroid,0,,,,110049597815,,30000,BENNINGTON,-73.11146
