FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,WA,,$0,1,Transient non-community system,,,,109 RV PARK & CAMPGROUND,,10,,N,0,0,,,,,WA5389032,_____________,,,47.41623,State Centroid,0,,,,110049610943,,100000,,-120.599623
,,,Y,WA,,$0,1,Community water system,,,,141ST AVE KPN WATER COMPANY,,10,,N,0,1,,,,,WA5324781,VVVVVVVVVVV__,,,47.040716,County Centroid,0,,,,110013043786,,30000,PIERCE,-122.144709
,,,Y,WA,,$0,1,Transient non-community system,,,,164TH ST ARTESIAN WELL,,10,,N,0,0,,,,,WA5301319,_____________,,,48.054913,County Centroid,0,,,,110049515020,,30000,SNOHOMISH,-121.766412
53073,,,Y,WA,17110004,$0,1,Community water system,,53073,,5 CEDARS WATER SYSTEM,98244,10,,Y,0,1,FACILITY CENTROID,DEMING,,,105300028,SSSSSVVVSSVSU,34.716,171100040406,48.781264,INTERPOLATION-PHOTO,1,WHATCOM COUNTY,,98244,110012946009,ULUQUANCE DR,341,WHATCOM,-122.212059
,,,Y,WA,,$0,1,Transient non-community system,,,,59ER DINER,,10,,N,0,1,,,,,WA5365071,______VVV__VV,,,47.859892,County Centroid,0,,,,110049824641,,30000,CHELAN,-120.618543
,,,Y,WA,,$0,1,Community water system,,,,60TH STREET WATER WORKS,,10,,N,0,0,,,,,WA5337925,_____________,,,48.054913,County Centroid,0,,,,110013030148,,30000,SNOHOMISH,-121.766412
53009,,,Y,WA,17110020,$0,1,Non-Transient non-community system,,53009,,7 CEDARS RESORT,98382,10,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,SEQUIM,,,105300108,_V_VV____VV_U,10.268,171100200203,48.020898,ADDRESS MATCHING-HOUSE NUMBER,0,CLALLAM COUNTY,,98382,110070519911,270756 US-101,50,,-123.006964
,,,Y,WA,,$0,1,Transient non-community system,,,,79TH AVE COMMUNITY WATER ASSOC,,10,,N,0,0,,,,,WA5302728,_____________,,,47.040716,County Centroid,0,,,,110049720628,,30000,PIERCE,-122.144709
,,,Y,WA,,$0,1,Transient non-community system,,,,97 Rock House WS,,10,,N,0,1,,,,,WA53AD315,VVVVV_____VVV,,,47.859892,County Centroid,0,,,,WA53AD315,,30000,Chelan,-120.618543
53027,,,Y,WA,17100105,$0,1,Community water system,,53027,,ABERDEEN CITY WATER DEPARTMENT,98520,10,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ABERDEEN,,,WA5300050,___________VV,23.301,171001050204,46.96687,ADDRESS MATCHING-HOUSE NUMBER,1,GRAYS HARBOR COUNTY,,98520,110005368379,1201 W HERON ST,50,GRAYS HARBOR,-123.8299
,,,Y,WA,,$0,1,Transient non-community system,,,,ABERNATHY ASSEMBLY OF GOD,,10,,Y,0,1,,,,,WA53AB005,VVVVVVVVVVVVV,,,46.185923,County Centroid,1,,,,110049729068,,30000,COWLITZ,-122.658682
,,,Y,WA,,$0,1,Non-Transient non-community system,,,,ABERNATHY FTC,,10,,N,0,0,,,,,WA53FW005,_____________,,,46.185923,County Centroid,0,,,,110049973711,,30000,COWLITZ,-122.658682
53073,,,Y,WA,17110004,$0,1,Community water system,,53073,,ACME WATER DISTRICT NO 18 FACILITY,98220,10,,N,0,0,FACILITY CENTROID,ACME,,,WA5300250,_____________,11.551,171100040406,48.716107,INTERPOLATION-PHOTO,0,WHATCOM COUNTY,,98220,110012826308,WA-9,342,WHATCOM,-122.202065
,,,Y,WA,,$0,1,Transient non-community system,,,,ADAMS COUNTY FAIR,,10,,N,0,1,,,,,WA5300008,VVVVVVV______,,,47.00484,County Centroid,0,,,,110049558723,,30000,ADAMS,-118.533308
,,,Y,WA,,$0,1,Community water system,,,,ADAMS COUNTY WATER DIST #1,,10,,N,0,0,,,,,WA5322525,_____________,,,47.00484,County Centroid,0,,,,110013048898,,30000,ADAMS,-118.533308
,,,Y,WA,,$0,1,Transient non-community system,,,,ADAMS FORK #5 HP,,10,,N,0,1,,,,,WA53FS007,______VVVV___,,,46.024782,County Centroid,0,,,,110049687558,,30000,SKAMANIA,-121.953227
,,,Y,WA,,$0,1,Transient non-community system,,,,ADAMS FORK 3 HP,,10,,N,0,1,,,,,WA53FS005,______VVVV___,,,46.024782,County Centroid,0,,,,110049687479,,30000,SKAMANIA,-121.953227
53029,,,Y,WA,17110019,$0,1,Community water system,,53029,,ADAMS ROAD COMMUNITY ASSN WATER SYSTEM,98249,10,,Y,0,1,FACILITY CENTROID,FREELAND,,,WA5301977,VVVVVVVVVVVVV,8.299,171100190105,48.015729,INTERPOLATION-PHOTO,1,ISLAND COUNTY,,98253,110012825407,SHADOW LN,18847,ISLAND,-122.582284
53077,,,Y,WA,17030003,$0,1,Community water system,,53077,,ADAMS VIEW WATER SYSTEM,98951,10,,N,0,1,FACILITY CENTROID,WAPATO,,,105300042,SVVVVVVVVV__U,83.714,170300030402,46.378834,INTERPOLATION-PHOTO,0,YAKIMA COUNTY,,98951,110012950459,NUKSHAY DR,357,YAKIMA,-120.49199
53025,,,Y,WA,17020015,$0,1,Community water system,,53025,,ADMIRAL WATER USERS ASSOCIATION FACILITY,98837,10,,N,0,0,FACILITY CENTROID,MOSES LAKE,,,WA5334544,V____________,35.337,170200150902,47.116089,INTERPOLATION-PHOTO,0,GRANT COUNTY,,98837,110012864533,NELSON RD NE,176,GRANT,-119.247129
53029,,,Y,WA,17110019,$0,1,Community water system,,53029,,ADMIRALS  COVE WATER DISTRICT FACILITY,98239,10,,Y,0,1,FACILITY CENTROID,COUPEVILLE,,,WA5300410,VVVVVVVVVVVVV,8.416,171100190105,48.163885,INTERPOLATION-PHOTO,1,ISLAND COUNTY,,98239,110012873603,RICKOVER DR,346,ISLAND,-122.611837
,,,Y,WA,,$0,1,Transient non-community system,,,,AENEAS GENERAL STORE,,10,,N,0,0,,,,,WA5327782,_____________,,,48.550971,County Centroid,0,,,,110049955508,,30000,OKANOGAN,-119.691035
53073,,,Y,WA,17110002,$0,1,Community water system,,53073,,AGATE BAY TRAILER PARK WATER SYSTEM,98226,10,,N,0,0,FACILITY CENTROID,BELLINGHAM,,,WA5300496,_____________,10.786,171100020402,48.756281,INTERPOLATION-PHOTO,0,WHATCOM COUNTY,,98226,110012825577,2516 N SHORE RD,342,WHATCOM,-122.353798
,,,Y,WA,,$0,1,Community water system,,,,AGATE BEACH,,10,,N,0,0,,,,,WA5300510,_____________,,,47.354126,County Centroid,0,,,,110049656154,,30000,MASON,-123.17385
,,,Y,WA,,$0,1,Transient non-community system,,,,AGATE GROCERY,,10,,N,0,1,,,,,WA5300512,________VV___,,,47.354126,County Centroid,0,,,,110049656172,,30000,MASON,-123.17385
53035,,,Y,WA,17110019,$0,1,Community water system,,53035,,AGATE WEST WATER SYSTEM,98370,10,,N,0,0,FACILITY CENTROID,POULSBO,,,WA5300515,_____________,18.303,171100190707,47.714266,INTERPOLATION-PHOTO,0,KITSAP COUNTY,,98370,110012825586,NE LAURA CT,349,KITSAP,-122.58229
,,,Y,WA,,$0,1,Transient non-community system,,,,AGNEW MOBILE HOME PARK,,10,,N,0,0,,,,,WA5300518,_____________,,,48.113009,County Centroid,0,,,,110016807794,,30000,CLALLAM,-123.930611
,,,Y,WA,,$0,1,Community water system,,,,AGOTARAS WATER SYSTEM,,10,,N,0,0,,,,,WA5361390,_____________,,,47.41623,State Centroid,0,,,,110013012319,,100000,,-120.599623
,,,Y,WA,,$0,1,Non-Transient non-community system,,,,AGREX WATER SYSTEM,,10,,N,0,1,,,,,WA53AB279,VVVVVVVVVVVVV,,,47.213633,County Centroid,0,,,,110049970046,,30000,GRANT,-119.467788
53005,,01/24/2012,Y,WA,17070101,$0,1,Non-Transient non-community system,,53005,"$4,000",AGRIUM KENNEWICK FERTILIZER OPERATION,99337,10,Y,Y,0,1,CENTER OF FACILITY,KENNEWICK,,,WA5312690,VVVVVVVVVVVVV,24.434,170701010102,46.165957,INTERPOLATION-MAP,1,BENTON COUNTY,,99337,110007030186,227515 E BOWLES RD,50,BENTON,-119.017218
53005,,,Y,WA,17070101,$0,1,Non-Transient non-community system,,53005,,AGRIUM KFO FINLEY AREA,99337,10,,Y,0,1,FACILITY CENTROID,KENNEWICK,,,WA5367225,,23.915,170701010102,46.155727,INTERPOLATION-PHOTO,1,BENTON COUNTY,,99337,110009765218,231610 E GAME FARM RD,5,BENTON,-119.010188
,,,Y,WA,,$0,1,Community water system,,,,AHEARN WATER SYSTEM,,10,,N,0,1,,,,,WA5325384,VVVVVVVVVVV__,,,48.158436,County Centroid,0,,,,110012866489,,30000,ISLAND,-122.670503
,,,Y,WA,,$0,1,Transient non-community system,,,,AIRPORT GROCERY,,10,,Y,0,1,,,,,WA5300580,VVVVVVVVVVVVV,,,47.354126,County Centroid,1,,,,110049604861,,30000,MASON,-123.17385
53063,,,Y,WA,17010307,$0,1,Community water system,,53063,,AIRWAY HEIGHTS PUBLIC WORKS,99001,10,,N,0,1,FACILITY CENTROID,AIRWAY HEIGHTS,,,WA5300650,VVVVVVVVVVV__,25.517,170103070105,47.636254,INTERPOLATION-PHOTO,0,SPOKANE COUNTY,,99001,110012873809,12400 W 21ST AVE,349,SPOKANE,-117.583274
,,,Y,WA,,$0,1,Transient non-community system,,,,ALAMO ORCHARD CO - PATEROS,,10,,N,0,0,,,,,WA5307278,_____________,,,48.550971,County Centroid,0,,,,110049584277,,30000,OKANOGAN,-119.691035
53075,,,Y,WA,17060108,$0,1,Community water system,,53075,,ALBION WATER WELLS,99163,10,,N,0,0,FACILITY CENTROID,PULLMAN,,,WA5300800,_____________,9.305,170601080205,46.785644,INTERPOLATION-PHOTO,0,WHITMAN COUNTY,,99163,110012825700,CEMETERY RD,355,WHITMAN,-117.251914
,,,Y,WA,,$0,1,Non-Transient non-community system,,,,ALCOA,,10,,N,0,1,,,,,WA5300750,________VVV__,,,47.859892,County Centroid,0,,,,110053037913,,30000,CHELAN,-120.618543
53053,,,Y,WA,17110015,$0,1,Community water system,,53053,,ALDER LAKE COMMUNITY WATER SYSTEM,98328,10,,N,0,1,FACILITY CENTROID,EATONVILLE,,,WA5326995,VVVVVVVVVVVV,9.811,171100150112,46.778018,INTERPOLATION-PHOTO,0,PIERCE COUNTY,,98328,110013041822,127 AVE E,355,PIERCE,-122.264501
53053,,,Y,WA,17110015,$0,1,Transient non-community system,,53053,,ALDER LAKE PARK,98328,10,,N,0,0,FACILITY CENTROID,EATONVILLE,,,WA5333526 WA53NR018,_____________,10.11,171100150112,46.800897,INTERPOLATION-PHOTO,0,PIERCE COUNTY,,98328,110070253688,50324 SCHOOL RD,177,PIERCE,-122.298625
,,,Y,WA,,$0,1,Transient non-community system,,,,ALDER STREET WATER SYSTEM,,10,,N,0,0,,,,,WA5300988,_____________,,,48.158436,County Centroid,0,,,,110049699938,,30000,ISLAND,-122.670503
,,,Y,WA,,$0,1,Transient non-community system,,,,ALDERBROOK COUNTRY STORE,,10,,N,0,0,,,,,WA5307746,_____________,,,47.354126,County Centroid,0,,,,110049693710,,30000,MASON,-123.17385
,,,Y,WA,,$0,1,Transient non-community system,,,,ALDERBROOK PARK,,10,,N,0,0,,,,,WA5302798,_____________,,,45.771674,County Centroid,0,,,,110049666624,,30000,CLARK,-122.485903
53045,,,Y,WA,17110019,$0,1,Community water system,,53045,,ALDERBROOK WATER COMPANY WELL 1,98592,10,,N,0,0,FACILITY CENTROID,UNION,,,WA5301050,_____________,14.718,171100190609,47.330937,INTERPOLATION-PHOTO,0,MASON COUNTY,,98592,110012873881,E JACK PINE LN,351,MASON,-123.079062
