FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,WI,,$0,1,Transient non-community system,,,,12 MILE CONVENIENCE STORE,,05,,Y,0,1,,,,,WI8550500,VVVVVVVVVVVVV,,,45.472734,County Centroid,1,,,,110052044658,,30000,RUSK,-91.136745
,,,Y,WI,,$0,1,Non-Transient non-community system,,,,13000 W BLUEMOUND BUILDING,,05,,N,0,0,,,,,WI2681884,_____________,,,43.019308,County Centroid,0,,,,110050863918,,30000,WAUKESHA,-88.306707
,,,Y,WI,,$0,1,Transient non-community system,,,,141 SPEEDWAY BAR,,05,,N,0,0,,,,,WI4360280,_____________,,,44.105108,County Centroid,0,,,,110050643933,,30000,MANITOWOC,-87.313828
,,,Y,WI,,$0,1,Transient non-community system,,,,141 SPEEDWAY BATHROOMS,,05,,N,0,0,,,,,WI4360279,_____________,,,44.105108,County Centroid,0,,,,110050643899,,30000,MANITOWOC,-87.313828
,,,Y,WI,,$0,1,Transient non-community system,,,,163 S MAIN ST PROPERTIES,,05,,N,0,0,,,,,WI2460548,_____________,,,43.360715,County Centroid,0,,,,110050883889,,30000,OZAUKEE,-87.496553
,,,Y,WI,,$0,1,Transient non-community system,,,,2-MAS ENTERPRISES LLC,,05,,N,0,0,,,,,WI4450551,_____________,,,44.418226,County Centroid,0,,,,110050534230,,30000,OUTAGAMIE,-88.464988
,,,Y,WI,,$0,1,Transient non-community system,,,,21 GUN ROAD HOUSE,,05,,Y,0,1,,,,,WI4050108,VVVVVVVVVVVVV,,,44.473961,County Centroid,1,,,,110050870768,,30000,BROWN,-87.995926
,,,Y,WI,,$0,1,Transient non-community system,,,,24 HOUR CLUB,,05,,N,0,0,,,,,WI2461587,_____________,,,43.360715,County Centroid,0,,,,110050867013,,30000,OZAUKEE,-87.496553
,,,Y,WI,,$0,1,Community water system,,55067,,2YK LLC,54409,05,,Y,0,1,,ANTIGO,,,WI7370123,V_____VVVVVVV,,,45.118224,Zip Code Centroid,1,LANGLADE COUNTY,16,,110013059518,240654 CO RD HH,10000,MARATHON,-89.137225
,,,Y,WI,,$0,1,Transient non-community system,,,,3 SHEETS TO WINNEBAGO,,05,,N,0,0,,,,,WI4200587,_____________,,,43.754722,County Centroid,0,,,,110050601167,,30000,FOND DU LAC,-88.493284
55059,,,Y,WI,07120006,$0,1,Community water system,,55059,,337-9 HOLY HILL APARTMENTS LLC,53181,05,,Y,0,1,,TWIN LAKES,,,WI2300159,VVVVVVSSVVVVV,5.763,071200060802,42.5205,,1,,31,53181,110013083607,,999999999,KENOSHA,-88.2514
,,,Y,WI,,$0,1,Transient non-community system,,,,3BS LITTLE SUMMIT,,05,,N,0,0,,,,,WI7290152,_____________,,,43.932836,County Centroid,0,,,,110052040965,,30000,JUNEAU,-90.113984
,,,Y,WI,,$0,1,Transient non-community system,,,,3C COFFEE CUP CAFE,,05,,N,0,1,,,,,WI7640884,__________VV,,,46.049848,County Centroid,0,,1,,110052050882,,30000,VILAS,-89.501254
55073,,,Y,WI,07070002,$0,1,Non-Transient non-community system,,55073,,3M WAUSAU - GREYSTONE PLANT,54402,05,Y,N,1,1,ENTRANCE POINT OF A FACILITY OR STATION,WAUSAU,,,WI7370691,_______V_____,13.631,070700021402,45.01293,ADDRESS MATCHING-HOUSE NUMBER,0,MARATHON COUNTY,4,54401,110007332118,4099 N 4TH AVE,99999999,MARATHON,-89.64198
,,,Y,WI,,$0,1,Transient non-community system,,,,4 POLE JOES,,05,,N,0,0,,,,,WI7440222,_____________,,,45.713791,County Centroid,0,,,,110052029247,,30000,ONEIDA,-89.536693
,,,Y,WI,,$0,1,Transient non-community system,,,,4 SEASONS FAMILY DINER,,05,,N,0,0,,,,,WI4430279,_____________,,,44.996575,County Centroid,0,,4,,110063369590,,30000,OCONTO,-88.206516
,,,Y,WI,,$0,1,Transient non-community system,,,,41 EXPRESS,,05,,N,0,0,,,,,WI4430116,_____________,,,44.996575,County Centroid,0,,,,110052041722,,30000,OCONTO,-88.206516
,,,Y,WI,,$0,1,Transient non-community system,,,,4246 MARATHON PLAZA,,05,,Y,0,1,,,,,WI4361219,VVVVVVVVVVVVV,,,44.105108,County Centroid,1,,,,110050724141,,30000,MANITOWOC,-87.313828
55059,,,Y,WI,07120006,$0,1,Community water system,,55059,,425 HOLY HILL APTS,53181,05,,N,0,0,CENTER OF A FACILITY OR STATION,TWIN LAKES,,,WI2300163,_____________,5.865,071200061006,42.53832,ADDRESS MATCHING-HOUSE NUMBER,0,KENOSHA COUNTY,,53181,110012852671,425 HOLY HILL ROAD,30,KENOSHA,-88.24747
,,,Y,WI,,$0,1,Transient non-community system,,,,4EVER FIT LLC,,05,,N,0,0,,,,,WI6031159,_____________,,,45.437192,County Centroid,0,,,,WI6031159,,30000,Barron,-91.852892
,,,Y,WI,,$0,1,Transient non-community system,,,,4H CAMP SUSAN,,05,,Y,0,1,,,,,WI7340238,VVVVVVVVVVVVV,,,45.259204,County Centroid,1,,,,110051986393,,30000,LANGLADE,-89.06819
,,,Y,WI,,$0,1,Transient non-community system,,,,5 OCLOCK CLUB,,05,,N,0,0,,,,,WI6030409,_____________,,,45.437192,County Centroid,0,,,,110050696216,,30000,BARRON,-91.852892
,,,Y,WI,,$0,1,Transient non-community system,,,,5 OH 1 BAR AND GRILLE,,05,,N,0,0,,,,,WI2670190,_____________,,,43.391156,County Centroid,0,,,,110050847919,,30000,WASHINGTON,-88.232917
55059,,,Y,WI,04040002,$0,1,Community water system,,55059,,52ND AVE WATER GROUP,53144,05,,Y,0,1,CENTER OF A FACILITY OR STATION,KENOSHA,,,WI2301565,SVVVVVVVVVSSV,18.453,040400020403,42.63935,ADDRESS MATCHING-HOUSE NUMBER,1,KENOSHA COUNTY,31,53144,110013084321,1210 52ND AVE,30,KENOSHA,-87.87111
,,,Y,WI,,$0,1,Transient non-community system,,,,54 RUN LLC,,05,,N,0,0,,,,,WI4310319,_____________,,,44.500949,County Centroid,0,,,,110050631562,,30000,KEWAUNEE,-87.161813
,,,Y,WI,,$0,1,Transient non-community system,,,,57 BP,,05,,N,0,0,,,,,WI4052141,_____________,,,44.473961,County Centroid,0,,,,110050834576,,30000,BROWN,-87.995926
,,,Y,WI,,$0,1,Transient non-community system,,,,7-ELEVEN INC,,05,,N,0,0,,,,,WI2301070,_____________,,,42.579703,County Centroid,0,,,,110049527794,,30000,KENOSHA,-87.424898
,,,Y,WI,,$0,1,Transient non-community system,,,,7-ELEVEN INC.,,05,,N,0,0,,,,,WI2685406,_____________,,,43.019308,County Centroid,0,,,,110050858158,,30000,WAUKESHA,-88.306707
,,,Y,WI,,$0,1,Transient non-community system,,,,75TH STREET INN,,05,,N,0,0,,,,,WI2300257,_____________,,,42.579703,County Centroid,0,,,,110049833882,,30000,KENOSHA,-87.424898
,,,Y,WI,,$0,1,Transient non-community system,,,,8 HI CLUB BAR,,05,,Y,0,1,,,,,WI4380575,VVVVVVVVVVVVV,,,45.346899,County Centroid,1,,1,,110050628843,,30000,MARINETTE,-87.991198
,,,Y,WI,,$0,1,Transient non-community system,,,,A & E TAVERN,,05,,Y,0,1,,,,,WI8610234,VVVVVVVVVVVVV,,,45.211656,County Centroid,1,,,,110052051275,,30000,TAYLOR,-90.504853
,,,Y,WI,,$0,1,Transient non-community system,,,,A & H SENIOR CITIZEN CENTER,,05,,N,0,0,,,,,WI8070539,_____________,,,45.865255,County Centroid,0,,,,110051971327,,30000,BURNETT,-92.367978
,,,Y,WI,,$0,1,Transient non-community system,,,,A & J ADVENTURE INC,,05,,N,0,0,,,,,WI6030358,_____________,,,45.437192,County Centroid,0,,,,110049882944,,30000,BARRON,-91.852892
,,,Y,WI,,$0,1,Transient non-community system,,,,A & W FOOD STAND,,05,,Y,0,1,,,,,WI4700396,VVVVVVVVVVVVV,,,44.112825,County Centroid,1,,,,110050630162,,30000,WAUSHARA,-89.239752
,,,Y,WI,,$0,1,Transient non-community system,,,,A & W FRANKSVILLE,,05,,N,0,0,,,,,WI2522732,_____________,,,42.754075,County Centroid,0,,,,110063348827,,30000,RACINE,-87.414676
,,,Y,WI,,$0,1,Transient non-community system,,,,A & W RESTAURANT,,05,,N,0,0,,,,,WI4430230,_____________,,,44.996575,County Centroid,0,,,,110052011014,,30000,OCONTO,-88.206516
,,,Y,WI,,$0,1,Transient non-community system,,,,A A BAR & GRILL,,05,,N,0,1,,,,,WI4430838,VVVVVVVVV____,,,44.996575,County Centroid,0,,5,,110051997194,,30000,OCONTO,-88.206516
,,,Y,WI,,$0,1,Transient non-community system,,,,A C TAP TAVERN,,05,,Y,0,1,,,,,WI4150632,VVVVVVVVVVVVV,,,45.067808,County Centroid,1,,9,,110050881925,,30000,DOOR,-87.087936
,,,Y,WI,,$0,1,Transient non-community system,,,,A LITTLE RED SCHOOL HOUSE INC,,05,,N,0,0,,,,,WI4240297,_____________,,,43.76141,County Centroid,0,,,,110050642373,,30000,GREEN LAKE,-88.987228
,,,Y,WI,,$0,1,Transient non-community system,,,,AARON AND LISAS BACKWOODS,,05,,N,0,0,,,,,WI6031117,_____________,,,45.437192,County Centroid,0,,,,110064359126,,30000,BARRON,-91.852892
,,,Y,WI,,$0,1,Transient non-community system,,,,ABARES OUTERLIMITS,,05,,N,0,0,,,,,WI7721406,_____________,,,44.461413,County Centroid,0,,,,110050569292,,30000,WOOD,-90.038825
,,,Y,WI,,$0,1,Non-Transient non-community system,,,,ABBOTSFORD CHRISTIAN ACADEMY,,05,,Y,0,1,,,,,WI7370957,VVVVVVVVVVVVV,,,44.898036,County Centroid,1,,11,,110052040607,,30000,MARATHON,-89.757823
55073,,,Y,WI,07070002,$0,1,Community water system,,55073,,ABBOTSFORD WATERWORKS,54405,05,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ABBOTSFORD,,,WI7370148,VVVVVVVVVVVVV,18.726,070700021504,44.94769,ADDRESS MATCHING-HOUSE NUMBER,1,MARATHON COUNTY,5,54405,110013059545,P O BOX 589-203 E BIRCH ST,30,MARATHON,-90.31513
,,,Y,WI,,$0,1,Transient non-community system,,,,ABERDEEN LODGE,,05,,Y,0,1,,,,,WI7641582,VVVVVVVVVVVVV,,,46.049848,County Centroid,1,,,,110050562404,,30000,VILAS,-89.501254
,,,Y,WI,,$0,1,Transient non-community system,,,,ABLERS WHISKEY CORNER,,05,,N,0,0,,,,,WI2680452,_____________,,,43.019308,County Centroid,0,,,,110050829662,,30000,WAUKESHA,-88.306707
,,,Y,WI,,$0,1,Transient non-community system,,,,ABRAHAMSON NURSERIES,,05,,N,0,0,,,,,WI6490971,_____________,,,45.46803,County Centroid,0,,,,110063329287,,30000,POLK,-92.453154
,,,Y,WI,,$0,1,Non-Transient non-community system,,,,ABRAMS ELEMENTARY SCHOOL,,05,,N,0,0,,,,,WI4430588,_____________,,,44.996575,County Centroid,0,,,,110052019285,,30000,OCONTO,-88.206516
,,,Y,WI,,$0,1,Transient non-community system,,,,ABRAMS SHELL ARBYS,,05,,N,0,0,,,,,WI4430152,_____________,,,44.996575,County Centroid,0,,,,110052041820,,30000,OCONTO,-88.206516
