FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
54033,,,Y,WV,05020002,$0,1,Community water system,,54033,,1 PAUL WAYNE HAGGERTY ROAD,26330,03,,Y,0,1,,BRIDGEPORT,,,WV3301703,__V________VU,5.105,050200020402,39.298978,,1,HARRISON COUNTY,1,26301,110000877766,FEOPPEL RD & LODGEVILLE EXT ROAD,99999999,HARRISON,-80.280366
,,,Y,WV,,$0,1,Community water system,,54097,,ADRIAN PSD,26218,03,,Y,0,1,,FRENCH CREEK,,,WV3304911,____VVVVVVVVU,,,38.858198,Zip Code Centroid,1,UPSHUR COUNTY,4,,110013038051,PO BOX 87,10000,UPSHUR,-80.312734
,,,Y,WV,,$0,1,Transient non-community system,,,,ADVENTURE WEST VIRGINIA,,03,,N,0,0,,,,,WV9931044,____________U,,,39.633645,County Centroid,0,,,,WV9931044,,30000,Monongalia,-80.059074
54051,,05/28/2009,Y,WV,05030106,$0,1,Non-Transient non-community system,,54051,"$42,530",AEP MITCHELL POWER PLANT,26041,03,Y,Y,0,1,CENTER OF A FACILITY OR STATION,MOUNDSVILLE,Y,,WV9925015,V____V___VVVU,1.641,050301061208,39.829509,UNKNOWN,1,MARSHALL COUNTY,4,26041,110013725077,ROUTE 2 SOUTH,17400,MARSHALL,-80.817249
54053,,12/10/2007,Y,WV,05030202,$0,1,Non-Transient non-community system,,54053,"$6,225,000",AEP MOUNTAINEER POWER PLANT,25265,03,Y,N,0,0,CENTER OF FACILITY,NEW HAVEN,Y,,WV9926017,,2.27,050302020805,38.977493,INTERPOLATION-PHOTO,0,MASON COUNTY,,25253,110000585910,ROUTE 62,18553,MASON,-81.937108
,,,Y,WV,,$0,1,Community water system,,,,ALBRIGHT TOWN OF,,03,,Y,0,1,,,,,WV3303901,VVVVVVVVVVSSU,,,39.46903,County Centroid,1,,53,,110013041895,,30000,PRESTON,-79.668865
54025,,,Y,WV,05050003,$0,1,Community water system,,54025,,ALDERSON WATER PLANT,24910,03,,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ALDERSON,Y,,WV3301315,__VV________U,21.11,050500030903,37.726048,ADDRESS MATCHING-HOUSE NUMBER,1,GREENBRIER COUNTY,4,24910,110009117981,106 JOHNSON ST,50,GREENBRIER,-80.641035
,,,Y,WV,,$0,1,Transient non-community system,,,,ALLENS WONDERLAND,,03,,Y,0,1,,,,,WV3301977,___________VU,,,39.307399,County Centroid,1,,,,110052048921,,30000,JEFFERSON,-77.86322
54077,,,Y,WV,05020006,$0,1,Community water system,,54077,,ALPINE LAKE PUBLIC UTILITIES,,03,,N,0,0,CENTER OF A FACILITY OR STATION,,,,WV3303921,____________U,2.374,050200060103,39.46299,ADDRESS MATCHING-HOUSE NUMBER,0,PRESTON COUNTY,,26764,110013042135,,30,PRESTON,-79.49619
,,,Y,WV,,$0,1,Transient non-community system,,,,ALPINE SHORE INC - CAMPGROUND,,03,,Y,0,1,,,,,WV9942043,VVV___VVVVVVU,,,38.781087,County Centroid,1,,10,,110050764847,,30000,RANDOLPH,-79.867783
