FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,WY,,$0,1,Transient non-community system,,56029,,7D RANCH,82414,08,,N,0,1,,CODY,,,WY5600566,____VV______U,,,44.540842,Zip Code Centroid,0,PARK COUNTY,,,110050795083,UNK,10000,PARK,-109.028519
,,,Y,WY,,$0,1,Transient non-community system,,56007,,A BAR A RANCH,82325,08,,N,0,1,,ENCAMPMENT,,,WY5600334,_VVV__VVVVV_U,,,41.206784,Zip Code Centroid,0,CARBON COUNTY,2,,110050893823,UNK,10000,CARBON,-106.791719
,1,,Y,WY,,$0,1,Transient non-community system,,56031,,A-OK RV PARK,82201,08,,Y,2,1,,WHEATLAND,,,WY5601333,SSV________VU,,,42.21764,Zip Code Centroid,1,PLATTE COUNTY,1,,110050820028,UNK,10000,PLATTE,-105.293736
,,,Y,WY,,$0,1,Transient non-community system,,56029,,ABSAROKA LODGE,82450,08,,N,0,1,,WAPITI,,,WY5600467,____VV______U,,,44.466852,Zip Code Centroid,0,PARK COUNTY,,,110050598581,UNK,10000,PARK,-109.437988
,,,Y,WY,,$0,1,Transient non-community system,,56013,,ABSAROKA RANCH,82513,08,,N,0,1,,DUBOIS,,,WY5600983,_____VV_____U,,,43.585429,Zip Code Centroid,0,FREMONT COUNTY,2,,110050875013,UNK,10000,FREMONT,-109.79249
,,,Y,WY,,$0,1,Community water system,,,,"AFTON, BOARD OF PUB UTIL",,08,,N,0,1,,AFTON,,,WY5600002,___________VU,,,42.729395,Place Name Centroid,0,,1,,110013036482,,20000,LINCOLN,-110.931646
,,,Y,WY,,$0,1,Community water system,,,,AIR BASE ACRES,,08,,Y,0,1,,MILLS,,,WY5600080,______VVVVVVU,,,42.84598,Place Name Centroid,1,,2,,110013034938,,20000,NATRONA,-106.381955
,,,Y,WY,,$0,1,Transient non-community system,,,,"ALADDIN, TOWN OF",,08,,N,0,0,,,,,WY5601489,____________U,,,42.991802,State Centroid,0,,,,110050583445,,100000,,-107.541926
,,,Y,WY,,$0,1,Transient non-community system,,,,ALBANY COUNTY LODGE,,08,,Y,0,1,,,,,WY5600301,_V_V_____V_VU,,,41.665514,County Centroid,1,,,,110050852699,,30000,ALBANY,-105.721883
,1,,Y,WY,,$0,1,Community water system,,,,"ALBIN, TOWN OF",,08,,Y,2,1,,ALBIN,,,WY5600189,VVVVVVVVVSSSU,,,41.416941,Place Name Centroid,1,,2,,110012840685,,20000,LARAMIE,-104.101549
,,,Y,WY,,$0,1,Community water system,,,,ALCOVA DAM TRAILER PARK,,08,,Y,0,1,,,,,WY5601592,VVVVVVVVVVVVU,,,42.973641,County Centroid,1,,1,,110046995855,,30000,NATRONA,-106.764877
,,,Y,WY,,$0,1,Transient non-community system,,56025,,ALCOVA LAKEVIEW ESTATES I,82601,08,,N,0,0,,CASPER,,,WY5601465,____________U,,,42.838175,Zip Code Centroid,0,NATRONA COUNTY,,,110050784889,UNK,10000,NATRONA,-106.309926
,,,Y,WY,,$0,1,Transient non-community system,,56025,,ALCOVA LAKEVIEW ESTATES II,82601,08,,N,0,0,,CASPER,,,WY5601585,____________U,,,42.838175,Zip Code Centroid,0,NATRONA COUNTY,,,110050588814,UNK,10000,NATRONA,-106.309926
,,,Y,WY,,$0,1,Transient non-community system,,,,ALL SEASONS RV PARK,,08,,N,0,1,,,,,WY5601658,_________VVVU,,,44.241321,County Centroid,0,,1,,110063367636,,30000,CAMPBELL,-105.552029
56005,,06/14/1993,Y,WY,10120201,$0,1,Non-Transient non-community system,,56005,"$18,724",ALPHA COAL WEST INC. BELLE AYR MINE,82718,08,,Y,0,1,POINT WHERE SUBSTANCE IS RELEASED,GILLETTE,,,WY5600356,____________U,25,101202010303,44.0999,CLASSICAL SURVEYING TECHNIQUES,1,CAMPBELL COUNTY,,82718,110054621496,2273 BISHOP ROAD,4,CAMPBELL,-105.364
56005,,01/12/1994,Y,WY,10090208,$0,1,Non-Transient non-community system,,56005,"$66,267","ALPHA COAL WEST, INC. EAGLE BUTTE MINE",82716,08,,N,0,1,CENTER OF A FACILITY OR STATION,GILLETTE,,,WY5600357,____________U,16.505,100902080203,44.3873,,0,CAMPBELL COUNTY,,82716,110007334973,10023 HWY 14/16,17600,CAMPBELL,-105.506
,,,Y,WY,,$0,1,Transient non-community system,,,,ALPINE 4-H CAMP,,08,,N,0,1,,,,,WY5601530,____VV______U,,,42.228788,County Centroid,0,,2,,110050870223,,30000,LINCOLN,-110.679842
,2,,Y,WY,,$0,1,Community water system,,,,"ALPINE, TOWN OF",,08,,N,3,1,,ALPINE,,,WY5600156,VVVVVVVVVVV_U,,,43.16075,Place Name Centroid,0,,3,,110013032529,,20000,LINCOLN,-111.018143
56039,1,12/21/2005,Y,WY,17040204,$0,1,Community water system,,56039,"$1,250",ALTA COMMUNITY PIPELINE,83414,08,,N,3,1,ENTRANCE POINT OF A FACILITY OR STATION,ALTA,,,WY5600275,______V___V_U,6.444,170402040201,43.75411,ADDRESS MATCHING-HOUSE NUMBER,0,TETON COUNTY,2,83414,110010750044,350 WEST ALTA ROAD,50,TETON,-111.034541
,,,Y,WY,,$0,1,Non-Transient non-community system,,,,ALTA SCHOOL,,08,,Y,0,1,,,,,WY5601561,____VVVVVVVVU,,,44.049321,County Centroid,1,,,,110050819423,,30000,TETON,-110.588102
,,,Y,WY,,$0,1,Non-Transient non-community system,,,,AMERICAN COLLOID COMPANY,,08,,N,0,1,,,,,WY5601252,______V_____U,,,44.525654,County Centroid,0,,2,,110050796215,,30000,BIG HORN,-107.993321
,,,Y,WY,,$0,1,Non-Transient non-community system,,,,AMERICAN COLLOID-COLONY EAST,,08,,N,0,0,,,,,WY5601235,____________U,,,44.589266,County Centroid,0,,,,110050588654,,30000,CROOK,-104.567298
,,,Y,WY,,$0,1,Non-Transient non-community system,,,,AMERICAN COLLOID-COLONY WEST,,08,,N,0,0,,,,,WY5601236,____________U,,,44.589266,County Centroid,0,,,,110050588681,,30000,CROOK,-104.567298
,,,Y,WY,,$0,1,Community water system,,,,AMERICAN ROAD WATER & SEWER D,,08,,N,0,0,,GILLETTE,,,WY5600968,____________U,,,44.278496,Place Name Centroid,0,,,,110013030022,,20000,CAMPBELL,-105.501213
,,,Y,WY,,$0,1,Transient non-community system,,,,AMERICAN WILDERNESS LEADERSHIP SCHOOL,,08,,N,0,1,,,,,WY5601526,__V_VV______U,,,44.049321,County Centroid,0,,3,,110050870143,,30000,TETON,-110.588102
56009,,,Y,WY,10120101,$0,1,Transient non-community system,,56009,,ANTELOPE COAL LLC - ANTELOPE MINE,82633,08,,N,0,0,CENTER OF A FACILITY OR STATION,DOUGLAS,,,WY5600795 WY5600908,,0,101201010301,43.4781,INTERPOLATION-SATELLITE,0,CONVERSE COUNTY,,82633,110008061033,55 MILES N OF DOUGLAS,200,CONVERSE,-105.342
56005,,,Y,WY,10120201,$0,1,Community water system,,56005,,ANTELOPE MOBILE HOME PARK,,08,,N,0,0,CENTER OF A FACILITY OR STATION,,,,WY5600131,____________U,14.507,101202010602,44.28963,ADDRESS MATCHING-HOUSE NUMBER,0,CAMPBELL COUNTY,,82718,110013035492,,30,CAMPBELL,-105.44965
,,,Y,WY,,$0,1,Community water system,,,,ANTELOPE RIDGE H.O.A.,,08,,Y,0,1,,LARAMIE,,,WY5601457,VVVVVVVVVVVVU,,,41.310241,Place Name Centroid,1,,,,110013028570,,20000,ALBANY,-105.609625
,,,Y,WY,,$0,1,Transient non-community system,,,,ANTELOPE TRUCK STOP,,08,,N,0,1,,,,,WY5601027,____VVVVV___U,,,41.29283,County Centroid,0,,1,,110050885244,,30000,LARAMIE,-104.660395
,,,Y,WY,,$0,1,Community water system,,,,ANTELOPE VALLEY,,08,,Y,0,1,,GILLETTE,,,WY5600251,___________VU,,,44.278496,Place Name Centroid,1,,,,110013031806,,20000,CAMPBELL,-105.501213
56005,,,Y,WY,10120201,$0,1,Non-Transient non-community system,,56005,,ANTELOPE VALLEY BUSINESS PARK I&S DISTRICT,82716,08,,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,GILLETTE,,,WY5601468,_____VVVV___U,13.034,101202010602,44.293917,ADDRESS MATCHING-HOUSE NUMBER,0,CAMPBELL COUNTY,2,82716,110020052164,118 S. GILLETTE,50,CAMPBELL,-105.504046
,,,Y,WY,,$0,1,Transient non-community system,,,,ARBYS RESTAURANT IN WYOMING,,08,,N,0,1,,,,,WY5601603,VVVVVVV___V_U,,,41.29283,County Centroid,0,,,,110050589181,,30000,LARAMIE,-104.660395
,,,Y,WY,,$0,1,Transient non-community system,,,,ARCTIC OILFIELD SERVICES,,08,,Y,0,1,,,,,WY5601654,________VVVVU,,,42.972839,County Centroid,1,,,,110063341272,,30000,CONVERSE,-105.507367
,,,Y,WY,,$0,1,Transient non-community system,,,,ARNG GUERNSEY-MRF RANGE,,08,,N,0,0,,,,,WY5601670,____________U,,,42.130319,County Centroid,0,,,,110063329553,,30000,PLATTE,-104.960809
,,,Y,WY,,$0,1,Transient non-community system,,,,ARNG GUERNSEY-QTR RANGE,,08,,N,0,0,,,,,WY5601671,____________U,,,42.130319,County Centroid,0,,1,,110063329544,,30000,PLATTE,-104.960809
,,,Y,WY,,$0,1,Non-Transient non-community system,,,,ARNG TRAINING SITE WELLS-CAMP GUERNSEY,,08,,N,0,1,,,,,WY5600797,VVVVVVVVVVVVU,,,42.130319,County Centroid,0,,1,,110050836592,,30000,PLATTE,-104.960809
,,,Y,WY,,$0,1,Transient non-community system,,,,ARNG-LAW RANGE WELL #5-CAMP GUERNSEY,,08,,N,0,0,,,,,WY5601432,____________U,,,42.130319,County Centroid,0,,,,110050836048,,30000,PLATTE,-104.960809
