EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=050594602,Ground water,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 1094=Asbestos; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene",08/25/2016,NTNCWS,,03/15/2017,,2,MN,,GW,Y,,,27,08/25/2016,3,0,1,10,1,0,Non-Transient non-community system,,,,1,,,1,457,,No,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 1094=Asbestos; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene",Native American,,,N,050594602,Active,No,7-CLANS HOTEL/WATER PARK AND CASINO,No,1,VVVVVVVVVV___,GW,1,3,0,A,0,0,3,,No,1,No,0,,03/15/2017,1,No,,,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=055294304,Ground water,"4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium",06/06/2018,CWS,,01/31/2017,,2,MN,,GW,Y,,,27,06/06/2018,1,0,1,8,1,0,Community water system,,,,3,,,,74,,No,"4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium",Native American,,,N,055294304,Active,No,APPLE ORCHARD,No,3,VVVVVVVV_____,GW,1,1,0,A,0,0,1,,No,1,No,0,,01/31/2017,1,No,,,3
05,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=055294201,Ground water,"4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",08/14/2018,CWS,,04/19/2007,,,MN,,GW,Y,,,27,08/14/2018,1,0,1,5,1,0,Community water system,,,,3,,,,325,,No,"4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",Native American,,,N,055294201,Active,No,BALL CLUB,No,3,VVVVV________,GW,1,1,0,A,0,0,1,,No,0,No,0,,04/19/2007,1,No,,,3
05,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=050594220,Ground water,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 1094=Asbestos; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",08/25/2015,NTNCWS,,01/18/2018,,4,MN,,GW,Y,,,27,08/25/2015,6,0,1,10,1,0,Non-Transient non-community system,,,,1,,,,25,,No,8000=Revised Total Coliform Rule,Native American,,,N,050594220,Active,No,BALL CLUB HEAD START,No,1,VVVVVVVVVV___,GW,1,4,0,A,0,0,6,,No,1,No,0,,01/18/2018,1,No,,,1
05,No Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=055293101,Ground water,"0999=Chlorine; 1040=Nitrate; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3100=Coliform (TCR); 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",10/01/2018,CWS,,03/23/2018,,15,MI,,GW,Y,,,26,10/01/2018,13,0,1,11,1,0,Community water system,,,,3,,,,571,,No,"0999=Chlorine; 1040=Nitrate; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 8000=Revised Total Coliform Rule",Native American,,,N,055293101,Active,No,BAY MILLS,No,3,VVVVVVVVVVV__,GW,1,6,0,A,0,0,13,,No,1,No,0,,03/23/2018,1,No,,,3
05,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=050593105,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,09/13/2017,NTNCWS,,10/12/2017,,6,MI,,GW,Y,,,26,09/13/2017,13,0,1,8,1,0,Non-Transient non-community system,,,,1,,,,1978,,No,1040=Nitrate; 8000=Revised Total Coliform Rule,Native American,,,N,050593105,Active,No,BAY MILLS RESORT & CASINO,No,1,VVVVVVVV_____,GW,1,2,0,A,0,0,13,,No,1,No,0,,10/12/2017,1,No,,,1
05,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=055294801,Ground water,"2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",07/10/2018,CWS,,11/27/2018,,9,MN,,GW,Y,,,27,07/10/2018,31,30,1,12,1,1,Community water system,,,,3,,,,135,,No,"2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",Native American,,,N,055294801,Active,Yes,BELICH ADDITION (MAHNOMEN),Yes,3,VVVVVVVSSSSSV,GW,1,2,5,A,0,1,1,,No,1,No,1,,11/27/2018,1,No,,,3
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=055294202,Ground water,"2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",08/14/2018,CWS,,11/01/1991,,,MN,,GW,Y,,,27,08/14/2018,2,0,1,7,1,0,Community water system,,,,3,,,,60,,No,"2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",Native American,,,N,055294202,Active,No,BENA,No,3,VVVVVVV______,GW,1,2,0,A,0,0,2,,No,0,No,0,,11/01/1991,1,No,,,3
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=050593802,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,07/15/2015,TNCWS,,,,,MI,,GW,Y,,,26,07/15/2015,6,0,1,2,1,0,Transient non-community system,,,,1,,,,110,,No,8000=Revised Total Coliform Rule,Native American,,,N,050593802,Active,No,BIINDIGEN,No,1,_____VV______,GW,1,1,0,A,0,0,6,,No,0,No,0,,,1,No,,,1
05,In Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=055295103,Ground water,1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1040=Nitrate,09/27/2018,CWS,,11/29/2001,,,WI,,GW,Y,,,55,09/27/2018,5,5,1,5,1,1,Community water system,,,,3,,,,301,,Yes,1040=Nitrate,Native American,,,N,055295103,Active,No,BIRCH HILL,No,3,________VVVVV,GW,1,1,0,A,0,1,,,No,0,No,0,1040=Nitrate,11/29/2001,1,No,,,3
