EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
10,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2391922,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,06/23/2015,TNCWS,Denali Borough,,,1,AK,05/27/2015,GW,N,,,02068,,16,1,1,9,1,1,Transient non-community system,06/23/2015,,DENALI PARK,1,,,,62,,Yes,1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,,P,AK2391922,Active,No,229 PARKS HIGHWAY RESTAURANT,No,1,V___VVVVVVVVU,GW,0,3,0,A,0,1,15,,No,1,No,0,,05/27/2015,1,No,,10/11/2005,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2240634,Ground water,8000=Revised Total Coliform Rule,09/11/2018,TNCWS,Kenai Peninsula Borough,,,,AK,02/07/1995,GW,N,,,02122,,1,0,1,6,1,0,Transient non-community system,09/08/2013,,NIKISKI,1,,,,100,,No,,Private,,,P,AK2240634,Active,No,4-LANDS BAR & LIQUOR STORE,No,1,_VVVVVV_____U,GW,0,1,0,A,0,0,1,,No,0,No,0,,02/07/1995,1,No,,09/11/2018,1
10,In Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2391786,Ground water,1040=Nitrate; 3100=Coliform (TCR); =Not applicable,07/24/2018,TNCWS,Denali Borough,,,4,AK,05/21/2015,GW,N,,,02068,,7,1,1,12,1,1,Transient non-community system,07/24/2018,,HEALY,1,,,,524,,No,=Not applicable,Private,,,P,AK2391786,Active,No,49TH STATE BREWING COMPANY,No,1,VVVVVVVVVVVVU,GW,0,1,0,A,0,1,6,,Yes,1,No,0,=Not applicable,05/21/2015,1,No,,08/09/2005,1
10,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2245024,Ground water,8000=Revised Total Coliform Rule,08/10/2017,TNCWS,Kenai Peninsula Borough,,,,AK,,GW,N,,,02122,,1,0,1,6,1,0,Transient non-community system,12/13/2012,,STERLING,1,,,,154,,No,,Private,,,P,AK2245024,Active,No,ABUNDANT LIFE ASSEMBLY OF GOD,No,1,_VVVVVV_____U,GW,0,1,0,A,0,0,1,,No,0,No,0,,,1,No,,08/10/2017,1
10,Serious Violator,,06/29/2010,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2270427,Ground water,0999=Chlorine; 1040=Nitrate; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule; =Not applicable,12/29/2012,NTNCWS,Bethel Census Area,,,,AK,04/13/2005,GW,N,,,02050,,45,13,1,12,1,5,Non-Transient non-community system,05/12/2007,,BETHEL,,,,1,475,,Yes,0999=Chlorine; 1040=Nitrate; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 8000=Revised Total Coliform Rule; =Not applicable,Private,,06/29/2010,P,AK2270427,Active,No,AC ALASKA COMMERCIAL STORE,Yes,,VVVVSSSSSSSSU,GW,0,6,8,A,0,1,32,,Yes,0,No,1,1040=Nitrate; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; =Not applicable,04/13/2005,0,No,,12/29/2012,
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2249219,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,08/17/2015,TNCWS,Kenai Peninsula Borough,,,2,AK,08/17/2016,GW,N,,,02122,,4,0,1,7,1,0,Transient non-community system,08/17/2015,,SOLDOTNA,1,,,,32,,No,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,AK2249219,Active,No,ACAPULCO RESTAURANT,No,1,VVVVVVV_____U,GW,0,2,0,A,0,0,4,,No,1,No,0,,08/17/2016,1,No,,,1
10,Serious Violator,,06/13/2011,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2260595,Surface water,"0200=Surface Water Treatment Rule; 0999=Chlorine; 1040=Nitrate; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule; =Not applicable",10/18/2016,CWS,Aleutians West Census Area,,,,AK,01/24/2005,SW,N,,,02016,,45,27,1,12,1,2,Community water system,,,ADAK,1,,5,,225,,Yes,0200=Surface Water Treatment Rule; 0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 8000=Revised Total Coliform Rule,Local government,,06/13/2011,L,AK2260595,Active,Yes,ADAK UTILITIES,Yes,1,VVVVVVVVVSVSU,SW,0,8,2,A,0,1,18,,No,0,No,1,0200=Surface Water Treatment Rule,01/24/2005,1,No,,10/18/2016,1
10,In Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2330066,Surface water purchased,"2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 8000=Revised Total Coliform Rule",11/10/2015,TNCWS,North Slope Borough,,,,AK,,SW,N,,,02185,,2,1,1,7,1,1,Transient non-community system,,,"DEADHORSE, PRUDHOE BAY",1,,,,52,,Yes,8000=Revised Total Coliform Rule,Private,,,P,AK2330066,Active,No,AFC / NANUQ HERC / WOLVERINE CAMP,No,1,VVV_____VVVVU,SWP,0,2,0,A,0,1,1,,No,0,No,0,,,1,No,,11/10/2015,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2330124,Surface water purchased,,09/14/2017,TNCWS,North Slope Borough,,,,AK,,SW,N,,,02185,,0,0,1,0,0,0,Transient non-community system,,,DEADHORSE,1,,,,120,,No,,Private,,,P,AK2330124,Active,No,AFC POTABLE DELIVERY TRAILER 25-550,No,1,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,09/14/2017,1
10,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AK2330027,Surface water purchased,0999=Chlorine; 3100=Coliform (TCR),,TNCWS,North Slope Borough,,,,AK,,SW,N,,,02185,,6,3,1,12,1,2,Transient non-community system,,,PRUDHOE BAY,,,,,200,,Yes,0999=Chlorine,Private,,,P,AK2330027,Active,No,AFC POTABLE TRUCK #2,No,,VVVVVVVVVVVVU,SWP,0,2,0,A,0,1,3,,No,0,No,0,,,0,No,,,
