EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000657,Ground water,"2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 5000=Lead and Copper Rule; 7500=Public Notice",11/22/2017,CWS,Henry,,,8,AL,11/27/2016,GW,N,,,01067,,5,0,1,3,1,0,Community water system,,,ABBEVILLE,2,,,,3828,,No,,Local government,,,L,AL0000657,Active,No,ABBEVILLE WATER WORKS & SEWER BOARD,No,6,VV_V________U,GW,0,2,0,A,0,0,5,,No,1,No,0,,11/27/2016,1,No,,11/22/2017,6
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001402,Surface water purchased,,06/05/2018,CWS,Winston,,,,AL,03/07/2006,SW,N,,,01133,,0,0,1,0,0,0,Community water system,,,ADDISON,1,,,,2490,,No,,Local government,,,L,AL0001402,Active,No,ADDISON WATER WORKS,No,8,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,,03/07/2006,1,No,,06/05/2018,8
04,No Violation,,01/30/1998,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001767,Ground water purchased,2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3100=Coliform (TCR); 5000=Lead and Copper Rule,03/06/2018,CWS,Hale,,,18,AL,06/22/2016,GW,N,,,01065,,9,0,1,3,1,0,Community water system,,,AKRON,3,,,,570,,No,3100=Coliform (TCR),Local government,,01/30/1998,L,AL0001767,Active,No,AKRON WATER SYSTEM,No,4,VVV_________U,GWP,0,2,0,A,0,0,9,,No,1,No,0,,06/22/2016,1,No,,03/06/2018,4
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001555,Ground water,,08/09/2018,NTNCWS,Henry,,,,AL,06/24/1986,GW,N,,,01067,,0,0,1,0,0,0,Non-Transient non-community system,,,SHORTERVILLE,2,,,,45,,No,,Federal government,,,F,AL0001555,Active,No,ALA. WAREHOUSE/LOWER POOL #2,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,06/24/1986,1,No,,08/09/2018,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000004,Ground water,,09/20/2018,TNCWS,Baldwin,,,,AL,09/16/2010,GW,N,,,01003,,0,0,1,0,0,0,Transient non-community system,,,BAY MINETTE,4,,,,500,,No,,State government,,,S,AL0000004,Active,No,ALABAMA DOT/I-10 AL/FL WELCOME CENTER,No,5,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/16/2010,1,No,,09/20/2018,5
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001148,Surface water purchased,,12/12/2018,CWS,Shelby,,,,AL,07/20/2011,SW,N,,,01117,,0,0,1,0,0,0,Community water system,,,ALABASTER,2,,,,39684,,No,,Local government,,,L,AL0001148,Active,No,ALABASTER WATER BOARD,No,7,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,,07/20/2011,1,No,,12/12/2018,7
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0000933,Surface water,,06/14/2018,CWS,Marshall,,,,AL,02/26/2001,SW,N,,,01095,,0,0,1,0,0,0,Community water system,,,ALBERTVILLE,2,,,,29991,,No,,Local government,,,L,AL0000933,Active,No,ALBERTVILLE UTILITIES BOARD,No,5,____________U,SW,0,0,0,A,0,0,,,No,0,No,0,,02/26/2001,1,No,,06/14/2018,5
04,No Violation,09/10/2004,04/06/2009,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001265,Surface water,,11/13/2018,CWS,Tallapoosa,07/21/2004,,,AL,07/20/2011,SW,N,,,01123,,0,0,1,0,0,0,Community water system,,,ALEXANDER CITY,1,,,,27000,,No,,Local government,,04/06/2009,L,AL0001265,Active,No,ALEXANDER CITY WATER DEPARTMENT,No,7,____________U,SW,0,0,0,A,0,0,,,No,0,No,0,,07/20/2011,1,No,,11/13/2018,7
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001102,Ground water,,03/14/2018,CWS,Pickens,,,,AL,05/10/2012,GW,N,,,01107,,0,0,1,0,0,0,Community water system,,,ALICEVILLE,2,,,,3855,,No,,Local government,,,L,AL0001102,Active,No,ALICEVILLE WATER & SEWER BOARD,No,5,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,05/10/2012,1,No,,03/14/2018,5
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AL0001628,Ground water,,08/16/2018,TNCWS,Houston,,,,AL,10/29/2007,GW,N,,,01069,,0,0,1,0,0,0,Transient non-community system,,,,3,,,,30,,No,,Federal government,,,F,AL0001628,Active,No,ALLEN AAF,No,5,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,10/29/2007,1,No,,08/16/2018,5
