EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0001089,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,08/25/2016,TNCWS,Baxter,,0,4,AR,08/01/2016,GW,N,,,05005,,8,0,1,11,1,1,Transient non-community system,,,,1,,,,25,,No,8000=Revised Total Coliform Rule,Private,,,P,AR0001089,Active,No,101 GROCERY,No,1,VVVVVVVVV_VV_,GW,0,2,0,A,0,0,8,,No,1,No,0,110051020499,,08/01/2016,1,No,,08/25/2016,1
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0001195,Surface water purchased,8000=Revised Total Coliform Rule,06/26/2017,TNCWS,Madison,,0,1,AR,06/19/2018,SW,N,,,05087,,1,0,1,2,1,0,Transient non-community system,,,,2,,,,30,,No,8000=Revised Total Coliform Rule,Private,,,P,AR0001195,Active,No,1195 PRIMO WMSC0373 HUNTSVILLE,No,2,________VV___,SWP,0,1,0,A,0,0,1,,No,1,No,0,110063366110,,06/19/2018,1,No,,06/26/2017,2
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0001196,Surface water purchased,8000=Revised Total Coliform Rule,06/28/2017,TNCWS,Faulkner,,0,4,AR,10/16/2018,SW,N,,,05045,,3,0,1,5,1,0,Transient non-community system,,,,2,,,,30,,No,8000=Revised Total Coliform Rule,Private,,,P,AR0001196,Active,No,1196 PRIMO WMNM7317 GREENBRIAR,No,2,______VVVVV__,SWP,0,1,0,A,0,0,3,,No,1,No,0,110064357093,,10/16/2018,1,No,,06/28/2017,2
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ARN000180,Ground water,,07/18/2016,NTNCWS,Pulaski,,0,,AR,,GW,N,,,05119,,0,0,1,0,0,0,Non-Transient non-community system,,,,1,,,,40,,No,,Local government,,,L,ARN000180,Active,No,4-H CENTER,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051185766,,,1,No,,07/18/2016,1
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000811,Surface water purchased,,06/22/2017,CWS,Polk,,0,,AR,06/02/2010,SW,N,,,05113,,0,0,1,0,0,0,Community water system,,,,2,,,,1975,,No,,Local government,,,L,AR0000811,Active,No,ACORN RURAL WATER ASSN,No,2,_____________,SWP,0,0,0,A,0,0,,,No,0,No,0,110013021452,,06/02/2010,1,No,,06/22/2017,2
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000315,Ground water,0999=Chlorine; 3100=Coliform (TCR); 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,04/19/2017,CWS,Lincoln,,0,11,AR,01/12/2017,GW,N,,,05079,,10,0,1,2,1,0,Community water system,,,,1,,,,3800,,No,,State government,,,S,AR0000315,Active,No,ADC - CUMMINS UNIT MAINT,No,1,___VV________,GW,0,1,0,A,0,0,10,,No,1,No,0,110013248912,,01/12/2017,1,No,,04/19/2017,1
06,In Violation,,04/11/2016,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000282,Ground water,0999=Chlorine; 3100=Coliform (TCR),10/12/2016,CWS,Jefferson,04/10/2000,0,9,AR,04/29/2016,GW,N,,,05069,,18,2,1,12,1,2,Community water system,,16,,1,,2,,1850,,Yes,0999=Chlorine; 3100=Coliform (TCR),State government,,04/11/2016,S,AR0000282,Active,Yes,ADC - TUCKER UNIT MAINT,No,1,VVVVVVVVVVVVV,GW,0,2,0,A,1,1,,,No,1,No,0,110013003579,,04/29/2016,1,No,2,10/12/2016,1
06,In Violation,,08/03/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AR0000796,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,06/17/2016,CWS,Lee,,0,9,AR,08/07/2018,GW,N,,,05077,,22,4,1,9,1,1,Community water system,,1,,1,,4,,1793,,Yes,8000=Revised Total Coliform Rule,State government,,08/03/2018,S,AR0000796,Active,No,ADC EAST ARKANSAS REGIONAL,No,1,___VVV_VVVVVV,GW,0,2,0,A,1,1,17,,No,1,No,0,110013019250,8000=Revised Total Coliform Rule,08/07/2018,1,No,1,06/17/2016,1
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ARN000103,Ground water,,11/28/2017,NTNCWS,Boone,,0,,AR,08/19/2004,GW,N,,,05009,,0,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,90,,No,,State government,,,S,ARN000103,Active,No,AHTD HARRISON 9 HEADQUARTERS,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051181886,,08/19/2004,1,No,,11/28/2017,2
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ARN000129,Ground water,3100=Coliform (TCR),10/25/2018,NTNCWS,Marion,,0,2,AR,10/23/2015,GW,N,,,05089,,5,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,25,,No,,State government,,,S,ARN000129,Active,No,AHTD MARION COUNTY,No,2,_____________,GW,0,0,0,A,0,0,5,,No,1,No,0,110051068688,,10/23/2015,1,No,,10/25/2018,2
