EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0415101,Ground water,1040=Nitrate; 1041=Nitrite,12/07/2017,TNCWS,La Paz,,0,2,AZ,02/09/2017,GW,N,,,04012,,10,0,1,7,1,0,Transient non-community system,12/07/2017,,VICKSBURG,1,,,,78,,No,1040=Nitrate; 1041=Nitrite,Private,,,P,AZ0415101,Active,No,3 DREAMERS RV PARK LLC,No,1,VVVVVVV_____U,GW,0,1,0,A,0,0,10,,No,1,No,0,110051216475,,02/09/2017,1,No,,02/25/2008,1
09,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0409053,Ground water,1040=Nitrate; 3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,04/08/2015,TNCWS,Navajo,,0,13,AZ,09/13/2018,GW,N,,,04017,,27,5,1,12,1,1,Transient non-community system,04/08/2015,,ADAMANA,1,,,,75,,Yes,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,AZ0409053,Active,No,303 DWID,No,1,VVVVVVVVVVVVU,GW,0,4,0,A,0,1,22,,No,1,No,0,110017890834,1040=Nitrate,09/13/2018,1,No,,,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0408172,Ground water,1040=Nitrate,10/18/2017,TNCWS,Mohave,,0,1,AZ,01/25/2018,GW,N,,,04015,,5,0,1,6,1,0,Transient non-community system,03/14/2013,,LITTLEFIELD,1,,,,70,,No,1040=Nitrate,Private,,,P,AZ0408172,Active,No,4 SEASONS RV PARK,No,2,____VVVVVV__U,GW,0,1,0,A,0,0,5,,No,1,No,0,110051053499,,01/25/2018,1,No,,10/18/2017,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0407280,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,09/19/2016,CWS,Maricopa,,0,4,AZ,08/27/2018,GW,N,,,04013,,6,0,1,8,1,0,Community water system,09/19/2016,,PHOENIX,1,,,,40,,No,3100=Coliform (TCR),Private,,,P,AZ0407280,Active,No,67 AVE PROPERTY OWNERS ASSOCIATION,No,1,VVVVVV_V__V_U,GW,0,4,0,A,0,0,6,,No,1,No,0,110013256859,,08/27/2018,1,No,,05/22/1991,1
09,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0415435,Ground water,1040=Nitrate,03/09/2016,TNCWS,La Paz,,0,1,AZ,03/27/2014,GW,N,,,04012,,0,0,1,0,0,0,Transient non-community system,03/09/2016,,QUARTZSITE,1,,,,488,,No,,Public/Private,,,M,AZ0415435,Active,No,88 SHADES RV PARK,No,1,____________U,GW,0,0,0,A,0,0,,,No,1,No,0,110039236555,,03/27/2014,1,No,,02/28/2008,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0413432,Ground water,,01/27/2016,TNCWS,Yavapai,,0,,AZ,,GW,N,,,04025,,0,0,1,0,0,0,Transient non-community system,01/27/2016,,PRESCOTT,1,,,,50,,No,,Public/Private,,,M,AZ0413432,Active,No,89 ER TRAILER PARK,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051122361,,,1,No,,,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0409032,Ground water,3100=Coliform (TCR); 7000=Consumer Confidence Rule,09/22/2016,CWS,Navajo,,0,3,AZ,06/26/2015,GW,N,,,04017,,3,0,1,0,0,0,Community water system,09/22/2016,,SNOWFLAKE,1,,,,112,,No,,Private,,,P,AZ0409032,Active,No,A PETERSEN WATER COMPANY,No,1,____________U,GW,0,0,0,A,0,0,3,,No,1,No,0,110013103630,,06/26/2015,1,No,,,1
09,No Violation,,10/31/2011,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0420451,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,06/20/2018,TNCWS,Pima,,0,2,AZ,11/07/2017,GW,N,,,04019,,7,0,1,3,1,0,Transient non-community system,06/20/2018,,RILLITO,2,,,,50,,No,1040=Nitrate,Public/Private,,10/31/2011,M,AZ0420451,Active,No,AA RV CAMPGROUND,No,2,______VV__V_U,GW,0,2,0,A,0,0,7,,No,1,No,0,110051104728,,11/07/2017,1,No,,,2
09,No Violation,02/06/1991,02/06/1991,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0413001,Ground water,0999=Chlorine; 1005=Arsenic; 8000=Revised Total Coliform Rule,05/21/2015,CWS,Yavapai,01/08/1991,0,7,AZ,08/27/2018,GW,N,,,04025,,8,0,1,6,1,0,Community water system,05/21/2015,,PAULDEN,1,,,,1494,,No,0999=Chlorine; 1005=Arsenic; 8000=Revised Total Coliform Rule,Private,,,P,AZ0413001,Active,No,ABRA WATER COMPANY,No,1,VVVVV_____V_U,GW,0,3,0,A,0,0,8,,No,1,No,0,110013110178,,08/27/2018,1,No,,,1
09,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=AZ0412314,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/19/2015,TNCWS,Santa Cruz,,0,10,AZ,04/27/2018,GW,N,,,04023,,21,6,1,11,1,2,Transient non-community system,05/19/2015,,NOGALES,1,,,,110,,Yes,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Public/Private,,,M,AZ0412314,Active,No,AC'S TRUCK STOP,No,1,VVV_VVVVVVVVU,GW,0,3,0,A,0,1,15,,No,1,No,0,110051163931,1040=Nitrate; 8000=Revised Total Coliform Rule,04/27/2018,1,No,,,1
