EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
09,No Violation,,07/12/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA1900045,Ground water,1040=Nitrate; 8000=Revised Total Coliform Rule,11/22/2017,TNCWS,Los Angeles,,,1,CA,10/18/2017,GW,N,,,06037,,6,0,1,8,1,1,Transient non-community system,07/07/2015,5,,4,,,,800,,No,1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,07/12/2018,P,CA1900045,Active,No,1000 TRAILS / SOLEDAD CANYON PRESERVE,No,4,____VVVVVVVV_,GW,0,2,0,A,1,0,1,,No,1,No,0,,10/18/2017,1,No,1,11/22/2017,4
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA2800014,Ground water,3100=Coliform (TCR),09/14/2018,TNCWS,Napa,,,,CA,10/22/2012,GW,N,,,06055,,0,0,1,7,1,0,Transient non-community system,09/14/2018,,,2,,,,25,,No,,Private,,,P,CA2800014,Active,No,11:11,No,2,VVVVVVV______,GW,0,1,0,A,0,0,,,No,0,No,0,,10/22/2012,1,No,,06/17/2015,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA4000725,Ground water,,06/23/2014,NTNCWS,San Luis Obispo,,,,CA,,GW,N,,,06079,,0,0,1,0,0,0,Non-Transient non-community system,06/23/2014,,,1,,,,25,,No,,Private,,,P,CA4000725,Active,No,141 SUBURBAN ROAD WATER SUPPLY,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,1
09,No Violation,,08/10/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA1700725,Ground water,1040=Nitrate,12/18/2018,TNCWS,Lake,,,,CA,,GW,N,,,06033,,0,0,1,1,1,0,Transient non-community system,,,,1,,,,25,,No,,Private,,08/10/2018,P,CA1700725,Active,No,3 BROTHERS TRAVEL PLAZA,No,1,V____________,GW,0,1,0,A,1,0,,,No,0,No,0,,,1,No,2,12/18/2018,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA0901281,Surface water,,10/09/2007,TNCWS,El Dorado,,,,CA,,SW,N,,,06017,,0,0,1,0,0,0,Transient non-community system,02/21/2001,,,,,,,30,,No,,Private,,,P,CA0901281,Active,No,30 MILESTONE TRACT #1,No,,_____________,SW,0,0,0,A,0,0,,,No,0,No,0,,,0,No,,10/09/2007,
09,No Violation,,11/24/2014,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA3500557,Ground water,3014=E. COLI; 3100=Coliform (TCR),05/01/2015,TNCWS,San Benito,,,,CA,05/24/2007,GW,N,,,06069,,6,0,1,9,1,0,Transient non-community system,,6,,1,,,,9000,,No,,State government,,11/24/2014,S,CA3500557,Active,No,33RD DISTRICT AGRICULTURAL ASSOCIATION,No,2,VVVVVVVVV____,GW,0,1,0,A,1,0,,,No,0,No,0,,05/24/2007,1,No,1,05/01/2015,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA2400300,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,07/08/2015,TNCWS,Merced,,,3,CA,08/29/2018,GW,N,,,06047,,3,0,1,12,1,2,Transient non-community system,,,,2,,,,26,,No,8000=Revised Total Coliform Rule,Private,,,P,CA2400300,Active,No,4 STOP DELI-MARKET,No,2,VVVVVVVVVVVVV,GW,0,2,0,A,0,0,3,,No,1,No,0,,08/29/2018,1,No,,07/08/2015,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA5500120,Ground water,,12/12/2017,CWS,Tuolumne,,,,CA,,GW,N,,,06109,,0,0,1,0,0,0,Community water system,,,,2,,,,121,,No,,Private,,,P,CA5500120,Active,No,49ER TRAILER RANCH,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,12/12/2017,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA5000082,Ground water,3100=Coliform (TCR),07/27/2018,CWS,Stanislaus,,,,CA,05/18/2009,GW,N,,,06099,,0,0,1,0,0,0,Community water system,07/18/2014,,,2,,,,65,,No,,Private,,,P,CA5000082,Active,No,4N MOBILEHOME PARK,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,05/18/2009,1,No,,07/27/2018,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CA5000573,Ground water,3100=Coliform (TCR),06/21/2017,NTNCWS,Stanislaus,,,,CA,12/23/2010,GW,N,,,06099,,0,0,1,0,0,0,Non-Transient non-community system,05/21/2012,,,1,,,,302,,No,,Private,,,P,CA5000573,Active,No,5033 PENTECOST,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,12/23/2010,1,No,,06/21/2017,1
