EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
08,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0247124,Ground water,,06/11/2014,TNCWS,Park,,0,,CO,07/31/2000,GW,N,,,08093,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,State government,,,S,CO0247124,Active,No,11 MILE SRA COYOTE RIDGE,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051264993,,07/31/2000,1,No,,06/11/2014,1
08,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0247123,Ground water,,06/11/2014,TNCWS,Park,,0,,CO,07/31/2000,GW,N,,,08093,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,State government,,,S,CO0247123,Active,No,11 MILE SRA HOWBERT POINT,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051264975,,07/31/2000,1,No,,06/11/2014,1
08,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0247121,Ground water,,06/11/2014,TNCWS,Park,,0,,CO,07/31/2000,GW,N,,,08093,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,State government,,,S,CO0247121,Active,No,11 MILE SRA LAZY BOY,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051264939,,07/31/2000,1,No,,06/11/2014,1
08,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0247106,Ground water,1040=Nitrate,06/11/2014,TNCWS,Park,,0,5,CO,07/26/2016,GW,N,,,08093,,10,0,1,4,1,0,Transient non-community system,,,,1,,,,155,,No,1040=Nitrate,State government,,,S,CO0247106,Active,No,11 MILE SRA N SHORE PRESSURE,No,1,VSSV_________,GW,0,1,2,A,0,0,10,,No,1,No,0,110049587354,,07/26/2016,1,No,,06/11/2014,1
08,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0247111,Ground water,3100=Coliform (TCR),06/11/2014,TNCWS,Park,,0,2,CO,11/13/2014,GW,N,,,08093,,1,0,1,8,1,0,Transient non-community system,,,,1,,,,50,,No,,State government,,,S,CO0247111,Active,No,11 MILE SRA ROCKY RIDGE LOOP E,No,1,VVVVVVVV_____,GW,0,1,0,A,0,0,1,,No,1,No,0,110049740429,,11/13/2014,1,No,,06/11/2014,1
08,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0247120,Ground water,,06/11/2014,TNCWS,Park,,0,,CO,04/19/2011,GW,N,,,08093,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,State government,,,S,CO0247120,Active,No,11 MILE SRA RODGERS MTN,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051264911,,04/19/2011,1,No,,06/11/2014,1
08,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0247117,Ground water,8000=Revised Total Coliform Rule,06/11/2014,TNCWS,Park,,0,2,CO,10/31/2016,GW,N,,,08093,,1,0,1,5,1,0,Transient non-community system,,,,1,,,,25,,No,8000=Revised Total Coliform Rule,State government,,,S,CO0247117,Active,No,11 MILE SRA STOLL MTN,No,1,__VVVVV______,GW,0,1,0,A,0,0,1,,No,1,No,0,110049740535,,10/31/2016,1,No,,06/11/2014,1
08,In Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0221820,Groundwater under influence of surface water,0200=Surface Water Treatment Rule; 0800=Long Term 2 Enhanced Surface Water Treatment Rule; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,09/13/2017,TNCWS,El Paso,,0,10,CO,11/14/2018,SW,N,,,08041,,5,1,1,7,1,3,Transient non-community system,,,,1,,,,170,,No,0200=Surface Water Treatment Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,,P,CO0221820,Active,No,1859 RESTAURANT AT SEVEN FALLS,No,1,______VVVVVVV,GU,0,4,0,A,0,1,4,,Yes,1,No,0,110051259605,7500=Public Notice; 8000=Revised Total Coliform Rule,11/14/2018,1,No,,09/13/2017,1
08,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0230355,Ground water,,03/07/2017,NTNCWS,Jefferson,,0,,CO,01/16/2012,GW,N,,,08059,,0,0,1,0,0,0,Non-Transient non-community system,,,,1,,,,46,,No,,Private,,,P,CO0230355,Active,No,285 BUSINESS PARK,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110049678489,,01/16/2012,1,No,,03/07/2017,2
08,In Violation,,09/30/2002,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CO0219100,Surface water,0200=Surface Water Treatment Rule; 0300=Interim Enhanced Surfsce Water Treatment Rule; 1040=Nitrate; 3014=E. COLI; 7500=Public Notice,03/13/2017,TNCWS,Eagle,,0,38,CO,12/07/2018,SW,N,,,08037,,76,4,1,12,1,3,Transient non-community system,,,,1,,,,470,,Yes,0200=Surface Water Treatment Rule; 0300=Interim Enhanced Surfsce Water Treatment Rule; 1040=Nitrate; 3014=E. COLI,Private,,09/30/2002,P,CO0219100,Active,No,4 EAGLE RANCH,No,1,VVVVVVSSVVVVV,SW,0,5,2,A,0,1,72,,No,1,No,0,110051254156,0200=Surface Water Treatment Rule; 0300=Interim Enhanced Surfsce Water Treatment Rule,12/07/2018,1,No,,03/13/2017,1
