EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0970184,Ground water,3100=Coliform (TCR),08/24/2016,TNCWS,Fairfield,,0,2,CT,04/05/2016,GW,N,,,09001,,1,0,1,2,1,0,Transient non-community system,,,NEWTOWN,1,,,,38,,No,,Private,,,P,CT0970184,Active,No,1 DODGINGTOWN ROAD,No,1,VV___________,GW,0,1,0,A,0,0,1,,No,1,No,0,110050002849,,04/05/2016,1,No,,08/24/2016,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0750104,Ground water,1040=Nitrate; 1041=Nitrite; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/15/2018,TNCWS,New London,,0,11,CT,09/10/2018,GW,N,,,09011,,13,0,1,11,1,0,Transient non-community system,,,LYME,1,,,,35,,No,1040=Nitrate; 1041=Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,CT0750104,Active,No,1 FERRY ROAD,No,1,VVVVVVVVVVV__,GW,0,3,0,A,0,0,13,,No,1,No,0,110063343092,,09/10/2018,1,No,,05/15/2018,1
01,No Violation,,03/04/2004,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0769103,Ground water,,11/09/2018,NTNCWS,New Haven,,0,,CT,02/20/2004,GW,N,,,09009,,0,0,1,0,0,0,Non-Transient non-community system,,,MADISON,1,,,,25,,No,,Private,,03/04/2004,P,CT0769103,Active,No,1 ORCHARD PARK INDUSTRIAL AREA,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110049614057,,02/20/2004,1,No,,11/09/2018,1
01,In Violation,,06/12/2006,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0565073,Ground water,"2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",11/08/2016,NTNCWS,Hartford,,0,13,CT,10/19/2018,GW,N,,,09003,,12,1,1,12,1,1,Non-Transient non-community system,,,GRANBY,1,,,,80,,Yes,5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule,Private,,06/12/2006,P,CT0565073,Active,No,1 SALMON BROOK STREET - GRANBY,No,1,VVVVVVVVVVVVV,GW,0,2,0,A,0,1,11,,No,1,No,0,110049695521,5000=Lead and Copper Rule,10/19/2018,1,No,,11/08/2016,1
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT1099234,Ground water,,08/12/2015,TNCWS,Windham,,0,,CT,,GW,N,,,09015,,0,0,1,0,0,0,Transient non-community system,,,PLAINFIELD,1,,,,36,,No,,Private,,,P,CT1099234,Active,No,10 PUTNAM ROAD,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110067306980,,,1,No,,08/12/2015,1
01,No Violation,,07/16/2015,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0530294,Ground water,0700=Groundwater Rule; 3100=Coliform (TCR); 7500=Public Notice,03/09/2018,TNCWS,New London,,0,1,CT,12/05/2014,GW,N,,,09011,,6,0,1,0,0,0,Transient non-community system,,,FRANKLIN,1,,,,25,,No,,Private,,07/16/2015,P,CT0530294,Active,No,10 ROUTE 32 - FRANKLIN,No,2,_____________,GW,0,0,0,A,1,0,6,,No,1,No,0,110063343083,,12/05/2014,1,No,2,03/09/2018,2
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT1090154,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,03/12/2019,TNCWS,Windham,,0,9,CT,04/19/2018,GW,N,,,09015,,14,0,1,6,1,0,Transient non-community system,,,PLAINFIELD,2,,,,25,,No,8000=Revised Total Coliform Rule,Private,,,P,CT1090154,Active,No,1019 NORWICH ROAD,No,3,___VV_VVVV___,GW,0,2,0,A,0,0,14,,No,1,No,0,110049843470,,04/19/2018,1,No,,03/12/2019,3
01,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT1530094,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice,06/01/2018,TNCWS,Litchfield,,0,6,CT,10/30/2017,GW,N,,,09005,,13,1,1,11,1,1,Transient non-community system,,,WATERTOWN,1,,,,25,,No,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice,Private,,,P,CT1530094,Active,No,1030 LITCHFIELD ROAD - WATERTOWN,No,1,SV__VVVVVVVVV,GW,0,3,1,A,0,1,12,,Yes,1,No,0,110050031069,7500=Public Notice,10/30/2017,1,Yes,,06/01/2018,1
01,No Violation,,08/25/2011,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0389134,Ground water,,02/28/2017,TNCWS,Middlesex,,0,,CT,09/28/2011,GW,N,,,09007,,0,0,1,0,0,0,Transient non-community system,,,DURHAM,1,,,,25,,No,,Private,,08/25/2011,P,CT0389134,Active,No,1041 NEW HAVEN ROAD - DURHAM,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110049613600,,09/28/2011,1,No,,02/28/2017,1
01,In Violation,,04/28/2015,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0610454,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,02/22/2019,TNCWS,Middlesex,,0,7,CT,03/16/2018,GW,N,,,09007,,4,1,1,12,1,1,Transient non-community system,,,HADDAM,2,,,,25,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,04/28/2015,P,CT0610454,Active,No,106 BRIDGE ROAD - HADDAM,No,2,VVVVVVVVVVVVV,GW,0,2,0,A,1,1,3,,Yes,1,No,0,110049741302,7500=Public Notice,03/16/2018,1,Yes,2,02/22/2019,2
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=CT0530264,Ground water,,05/10/2017,TNCWS,New London,,0,2,CT,02/27/2014,GW,N,,,09011,,0,0,1,0,0,0,Transient non-community system,,,FRANKLIN,1,,,,25,,No,,Private,,,P,CT0530264,Active,No,107 ROUTE 32,No,1,_____________,GW,0,0,0,A,0,0,,,No,1,No,0,110049652960,,02/27/2014,1,No,,05/10/2017,1
