EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
03,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE00A0426,Ground water,,02/28/2017,TNCWS,New Castle,,,,DE,01/26/2006,GW,N,,,10003,,0,0,1,0,0,0,Transient non-community system,,,MIDDLETOWN,1,,,,300,,No,,Private,,,P,DE00A0426,Active,No,301 PLAZA,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,01/26/2006,1,No,,02/28/2017,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0000852,Ground water,,01/12/2017,TNCWS,Sussex,,,,DE,09/30/1981,GW,N,,,10005,,0,0,1,0,0,0,Transient non-community system,,,MILFORD,1,,,,60,,No,,Private,,,P,DE0000852,Active,No,ABBOTTS MILL NATURE CENTER,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/30/1981,1,No,,01/12/2017,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0020102,Ground water,,,TNCWS,Kent,,,,DE,,GW,N,,,10001,,0,0,1,0,0,0,Transient non-community system,,,DOVER,,,,,354,,No,,Private,,,P,DE0020102,Active,No,AKRIDGE SCOUT RESERVATION,No,,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,0,No,,,
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0000304,Ground water,,06/28/2018,NTNCWS,Sussex,,,,DE,03/23/2011,GW,N,,,10005,,0,0,1,0,0,0,Non-Transient non-community system,,,MILLSBORO,,,,,165,,No,,Private,,,P,DE0000304,Active,No,ALLEN HARIM - PINNACLE PROCESSING PLANT,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,03/23/2011,1,No,,06/28/2018,1
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0000298,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule,10/18/2011,NTNCWS,Sussex,,,4,DE,02/08/2017,GW,N,,,10005,,6,1,1,9,1,1,Non-Transient non-community system,,,HARBESON,,,,10,750,,Yes,5000=Lead and Copper Rule,Private,,,P,DE0000298,Active,No,ALLEN HARIM FOODS INC,No,,V___VVVVVVVVU,GW,0,2,0,A,0,1,5,,No,1,No,0,5000=Lead and Copper Rule,02/08/2017,0,No,,10/18/2011,
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0020093,Ground water,,09/16/2016,TNCWS,Sussex,,,,DE,,GW,N,,,10005,,0,0,1,0,0,0,Transient non-community system,,,LEWES,,,,,32,,No,,Private,,,P,DE0020093,Active,No,"AMERICAN CLASSIC GOLF CLUB, LLC.",No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,09/16/2016,1
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0000840,Ground water,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,04/01/2015,CWS,Sussex,,,4,DE,08/29/2018,GW,N,,,10005,,3,1,1,12,1,2,Community water system,,,LEWES,1,,,,1275,,Yes,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,Private,,,P,DE0000840,Active,No,ANGOLA BEACH ESTS.,No,1,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,2,,Yes,1,No,0,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,08/29/2018,1,No,,04/01/2015,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0000804,Ground water,,01/23/2017,TNCWS,Sussex,,1,,DE,,GW,N,,,10005,,0,0,1,0,0,0,Transient non-community system,,,LEWES,1,,,,170,,No,,Private,,,P,DE0000804,Active,No,ANGOLA CREST I,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,01/23/2017,1
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0000999,Ground water,1040=Nitrate; 5000=Lead and Copper Rule,01/23/2017,CWS,Sussex,,,5,DE,10/23/2018,GW,N,,,10005,,11,10,1,5,1,1,Community water system,,,LEWES,1,,,,159,,No,1040=Nitrate,Private,,,P,DE0000999,Active,Yes,ANGOLA CREST II,No,2,_______VVVVVU,GW,0,2,0,A,0,1,1,,No,1,No,0,1040=Nitrate,10/23/2018,1,No,,01/23/2017,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=DE0000248,Ground water,,09/14/2016,CWS,Sussex,,,,DE,03/06/2008,GW,N,,,10005,,0,0,1,0,0,0,Community water system,,,LEWES,1,,,,7128,,No,,Private,,,P,DE0000248,Active,No,ANGOLA PUMP DISTRICT,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,03/06/2008,1,No,,09/14/2016,1
