EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
04,No Violation,,05/07/2009,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3644115,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule,12/17/2018,NTNCWS,Volusia,,1,3,FL,04/27/2015,GW,N,,,12127,,7,0,1,0,0,0,Non-Transient non-community system,,,DELEON SPRINGS,2,,,1,480,,No,,Local government,,05/07/2009,L,FL3644115,Active,No,MCINNIS ELEMENTARY SCHOOL,No,6,____________U,GW,0,0,0,A,0,0,7,,No,1,No,0,110053722067,,04/27/2015,1,No,,12/17/2018,5
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3644326,Ground water,,05/29/2015,TNCWS,Volusia,,0,,FL,,GW,N,,,12127,,0,0,1,0,0,0,Transient non-community system,,,NEW SMYRNA BEACH,1,,,,25,,No,,Private,,,P,FL3644326,Active,No,MIKE'S CORNER,No,4,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110053741689,,,1,No,,05/29/2015,4
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL2104404,Ground water,,08/31/2018,TNCWS,Clay,,4,,FL,,GW,N,,,12019,,0,0,1,0,0,0,Transient non-community system,,,MIDDLEBURG,2,,,,25,,No,,Private,,,P,FL2104404,Active,No,1 QUICKSTOP,No,6,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110053625047,,,1,No,,08/31/2018,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL5114166,Ground water,,,TNCWS,Collier,,0,,FL,,GW,N,,,12021,,0,0,1,0,0,0,Transient non-community system,,,NAPLES,,,,,25,,No,,State government,,,S,FL5114166,Active,No,1-75 REST AREA MM 63 NORTHSIDE,No,0,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,FL5114166,,,0,No,,,
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6424726,Ground water,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2456=Total Haloacetic Acids (HAA5); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2950=TTHM; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3014=E. COLI; 5000=Lead and Copper Rule",06/14/2018,NTNCWS,Marion,,0,1,FL,03/10/2014,GW,N,,,12083,,1,1,1,12,1,1,Non-Transient non-community system,,,OCALA,2,,,,200,,Yes,5000=Lead and Copper Rule,Private,,,P,FL6424726,Active,No,103RD STREET PLAZA,No,2,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,,,No,1,No,0,110053961281,5000=Lead and Copper Rule,03/10/2014,1,No,,06/14/2018,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6295425,Ground water,1040=Nitrate,09/27/2018,TNCWS,Hillsborough,,5,2,FL,01/26/2016,GW,N,,,12057,,5,0,1,1,1,0,Transient non-community system,,,PLANT CITY,2,,,,120,,No,,Private,,,P,FL6295425,Active,No,1665 CITGO,No,14,V___________U,GW,0,1,0,A,0,0,5,,No,1,No,0,110053900089,,01/26/2016,1,No,,09/27/2018,9
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6588118,Ground water,,10/20/2017,TNCWS,Sarasota,,0,,FL,,GW,N,,,12115,,0,0,1,0,0,0,Transient non-community system,,,VENICE,1,,,,25,,No,,Private,,,P,FL6588118,Active,No,1890 PLAZA,No,7,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110053988155,,,1,No,,10/20/2017,7
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL4134522,Ground water,,10/25/2017,TNCWS,Miami-Dade,,1,,FL,,GW,N,,,12086,,0,0,1,0,0,0,Transient non-community system,,,HOMESTEAD,,,,,300,,No,,Private,,,P,FL4134522,Active,No,1ST BAPTIST CHURCH OF HOMESTEAD,No,4,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110053862646,,,1,No,,10/25/2017,3
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL6296021,Ground water,,,TNCWS,Hillsborough,,0,,FL,01/23/2006,GW,N,,,12057,,0,0,1,0,0,0,Transient non-community system,,,PLANT CITY,,,,,40,,No,,Private,,,P,FL6296021,Active,No,1ST SOUTHERN METHODIST CHURCH,No,0,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110053776151,,01/23/2006,0,No,,01/07/2005,
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=FL3494320,Ground water,1040=Nitrate; 3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,09/18/2015,TNCWS,Osceola,,0,1,FL,01/29/2014,GW,N,,,12097,,2,0,1,2,1,0,Transient non-community system,,,DAVENPORT,1,,,,25,,No,3014=E. COLI; 8000=Revised Total Coliform Rule,Private,,,P,FL3494320,Active,No,21 PALMS RV RESORT,No,2,______VV____U,GW,0,2,0,A,0,0,2,,No,1,No,0,110053784151,,01/29/2014,1,No,,09/18/2015,2
