EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1270090,Ground water,3100=Coliform (TCR),02/24/2017,TNCWS,Glynn,,0,,GA,01/28/2010,GW,N,,,13127,,0,0,1,0,0,0,Transient non-community system,,,BRUNSWICK,1,,,,302,,No,,Private,,,P,GA1270090,Active,No,341 PLAZA SHOPPING CENTER X,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110053910381,,01/28/2010,1,No,,02/24/2017,1
04,In Violation,,08/11/1999,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2890026,Ground water,1038=Nitrate-Nitrite; 3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,12/06/2018,TNCWS,Twiggs,,0,2,GA,09/29/2015,GW,N,,,13289,,7,1,1,12,1,2,Transient non-community system,,,DRY BRANCH,1,,,,175,,Yes,8000=Revised Total Coliform Rule,Private,,08/11/1999,P,GA2890026,Active,Yes,"50-50 FOODS, INC.",No,3,VVVVVVVVVVVVU,GW,0,3,0,A,0,1,6,,No,1,No,0,110054004331,,09/29/2015,1,No,,12/06/2018,3
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1230087,Ground water,8000=Revised Total Coliform Rule,11/02/2016,TNCWS,Gilmer,,0,2,GA,12/26/2018,GW,N,,,13123,,3,3,1,3,1,1,Transient non-community system,,,BLAIRSVILLE,1,,,,67,,Yes,8000=Revised Total Coliform Rule,Private,,,P,GA1230087,Active,No,"515 PROPERTIES, LLC",No,1,_________VVVU,GW,0,1,0,A,0,1,,,No,1,No,0,110067308149,8000=Revised Total Coliform Rule,12/26/2018,1,No,,11/02/2016,1
04,In Violation,,08/06/2007,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2610011,Ground water,2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,11/09/2017,CWS,Sumter,,0,2,GA,04/11/2014,GW,N,,,13261,,6,3,1,12,1,1,Community water system,11/09/2017,1,,1,,3,,81,,Yes,5000=Lead and Copper Rule,Private,,08/06/2007,P,GA2610011,Active,No,A B C MOBILE HOME PARK,No,2,VVVVVVVVVVVVU,GW,0,3,0,A,0,1,2,,No,1,No,0,110013129480,5000=Lead and Copper Rule,04/11/2014,1,No,,12/20/2016,2
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA0390054,Ground water,3100=Coliform (TCR),12/29/2017,TNCWS,Camden,,0,3,GA,03/10/2015,GW,N,,,13039,,1,0,1,12,1,1,Transient non-community system,,,,1,,,,93,,Yes,,Private,,,P,GA0390054,Active,No,A BIG WHEEL RV PARK,No,1,VVVVVVVVVVVVU,GW,0,1,0,A,0,1,1,,No,1,No,0,110054005018,,03/10/2015,1,No,,12/29/2017,1
04,In Violation,,07/26/2007,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA3050084,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule,07/24/2015,NTNCWS,Wayne,,0,5,GA,08/09/2016,GW,N,,,13305,,2,0,1,12,1,1,Non-Transient non-community system,,,,1,,,,95,,Yes,,Private,,07/26/2007,P,GA3050084,Active,No,A&M PROPERTIES OF GEORGIA WATER SYSTEM,No,1,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,2,,No,1,No,0,110053820102,,08/09/2016,1,No,,07/24/2015,1
04,In Violation,,10/10/2000,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1830006,Ground water,3014=E. COLI; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,12/01/2017,CWS,Long,,0,7,GA,12/09/2017,GW,N,,,13183,,3,1,1,12,1,1,Community water system,08/09/2017,,,2,,,,112,,Yes,3014=E. COLI,Private,,10/10/2000,P,GA1830006,Active,No,AARON MOBILE HOME PARK,No,3,VVVVVVVVVVVVU,GW,0,4,0,A,0,1,2,,No,1,No,0,110013137435,3014=E. COLI,12/09/2017,1,No,,12/01/2017,3
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA3150000,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,02/18/2016,CWS,Wilcox,,0,3,GA,02/20/2016,GW,N,,,13315,,6,1,1,12,1,2,Community water system,10/07/2004,,,1,,,,2960,,Yes,8000=Revised Total Coliform Rule,Local government,,,L,GA3150000,Active,Yes,ABBEVILLE,No,1,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,5,,No,1,No,0,110013122487,8000=Revised Total Coliform Rule,02/20/2016,1,No,,02/18/2016,1
04,In Violation,,10/02/2013,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA2770004,Ground water,3100=Coliform (TCR); 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,06/27/2018,CWS,Tift,,0,16,GA,02/20/2017,GW,N,,,13277,,7,1,1,12,1,2,Community water system,,,TIFTON,2,,,,4000,,Yes,8000=Revised Total Coliform Rule,State government,,10/02/2013,S,GA2770004,Active,No,ABRAHAM BALDWIN AGRI. COLLEGE,No,2,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,6,,No,1,No,0,110013125082,,02/20/2017,1,No,,06/27/2018,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=GA1850009,Ground water,7000=Consumer Confidence Rule,04/25/2018,CWS,Lowndes,,0,,GA,08/06/2003,GW,N,,,13185,,1,0,1,1,1,0,Community water system,,,VALDOSTA,2,,,,325,,No,,Private,,,P,GA1850009,Active,No,ACADEMY ACRES SUBDIVISION,No,2,__V_________U,GW,0,1,0,A,0,0,1,,No,0,No,0,110013137998,,08/06/2003,1,No,,04/25/2018,2
