EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000337,Ground water purchased,,10/26/2016,CWS,Honolulu,,,,HI,11/08/2010,GW,N,,,15003,,0,0,1,0,0,0,Community water system,,,SALT LAKE,1,,,,6630,,No,,Federal government,,,F,HI0000337,Active,No,ALIAMANU,No,1,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,,11/08/2010,1,No,,10/26/2016,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000401,Ground water,,09/11/2018,CWS,Kauai,,,,HI,,GW,N,,,15007,,0,0,1,0,0,0,Community water system,,,ANAHOLA,1,,,,2408,,No,,Local government,,,L,HI0000401,Active,No,ANAHOLA,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,09/11/2018,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000432,Ground water,,07/25/2018,CWS,Kauai,,,,HI,05/22/2006,GW,N,,,15007,,0,0,1,0,0,0,Community water system,,,ANAHOLA FARM LOTS (DHO),1,,,,385,,No,,State government,,,S,HI0000432,Active,No,ANAHOLA FARM LOTS,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,05/22/2006,1,No,,07/25/2018,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000402,Ground water purchased,,11/24/2014,CWS,Kauai,,,,HI,,GW,N,,,15007,,0,0,1,0,0,0,Community water system,,,HANALEI (DOW),1,,,,169,,No,,Local government,,,L,HI0000402,Active,No,ANINI,No,1,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,11/24/2014,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000355,Ground water,,05/14/2014,CWS,Honolulu,,,,HI,09/16/1992,GW,N,,,15003,,0,0,1,0,0,0,Community water system,,,WAIPAHU-EWA-WAIANAE,1,,,,5256,,No,,Federal government,,,F,HI0000355,Active,No,BARBERS POINT,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/16/1992,1,No,,05/14/2014,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000354,Ground water purchased,,05/14/2014,CWS,Honolulu,,,,HI,,GW,N,,,15003,,0,0,1,0,0,0,Community water system,,,WAHIAWA,1,,,,595,,No,,Federal government,,,F,HI0000354,Active,No,CAMP STOVER,No,1,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,05/14/2014,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000258,Ground water,,03/09/2018,NTNCWS,Maui,,,,HI,01/10/2012,GW,N,,,15009,,0,0,1,0,0,0,Non-Transient non-community system,,,WAIKAPU,1,,,,90,,No,,Private,,,P,HI0000258,Active,No,CONSOLIDATED BASEYARDS,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,01/10/2012,1,No,,03/09/2018,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000338,Ground water,2456=Total Haloacetic Acids (HAA5); 2950=TTHM,03/10/2014,CWS,Honolulu,,,2,HI,03/20/2015,GW,N,,,15003,,1,0,1,0,0,0,Community water system,,,MOKULEIA,1,,,,1800,,No,,State government,,,S,HI0000338,Active,No,DILLINGHAM AIRFIELD,No,1,____________U,GW,0,0,0,A,0,0,1,,No,1,No,0,,03/20/2015,1,No,,03/10/2014,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000326,Ground water,,02/13/2015,CWS,Honolulu,,,,HI,12/18/2009,GW,N,,,15003,,0,0,1,0,0,0,Community water system,,,WAIALUA-HALEIWA,1,,,,100,,No,,Private,,,P,HI0000326,Active,No,DILLINGHAM RANCH,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,12/18/2009,1,No,,02/13/2015,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=HI0000341,Ground water,,03/17/2016,CWS,Honolulu,,,,HI,11/08/2010,GW,N,,,15003,,0,0,1,0,0,0,Community water system,,,,1,,,,7268,,No,,Federal government,,,F,HI0000341,Active,No,FORT SHAFTER,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,11/08/2010,1,No,,03/17/2016,1
