EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7260074,Ground water,,12/19/2018,TNCWS,Jefferson,,,,ID,,GW,N,,,16051,,0,0,1,0,0,0,Transient non-community system,12/19/2018,,RIGBY,1,,,,884,,No,,Private,,,P,ID7260074,Active,No,"11 LABELLE 3 RIGBY 2,3",No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,11/12/2003,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID4430094,Ground water,1040=Nitrate,05/03/2018,TNCWS,Valley,,,2,ID,03/03/2014,GW,N,,,16085,,0,0,1,12,1,1,Transient non-community system,05/03/2018,,,1,,,,25,,No,,Private,,,P,ID4430094,Active,No,2 SISTERS COUNTRY STORE,No,1,VVVVVVVVVVVVU,GW,0,1,0,A,0,0,,,No,1,No,0,,03/03/2014,1,No,,12/20/2000,1
10,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6060091,Ground water,1040=Nitrate; 3014=E. COLI; 3100=Coliform (TCR); 7500=Public Notice,10/07/2015,TNCWS,Bingham,,,,ID,05/04/2013,GW,N,,,16011,,7,7,1,12,1,3,Transient non-community system,10/07/2015,,,1,,,,25,,Yes,1040=Nitrate; 3014=E. COLI; 7500=Public Notice,Private,,,P,ID6060091,Active,No,3 GS CONVENIENCE STORE,Yes,1,VVVVVVVVVVVSU,GW,0,4,1,A,0,1,,,Yes,0,No,1,1040=Nitrate; 3014=E. COLI; 7500=Public Notice,05/04/2013,1,Yes,,,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7100201,Ground water,,04/25/2014,CWS,Bonneville,,,,ID,,GW,N,,,16019,,0,0,1,0,0,0,Community water system,04/25/2014,,,1,,,,642,,No,,Private,,,P,ID7100201,Active,No,3D WATER ASSOCIATION,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,03/24/2009,1
10,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID3140216,Ground water,,05/18/2015,TNCWS,Canyon,,,,ID,,GW,N,,,16027,,0,0,1,0,0,0,Transient non-community system,05/18/2015,,,1,,,,200,,No,,Private,,,P,ID3140216,Active,No,44 QUICK STOP,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,02/27/2002,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7100164,Ground water,,01/09/2017,TNCWS,Bonneville,,,,ID,,GW,N,,,16019,,0,0,1,0,0,0,Transient non-community system,01/09/2017,,IDAHO FALLS,1,,,,471,,No,,Private,,,P,ID7100164,Active,No,5TH WEST MEETINGHOUSE LDS CHURCH,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,10/11/2001,1
10,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID3230055,Ground water,0700=Groundwater Rule; 1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,07/26/2017,TNCWS,Gem,,,4,ID,09/23/2017,GW,N,,,16045,,2,0,1,9,1,0,Transient non-community system,07/26/2017,,,1,,,,25,,No,8000=Revised Total Coliform Rule,Private,,,P,ID3230055,Active,No,7 RIVERS LIVESTOCK COMMISSION,No,1,VVVVVVSVV___U,GW,0,4,1,A,0,0,2,,No,1,No,0,,09/23/2017,1,No,,11/05/2002,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID7260059,Ground water,3100=Coliform (TCR),05/08/2014,TNCWS,Jefferson,,,,ID,09/07/2011,GW,N,,,16051,,0,0,1,2,1,0,Transient non-community system,05/08/2014,,,1,,,,56,,No,,Private,,,P,ID7260059,Active,No,7N RANCH,No,1,VV__________U,GW,0,1,0,A,0,0,,,No,0,No,0,,09/07/2011,1,No,,,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6060017,Ground water,5000=Lead and Copper Rule,10/25/2018,NTNCWS,Bingham,,,4,ID,01/15/2017,GW,N,,,16011,,1,0,1,2,1,0,Non-Transient non-community system,10/25/2018,,,1,,,,330,,No,,State government,1,,S,ID6060017,Active,No,A W JOHNSON ELEMENTARY SCHOOL,No,1,___VV_______U,GW,0,1,0,A,0,0,1,,No,1,No,0,,01/15/2017,1,No,,10/08/2003,1
10,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ID6060001,Ground water,3014=E. COLI,11/08/2018,CWS,Bingham,,,2,ID,09/12/2016,GW,N,,,16011,,1,1,1,10,1,1,Community water system,11/07/2013,,,1,,,,1994,,Yes,3014=E. COLI,Local government,,,L,ID6060001,Active,No,ABERDEEN CITY OF,No,2,__VVVVVVVVVVU,GW,0,1,0,A,0,1,,,No,1,No,0,3014=E. COLI,09/12/2016,1,No,,11/08/2018,2
