EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3161588,Surface water purchased,,11/07/2018,TNCWS,Clinton,,0,,IL,,SW,N,,,17027,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,25,,No,,Private,,,P,IL3161588,Active,No,161 STORE IT,No,2,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,IL3161588,,,1,No,,11/07/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3119859,Ground water,,10/17/2018,TNCWS,Cook,,0,,IL,07/01/2005,GW,N,,,17031,,0,0,1,0,0,0,Transient non-community system,,,,3,,,,30,,No,,Public/Private,,,M,IL3119859,Active,No,1ST CHURCH OF THE NAZARENE,No,3,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051612199,,07/01/2005,1,No,,10/17/2018,3
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3051250,Ground water,,01/24/2018,NTNCWS,Stephenson,,0,,IL,,GW,N,,,17177,,0,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,75,,No,,Private,,,P,IL3051250,Active,No,1ST CHURCH OF THE OPEN BIBLE,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051495798,,,1,No,,01/24/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3068866,Ground water,3014=E. COLI; 3100=Coliform (TCR),02/27/2017,NTNCWS,Kane,,0,,IL,07/30/2009,GW,N,,,17089,,0,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,44,,No,,Public/Private,,,M,IL3068866,Active,No,2 RIVERS HEAD START DAY CARE,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051350060,,07/30/2009,1,No,,02/27/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3130872,Ground water,,06/13/2017,TNCWS,McHenry,,0,,IL,12/26/2002,GW,N,,,17111,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,25,,No,,Private,,,P,IL3130872,Active,No,2022 FOODMART INC,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051612135,,12/26/2002,1,No,,06/13/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3158071,Surface water purchased,,10/30/2017,TNCWS,Livingston,,0,,IL,,SW,N,,,17105,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,25,,No,,Private,,,P,IL3158071,Active,No,24 7 ICE PONTIAC,No,2,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,110063340843,,,1,No,,10/30/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3062505,Ground water,,02/15/2017,TNCWS,McHenry,,0,,IL,01/14/1997,GW,N,,,17111,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,300,,No,,Private,,,P,IL3062505,Active,No,31 NORTH,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051546671,,01/14/1997,1,No,,02/15/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3049031,Ground water,,12/20/2017,NTNCWS,Rock Island,,0,,IL,05/06/2011,GW,N,,,17161,,0,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,300,,No,,Private,,,P,IL3049031,Active,No,3M CORDOVA PLANT,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110013886875,,05/06/2011,1,No,,12/20/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3152579,Ground water,,02/07/2017,TNCWS,Will,,0,,IL,04/27/2010,GW,N,,,17197,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,105,,No,,Private,,,P,IL3152579,Active,No,4 RIVERS ENVIRONMENTAL CENTER,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051872425,,04/27/2010,1,No,,02/07/2017,2
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IL3033605,Ground water,1040=Nitrate,05/18/2018,TNCWS,Kankakee,,0,,IL,08/07/2010,GW,N,,,17091,,5,5,1,8,1,1,Transient non-community system,,,,5,,,,240,,Yes,1040=Nitrate,Private,,,P,IL3033605,Active,No,4H CAMP SHAW WAW NAS SEE,No,5,____VVVVVVVVU,GW,0,1,0,A,0,1,,,No,0,No,0,110051497581,,08/07/2010,1,No,,05/18/2018,5
