EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2370124,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,02/21/2017,TNCWS,Jasper,,,8,IN,12/03/2018,GW,N,,,18073,,8,7,1,7,1,2,Transient non-community system,,,DEMOTTE,1,,,,51,,Yes,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,IN2370124,Active,Yes,1ST BAPTIST CHURCH OF DEMOTTE,No,1,VVVVV_____VVU,GW,0,3,0,A,0,1,1,,No,1,No,0,3014=E. COLI; 8000=Revised Total Coliform Rule,12/03/2018,1,No,,02/21/2017,1
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2320151,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/11/2018,TNCWS,Hendricks,,,15,IN,05/24/2018,GW,N,,,18063,,8,2,1,7,1,1,Transient non-community system,,,AMO,1,,,,35,,Yes,8000=Revised Total Coliform Rule,Private,,,P,IN2320151,Active,No,1ST BAPTST CHURCH OF AMO,No,2,_____VVVVVVVU,GW,0,1,0,A,0,1,6,,No,1,No,0,8000=Revised Total Coliform Rule,05/24/2018,1,No,,05/11/2018,2
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2760845,Ground water,8000=Revised Total Coliform Rule,11/16/2016,TNCWS,Steuben,,,5,IN,05/22/2018,GW,N,,,18151,,2,1,1,10,1,1,Transient non-community system,,,,1,,,,154,,Yes,8000=Revised Total Coliform Rule,Private,,,P,IN2760845,Active,No,200 EXPRESS,No,1,__VVVVVVVVVVU,GW,0,1,0,A,0,1,1,,No,1,No,0,,05/22/2018,1,No,,11/16/2016,1
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2201011,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,02/02/2017,TNCWS,Elkhart,,,11,IN,10/25/2018,GW,N,,,18039,,9,1,1,9,1,1,Transient non-community system,,,,1,,,,115,,Yes,8000=Revised Total Coliform Rule,Private,,,P,IN2201011,Active,No,20TH CENTURY RESTAURANT,No,1,VVVVV__VV_VVU,GW,0,3,0,A,0,1,8,,No,1,No,0,,10/25/2018,1,No,,02/02/2017,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2080012,Ground water,8000=Revised Total Coliform Rule,04/07/2015,TNCWS,Carroll,,1,2,IN,12/08/2017,GW,N,,,18015,,1,0,1,1,1,0,Transient non-community system,,,BURLINGTON,1,,,,800,,No,,Private,,,P,IN2080012,Active,No,29-MARAMART,No,2,_______V____U,GW,0,1,0,A,0,0,1,,No,1,No,0,,12/08/2017,1,No,,04/07/2015,1
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2520023,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,10/08/2015,TNCWS,Miami,,,17,IN,10/25/2018,GW,N,,,18103,,16,1,1,12,1,1,Transient non-community system,,,BUNKER HILL,1,,,,75,,No,1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,,P,IN2520023,Active,No,3 AMIGOS,No,1,VVVSVVVVVVVVU,GW,0,3,1,A,0,1,15,,Yes,1,No,0,8000=Revised Total Coliform Rule,10/25/2018,1,No,,10/08/2015,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2520856,Ground water,,05/27/2014,TNCWS,Miami,,,,IN,10/20/2010,GW,N,,,18103,,0,0,1,0,0,0,Transient non-community system,,,BUNKER HILL,1,,,,25,,No,,Private,,,P,IN2520856,Active,No,"31 MARA-MART, INC.",No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,10/20/2010,1,No,,05/27/2014,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2640060,Ground water,,04/10/2017,TNCWS,Porter,,,,IN,,GW,N,,,18127,,0,0,1,0,0,0,Transient non-community system,,,VALPARAISO,,,,,659,,No,,Private,,,P,IN2640060,Active,No,49ER DRIVE IN THEATRE,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,04/10/2017,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2440021,Ground water,,09/14/2018,TNCWS,LaGrange,,,,IN,01/31/2007,GW,N,,,18087,,0,0,1,0,0,0,Transient non-community system,,,SHIPSHEWANA,1,,,,264,,No,,Private,,,P,IN2440021,Active,No,5 & 20 COUNTRY RESTAURANT,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,01/31/2007,1,No,,09/14/2018,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=IN2200816,Ground water,3100=Coliform (TCR),02/02/2017,TNCWS,Elkhart,,,,IN,07/24/2013,GW,N,,,18039,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,100,,No,,Private,,,P,IN2200816,Active,No,6 & 15 CONVENIENCE STORE INC.,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,07/24/2013,1,No,,02/02/2017,1
