EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
06,In Violation,,01/09/2015,4,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1117023,Ground water,0600=Stage 2 Disinfectants and Disinfection Byproducts Rule; 0700=Groundwater Rule; 0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,08/31/2018,CWS,Washington Parish,,0,74,LA,03/11/2019,GW,N,,,22117,,56,42,1,12,1,6,Community water system,09/11/2017,6,,2,,36,,25,,Yes,0600=Stage 2 Disinfectants and Disinfection Byproducts Rule; 0700=Groundwater Rule; 0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,01/09/2015,P,LA1117023,Active,Yes,29 PALMS TRAILER PARK,No,4,VVVVSVSVVVVVV,GW,0,7,2,A,1,1,8,,Yes,1,No,0,110020595934,0600=Stage 2 Disinfectants and Disinfection Byproducts Rule; 0700=Groundwater Rule; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice,03/11/2019,1,Yes,1,08/31/2018,4
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103320,Ground water,,04/26/2016,NTNCWS,St. Tammany Parish,,0,,LA,,GW,N,,,22103,,0,0,1,0,0,0,Non-Transient non-community system,09/15/2014,,,1,,,,40,,No,,Private,,,P,LA2103320,Active,No,A TO Z DAYCARE CENTER,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051885803,,,1,No,,04/26/2016,2
06,In Violation,,,7,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103531,Ground water,0700=Groundwater Rule; 8000=Revised Total Coliform Rule,10/11/2018,TNCWS,St. Tammany Parish,,0,2,LA,10/02/2018,GW,N,,,22103,,6,6,1,3,1,2,Transient non-community system,,,,1,,,,50,,Yes,0700=Groundwater Rule; 8000=Revised Total Coliform Rule,Private,,,P,LA2103531,Active,Yes,ABITA PETRO PLUS,No,1,__________VVV,GW,0,2,0,A,0,1,,,No,1,Yes,0,LA2103531,0700=Groundwater Rule,10/02/2018,1,No,,10/11/2018,1
06,In Violation,,,4,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103512,Ground water,0999=Chlorine; 3100=Coliform (TCR),05/12/2015,TNCWS,St. Tammany Parish,,0,6,LA,07/29/2016,GW,N,,,22103,,2,0,1,12,1,1,Transient non-community system,05/12/2015,,,1,,,,279,,Yes,,Private,,,P,LA2103512,Active,No,ABITA RV PARK,No,1,VVVVVVVVVVVVV,GW,0,2,0,A,0,1,2,,No,1,No,0,110064359448,,07/29/2016,1,No,,,1
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2103294,Ground water,3100=Coliform (TCR),09/27/2016,TNCWS,St. Tammany Parish,,0,,LA,10/19/2012,GW,N,,,22103,,0,0,1,2,1,0,Transient non-community system,09/27/2016,,,1,,,,50,,No,,Private,,,P,LA2103294,Active,No,ABITA SPRINGS GOLF CLUB W S,No,1,VV___________,GW,0,1,0,A,0,0,,,No,0,No,0,110051951483,,10/19/2012,1,No,,02/09/2011,1
06,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1103002,Ground water,0999=Chlorine; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,04/05/2017,CWS,St. Tammany Parish,,0,7,LA,03/13/2017,GW,N,,,22103,,2,1,1,10,1,1,Community water system,04/05/2017,,,1,,,,3000,,Yes,0999=Chlorine; 8000=Revised Total Coliform Rule,Local government,,,L,LA1103002,Active,No,ABITA SPRINGS WATER SYSTEM,No,3,___VVVVVVVVVV,GW,0,2,0,A,0,1,1,,No,1,No,0,110012874407,,03/13/2017,1,No,,04/05/2016,3
06,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2055094,Ground water,,12/06/2018,TNCWS,Lafayette Parish,,1,,LA,,GW,N,,,22055,,0,0,1,0,0,0,Transient non-community system,12/06/2018,,,2,,,,25,,No,,Private,,,P,LA2055094,Active,No,ACADIAN HEALTH SERVICE WATER SYSTEM,No,6,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110063348300,,,1,No,,12/04/2014,5
06,Serious Violator,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2055095,Ground water,0700=Groundwater Rule; 7500=Public Notice,01/23/2017,TNCWS,Lafayette Parish,,0,3,LA,06/29/2018,GW,N,,,22055,,11,11,1,8,1,2,Transient non-community system,01/23/2017,,,1,,,,25,,No,0700=Groundwater Rule; 7500=Public Notice,Private,,,P,LA2055095,Active,Yes,ACADIANA GYMNASTICS WATER SYSTEM,Yes,2,_____VVVSSSSV,GW,0,2,4,A,0,1,,,Yes,1,No,1,LA2055095,0700=Groundwater Rule; 7500=Public Notice,06/29/2018,1,Yes,,,2
06,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA2005256,Ground water,2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule; 7500=Public Notice,12/07/2016,NTNCWS,Ascension Parish,,0,9,LA,09/25/2017,GW,N,,,22005,,4,0,1,8,1,0,Non-Transient non-community system,,,,1,,,,500,,No,,Private,7,,P,LA2005256,Active,No,AIR LIQUIDE GEISMAR UTILITY SERVICES,No,3,VVVVVVVV_____,GW,0,4,0,A,0,0,4,,No,1,No,0,110051876519,,09/25/2017,1,No,,12/07/2016,3
06,In Violation,,06/07/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=LA1069015,Ground water,2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice,08/16/2018,CWS,Natchitoches Parish,,0,39,LA,02/07/2019,GW,N,,,22069,,58,52,1,12,1,4,Community water system,12/09/2013,,,1,,48,,453,,Yes,2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice,Local government,,06/07/2018,L,LA1069015,Active,Yes,AJAX BEULAH WATER SYSTEM,No,2,VVVVVSSSVVVVV,GW,0,4,3,A,1,1,6,,Yes,1,No,0,110048263516,2950=TTHM; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice,02/07/2019,1,Yes,1,08/16/2018,2
