EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
01,No Violation,,03/09/2015,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA2179009,Ground water,1040=Nitrate,12/05/2017,TNCWS,Worcester,,,,MA,,GW,N,01756,,25027,,5,0,1,0,0,0,Transient non-community system,,5,MENDON,1,,,,174,,No,,Private,,03/09/2015,P,MA2179009,Active,No,10 THRU 16 HASTINGS STREET,No,1,_____________,GW,0,0,0,A,1,0,,,No,0,No,0,,,1,No,1,12/05/2017,1
01,No Violation,,12/05/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA2286027,Ground water,,12/04/2018,TNCWS,Middlesex,,,,MA,,GW,N,01775,,25017,,0,0,1,0,0,0,Transient non-community system,,,STOW,1,,,,60,,No,,Private,,12/05/2012,P,MA2286027,Active,No,10.0 ACADEMY / GYMNASTICS,No,5,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,12/04/2018,5
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA1053033,Ground water,5000=Lead and Copper Rule,04/26/2018,CWS,Franklin,,,1,MA,02/14/2014,GW,N,01339,,25011,,1,0,1,0,0,0,Community water system,,,CHARLEMONT,2,,,,30,,No,,Private,,,P,MA1053033,Active,No,122 MAIN STREET,No,2,_____________,GW,0,0,0,A,0,0,1,,No,1,No,0,,02/14/2014,1,No,,04/26/2018,2
01,No Violation,,01/29/2008,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA2037020,Ground water,,05/27/2015,NTNCWS,Middlesex,,,,MA,,GW,N,01719,,25017,,0,0,1,0,0,0,Non-Transient non-community system,,,BOXBOROUGH,1,,,,150,,No,,Private,2,01/29/2008,P,MA2037020,Active,No,1300 MASS AVE,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,05/27/2015,1
01,No Violation,,12/14/2009,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA2037024,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,12/10/2018,NTNCWS,Middlesex,,,3,MA,07/03/2018,GW,N,01719,,25017,,15,0,1,3,1,0,Non-Transient non-community system,,,BOXBOROUGH,1,,,,100,,No,,Private,,12/14/2009,P,MA2037024,Active,No,155 SWANSON RD   SYNQOR,No,7,________VVV__,GW,0,1,0,A,0,0,15,,No,1,No,0,,07/03/2018,1,No,,12/10/2018,7
01,No Violation,,12/05/2016,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA2037018,Ground water,8000=Revised Total Coliform Rule,05/16/2017,NTNCWS,Middlesex,,,,MA,,GW,N,01719,,25017,,1,0,1,2,1,0,Non-Transient non-community system,,1,BOXBOROUGH,1,,,,278,,No,8000=Revised Total Coliform Rule,Private,,12/05/2016,P,MA2037018,Active,No,159 SWANSON RD    SETRA SYSTEMS INC,No,2,__VV_________,GW,0,1,0,A,1,0,,,No,0,No,0,,,1,No,1,05/16/2017,2
01,No Violation,,02/01/1996,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA1341012,Groundwater under influence of surface water,,03/09/2017,TNCWS,Berkshire,,,,MA,,SW,N,01267,,25003,,0,0,1,0,0,0,Transient non-community system,,,WILLIAMSTOWN,1,,,,34,,No,,Private,,02/01/1996,P,MA1341012,Active,No,1896 HOUSE BROOKSIDE,No,1,_____________,GU,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,03/09/2017,1
01,No Violation,,09/28/1995,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA1341011,Groundwater under influence of surface water,,03/09/2017,TNCWS,Berkshire,,,,MA,09/30/1984,SW,N,01267,,25003,,0,0,1,0,0,0,Transient non-community system,,,WILLIAMSTOWN,1,,,,34,,No,,Private,,09/28/1995,P,MA1341011,Active,No,1896 HOUSE PONDSIDE,No,1,_____________,GU,0,0,0,A,0,0,,,No,0,No,0,,09/30/1984,1,No,,03/09/2017,1
01,In Violation,,02/16/2018,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA1341024,Groundwater under influence of surface water,0200=Surface Water Treatment Rule; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,03/09/2017,TNCWS,Berkshire,,,,MA,08/01/2013,SW,N,01267,,25003,,33,12,1,12,1,4,Transient non-community system,,21,WILLIAMSTOWN,1,,12,,34,,Yes,0200=Surface Water Treatment Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,02/16/2018,P,MA1341024,Active,Yes,1896 HOUSE RESTAURANT,No,1,VVVVVVVVVVVVV,GU,0,4,0,A,1,1,,,Yes,0,No,0,0200=Surface Water Treatment Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,08/01/2013,1,Yes,3,03/09/2017,1
01,In Violation,,11/09/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MA2226013,Ground water,5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule,05/23/2018,NTNCWS,Worcester,,,,MA,06/12/2013,GW,N,01540,,25027,,6,5,1,10,1,1,Non-Transient non-community system,,1,OXFORD,1,,5,,30,,Yes,8000=Revised Total Coliform Rule,Private,,11/09/2018,P,MA2226013,Active,No,19 INDUSTRIAL PARK ROAD,No,1,___VVVVVVVVVV,GW,0,2,0,A,1,1,,,No,0,No,0,8000=Revised Total Coliform Rule,06/12/2013,1,No,2,05/23/2018,1
