EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1060073,Ground water,,,NTNCWS,Carroll,,,,MD,,GW,N,21158,,24013,,0,0,1,0,0,0,Non-Transient non-community system,,,WESTMINSTER,,,,,50,,No,,Private,,,P,MD1060073,Active,No,2002 BETHEL ROAD (AKA TELEMECANIQUE),No,,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,0,No,,,
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1161122,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,12/29/2017,TNCWS,Prince George's,,,7,MD,11/20/2017,GW,N,,,24033,,2,0,1,4,1,0,Transient non-community system,,,,2,,,,100,,No,8000=Revised Total Coliform Rule,Private,,,P,MD1161122,Active,No,301 BP,No,2,___VV_VV____U,GW,0,1,0,A,0,0,2,,No,1,No,0,,11/20/2017,1,No,,12/29/2017,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1111079,Ground water,,09/23/2016,TNCWS,Garrett,,,,MD,08/17/2009,GW,N,,,24023,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,29,,No,,Private,,,P,MD1111079,Active,No,4 HOOPPOLE SOUTH,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,08/17/2009,1,No,,09/23/2016,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1171207,Ground water,,07/24/2015,TNCWS,Queen Anne's,,,,MD,09/12/2012,GW,N,,,24035,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,100,,No,,Public/Private,,,M,MD1171207,Active,No,4-H PARK,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/12/2012,1,No,,07/24/2015,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1051030,Ground water,3100=Coliform (TCR),10/28/2015,TNCWS,Caroline,,,1,MD,07/23/2014,GW,N,,,24011,,5,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,Local government,,,L,MD1051030,Active,No,4-H PARK MAIN WELL,No,1,____________U,GW,0,0,0,A,0,0,5,,No,1,No,0,,07/23/2014,1,No,,10/28/2015,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1171001,Ground water,,09/21/2016,TNCWS,Queen Anne's,,,,MD,09/12/2007,GW,N,,,24035,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,200,,No,,Private,,,P,MD1171001,Active,No,7 ELEVEN CHESTER-17867,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/12/2007,1,No,,09/21/2016,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1171243,Ground water,,08/08/2016,TNCWS,Queen Anne's,,,,MD,,GW,N,,,24035,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,100,,No,,Private,,,P,MD1171243,Active,No,7- ELEVEN # 34278,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,08/08/2016,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1101236,Ground water,,08/28/2015,TNCWS,Frederick,,,,MD,,GW,N,,,24021,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,500,,No,,Private,,,P,MD1101236,Active,No,7- ELEVEN - (GASMART OF FREDERICK),No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,08/28/2015,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1041236,Ground water,,08/19/2014,TNCWS,Calvert,,,,MD,,GW,N,,,24009,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,805,,No,,Private,,,P,MD1041236,Active,No,7-11 SUNDERLAND,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,08/19/2014,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MD1021146,Ground water,,07/03/2017,TNCWS,Anne Arundel,,,,MD,08/18/2005,GW,N,,,24003,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,517,,No,,Private,,,P,MD1021146,Active,No,7-ELEVEN #28953 AND DEALE SUBWAY,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,08/18/2005,1,No,,07/03/2017,1
