EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
01,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094451,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,10/16/2017,TNCWS,Kennebec,,0,28,ME,03/18/2019,GW,N,,,23011,,20,6,1,8,1,2,Transient non-community system,07/11/2007,,AUGUSTA,1,,,,221,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,,P,ME0094451,Active,No,1-7-10  BOWLING & ENTERTAINMENT CENTER,No,5,_____VVVVVVVV,GW,0,2,0,A,0,1,14,,Yes,1,Yes,0,110049246393,7500=Public Notice; 8000=Revised Total Coliform Rule,03/18/2019,1,Yes,,10/16/2017,5
01,No Violation,,07/21/2008,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094739,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/27/2015,TNCWS,Aroostook,,0,6,ME,08/17/2017,GW,N,,,23003,,2,0,1,2,1,0,Transient non-community system,,,FORT KENT,1,,,,30,,No,8000=Revised Total Coliform Rule,Private,,07/21/2008,P,ME0094739,Active,No,10TH MOUNTAIN SKI CENTER,No,2,_____VV______,GW,0,1,0,A,0,0,2,,No,1,No,0,110052688418,,08/17/2017,1,No,,05/27/2015,2
01,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0004596,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,08/04/2016,TNCWS,Somerset,,0,17,ME,03/11/2019,GW,N,,,23025,,10,1,1,12,1,2,Transient non-community system,,,WEST FORKS PLT,1,,,,114,,Yes,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,ME0004596,Active,No,15 MILE STREAM LODGE & OUTFITTERS,No,2,V_VVVVVVVVVVV,GW,0,3,0,A,0,1,9,,No,1,No,0,110051948247,3014=E. COLI; 8000=Revised Total Coliform Rule,03/11/2019,1,No,,08/04/2016,2
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0094746,Ground water,3100=Coliform (TCR),11/15/2018,TNCWS,Lincoln,,0,9,ME,09/04/2015,GW,N,,,23015,,15,0,1,0,0,0,Transient non-community system,,,WALDOBORO,1,,,,49,,No,,Private,,,P,ME0094746,Active,No,1ST BAPTIST CHURCH OF WALDOBORO,No,8,_____________,GW,0,0,0,A,0,0,15,,No,1,No,0,110052688677,,09/04/2015,1,No,,11/15/2018,8
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0018522,Ground water,,07/18/2018,TNCWS,Cumberland,,0,1,ME,11/19/2015,GW,N,,,23005,,0,0,1,0,0,0,Transient non-community system,,,NAPLES,1,,,,400,,No,,Private,,,P,ME0018522,Active,No,323 NAPLES ROOSEVELT TRAIL LLC,No,2,_____________,GW,0,0,0,A,0,0,,,No,1,No,0,110051914924,,11/19/2015,1,No,,07/18/2018,2
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0092373,Ground water,,03/21/2018,CWS,Aroostook,,0,,ME,07/03/2006,GW,N,,,23003,,0,0,1,0,0,0,Community water system,,,CARIBOU,2,,,,90,,No,,Private,,,P,ME0092373,Active,No,A PLACE FOR ALL SEASONS,No,5,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110020595532,,07/03/2006,1,No,,03/21/2018,5
01,No Violation,,10/27/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0019196,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice,02/18/2016,TNCWS,Aroostook,,0,25,ME,03/08/2016,GW,N,,,23003,,32,0,1,1,1,0,Transient non-community system,,,OAKFIELD,1,,,,36,,No,,Private,,10/27/2012,P,ME0019196,Active,No,A PLACE TO EAT,No,8,V____________,GW,0,3,0,A,0,0,32,,No,1,No,0,110052565176,,03/08/2016,1,No,,02/18/2016,8
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0004938,Ground water,1040=Nitrate,05/16/2018,TNCWS,Hancock,,0,7,ME,11/29/2016,GW,N,,,23009,,10,0,1,9,1,0,Transient non-community system,,,MOUNT DESERT,1,,,,301,,No,1040=Nitrate,Private,,,P,ME0004938,Active,No,ABELS LOBSTER POUND,No,2,__VVVVVVVVV__,GW,0,1,0,A,0,0,10,,No,1,No,0,110052498515,,11/29/2016,1,No,,05/16/2018,2
01,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0004681,Ground water,1040=Nitrate; 7500=Public Notice,05/17/2018,TNCWS,Somerset,,0,4,ME,08/03/2018,GW,N,,,23025,,6,1,1,9,1,1,Transient non-community system,,,MADISON,1,,,,250,,No,1040=Nitrate; 7500=Public Notice,Private,,,P,ME0004681,Active,No,ABNAKI CAMPING CENTER,No,4,____VVVVVVVVV,GW,0,2,0,A,0,1,5,,Yes,1,No,0,110051967172,7500=Public Notice,08/03/2018,1,Yes,,05/17/2018,4
01,In Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ME0003408,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,08/22/2018,TNCWS,Piscataquis,,0,28,ME,03/18/2019,GW,N,,,23021,,26,8,1,12,1,2,Transient non-community system,,,T02 R10 WELS,2,,,,192,,Yes,1040=Nitrate; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,,P,ME0003408,Active,No,ABOL BRIDGE CG & STORE & RESTAURANT,No,12,VVVVVVVVVVVVV,GW,0,4,0,A,0,1,18,,Yes,1,Yes,0,110052623149,7500=Public Notice; 8000=Revised Total Coliform Rule,03/18/2019,1,Yes,,08/22/2018,12
