EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5040340,Ground water,,11/16/2016,TNCWS,Beltrami,,,,MN,,GW,N,,,27007,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,100,,No,,Private,,,P,MN5040340,Active,No, 71  Mart,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,11/16/2016,1
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5360187,Ground water,8000=Revised Total Coliform Rule,05/07/2018,TNCWS,Koochiching,,,4,MN,12/15/2018,GW,N,,,27071,,3,1,1,4,1,1,Transient non-community system,,,,2,,,,500,,Yes,8000=Revised Total Coliform Rule,Private,,,P,MN5360187,Active,No, Y  Knot Quick Stop,No,2,________VVVVU,GW,0,1,0,A,0,1,2,,No,1,No,0,8000=Revised Total Coliform Rule,12/15/2018,1,No,,05/07/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5110536,Ground water,,01/18/2017,TNCWS,Cass,,,,MN,,GW,N,,,27021,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,500,,No,,Private,,,P,MN5110536,Active,No, Y  Mart,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,01/18/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5271081,Ground water,,08/23/2017,TNCWS,Hennepin,,,,MN,,GW,N,,,27053,,0,0,1,0,0,0,Transient non-community system,08/23/2017,,,1,,,,50,,No,,Private,,,P,MN5271081,Active,No,10-50 Club,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN1860017,Ground water,3100=Coliform (TCR),08/14/2018,CWS,Wright,,,3,MN,07/30/2014,GW,N,,,27171,,1,0,1,0,0,0,Community water system,,,,3,,,,300,,No,,Private,,,P,MN1860017,Active,No,12 Hi Mobile Home Park,No,3,____________U,GW,0,0,0,A,0,0,1,,No,1,No,0,,07/30/2014,1,No,,08/14/2018,3
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5181081,Ground water,,04/29/2016,TNCWS,Crow Wing,,,,MN,,GW,N,,,27035,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,Private,,,P,MN5181081,Active,No,14 Lakes Craft Brewing Co.,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,04/29/2016,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5410023,Ground water,3100=Coliform (TCR),08/23/2017,TNCWS,Lincoln,,,5,MN,07/08/2014,GW,N,,,27081,,5,0,1,0,0,0,Transient non-community system,08/23/2017,,,2,,,,25,,No,,Private,,,P,MN5410023,Active,No,1975 Filling Station & Restaurant,No,2,____________U,GW,0,0,0,A,0,0,5,,No,1,No,0,,07/08/2014,1,No,,12/07/2000,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5490297,Ground water,,03/31/2017,TNCWS,Morrison,,,,MN,,GW,N,,,27097,,0,0,1,0,0,0,Transient non-community system,03/31/2017,,,2,,,,100,,No,,Private,,,P,MN5490297,Active,No,2 Tall Tavern,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5040734,Ground water,,11/30/2017,TNCWS,Beltrami,,,,MN,11/08/2006,GW,N,,,27007,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,90,,No,,Private,,,P,MN5040734,Active,No,2 West Express,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,11/08/2006,1,No,,11/30/2017,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5740241,Ground water,,04/10/2018,TNCWS,Steele,,,,MN,09/26/2006,GW,N,,,27147,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,50,,No,,Private,,,P,MN5740241,Active,No,20 Rifle & Pistol Club,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/26/2006,1,No,,04/10/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5840016,Ground water,,09/06/2017,TNCWS,Wilkin,,,,MN,,GW,N,,,27167,,0,0,1,0,0,0,Transient non-community system,09/06/2017,,,2,,,,30,,No,,Public/Private,,,M,MN5840016,Active,No,210 Bar and Grill,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5020197,Ground water,,03/13/2018,TNCWS,Anoka,,,,MN,09/22/1992,GW,N,,,27003,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,25,,No,,Private,,,P,MN5020197,Active,No,21st Century Bank,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/22/1992,1,No,,03/13/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5090170,Ground water,,09/15/2016,TNCWS,Carlton,,,,MN,,GW,N,,,27017,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,35,,No,,Private,,,P,MN5090170,Active,No,29 Pines Golf Course,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,09/15/2016,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5600217,Ground water,,06/20/2018,TNCWS,Polk,,,,MN,,GW,N,,,27119,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,25,,No,,Private,,,P,MN5600217,Active,No,2Annes Lakeside RV Park,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,06/20/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5490384,Ground water,,06/16/2016,TNCWS,Morrison,,,,MN,,GW,N,,,27097,,0,0,1,0,0,0,Transient non-community system,06/16/2016,,,1,,,,25,,No,,Private,,,P,MN5490384,Active,No,37 Acres RV and Campground,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,1
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5310874,Ground water,,02/21/2018,TNCWS,Itasca,,,,MN,,GW,N,,,27061,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,25,,No,,Private,,,P,MN5310874,Active,No,"38 Outpost, Inc.",No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,02/21/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5040738,Ground water,,11/05/2018,TNCWS,Beltrami,,,,MN,11/02/2001,GW,N,,,27007,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,120,,No,,Private,,,P,MN5040738,Active,No,3B Rentals,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,11/02/2001,1,No,,11/05/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MN5820415,Ground water,0999=Chlorine; 8000=Revised Total Coliform Rule,08/16/2018,NTNCWS,Washington,,,3,MN,02/27/2017,GW,N,,,27163,,2,0,1,2,1,0,Non-Transient non-community system,,,,2,,,,740,,No,0999=Chlorine; 8000=Revised Total Coliform Rule,Private,,,P,MN5820415,Active,No,3M Cottage Grove,No,2,___VV_______U,GW,0,2,0,A,0,0,2,,No,1,No,0,,02/27/2017,1,No,,08/16/2018,2
