EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
07,No Violation,,04/22/2009,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5031436,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,08/11/2017,CWS,Morgan,,0,22,MO,08/29/2017,GW,N,,,29141,,37,0,1,11,1,0,Community water system,08/11/2017,,,1,,,,150,,No,8000=Revised Total Coliform Rule,Private,,04/22/2009,P,MO5031436,Active,No,10 4 WATER SYSTEM,No,3,VVVVVVSSVVV_U,GW,0,2,2,A,0,0,37,,No,1,No,0,110020595774,,08/29/2017,1,No,,10/16/2015,3
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3238020,Ground water,3100=Coliform (TCR),12/01/2015,TNCWS,Camden,,0,,MO,07/05/2011,GW,N,,,29029,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,Private,,,P,MO3238020,Active,No,11 WEST CONDOMINIUM,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110050736165,,07/05/2011,1,No,,12/01/2015,1
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3292542,Ground water,0700=Groundwater Rule; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,03/25/2014,TNCWS,Cole,,0,22,MO,08/23/2018,GW,N,,,29051,,36,0,1,11,1,0,Transient non-community system,,,,1,,,,200,,No,0700=Groundwater Rule; 8000=Revised Total Coliform Rule,Private,,,P,MO3292542,Active,No,17 EAGLE STOP,No,2,VVVVVVVVSVV_U,GW,0,3,1,A,0,0,36,,No,1,No,0,110053027489,,08/23/2018,1,No,,03/25/2014,2
07,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO4292490,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,04/07/2015,TNCWS,Iron,,0,9,MO,11/26/2018,GW,N,,,29093,,10,1,1,8,1,2,Transient non-community system,,,,1,,,,100,,Yes,7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,,P,MO4292490,Active,No,21 EXPRESS,No,1,____VVVVVVVVU,GW,0,2,0,A,0,1,9,,No,1,No,0,110050758970,7500=Public Notice; 8000=Revised Total Coliform Rule,11/26/2018,1,No,,04/07/2015,1
07,No Violation,,11/22/2011,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1212952,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,04/27/2018,TNCWS,Benton,,0,10,MO,08/23/2018,GW,N,,,29015,,8,0,1,4,1,1,Transient non-community system,,,WARSAW,1,,,,25,,No,8000=Revised Total Coliform Rule,Private,,11/22/2011,P,MO1212952,Active,No,3 D SALES LLC,No,3,________VVVVU,GW,0,1,0,A,0,0,8,,No,1,No,0,110052983811,,08/23/2018,1,No,,04/27/2018,3
07,No Violation,,01/27/2006,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5231809,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,12/20/2017,NTNCWS,Lawrence,,0,21,MO,09/14/2018,GW,N,,,29109,,23,0,1,4,1,1,Non-Transient non-community system,12/20/2017,,,1,,,,50,,No,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,01/27/2006,P,MO5231809,Active,No,3V CORP,No,3,VV________VVU,GW,0,3,0,A,0,0,23,,No,1,No,0,110050682132,,09/14/2018,1,No,,07/20/2016,3
07,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3190771,Ground water,1038=Nitrate-Nitrite; 3100=Coliform (TCR),02/10/2016,CWS,Camden,,0,3,MO,03/28/2016,GW,N,,,29029,,10,5,1,6,1,1,Community water system,,,,1,,,,75,,Yes,1038=Nitrate-Nitrite,Private,,,P,MO3190771,Active,No,5 81 MOTEL & CAMPGROUND,No,1,VV______VVVVU,GW,0,1,0,A,0,1,5,,No,1,No,0,110047520795,1038=Nitrate-Nitrite,03/28/2016,1,No,,02/10/2016,1
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5283199,Ground water,,05/02/2016,TNCWS,Jasper,,0,,MO,,GW,N,,,29097,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,25,,No,,Private,,,P,MO5283199,Active,No,66 DRIVE IN THEATRE,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,MO5283199,,,1,No,,05/02/2016,1
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5292984,Ground water,3100=Coliform (TCR); 7500=Public Notice,06/28/2016,TNCWS,Camden,,0,6,MO,06/06/2014,GW,N,,,29029,,0,0,1,0,0,0,Transient non-community system,,,CLIMAX SPRINGS,1,,,,100,,No,,Private,,,P,MO5292984,Active,No,7 EXPRESS,No,2,____________U,GW,0,0,0,A,0,0,,,No,1,No,0,110052898619,,06/06/2014,1,No,,06/28/2016,2
07,In Violation,08/18/2000,08/18/2000,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO6048200,Ground water,0700=Groundwater Rule; 1038=Nitrate-Nitrite; 3100=Coliform (TCR); 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,06/08/2017,CWS,Jefferson,,1,32,MO,08/15/2018,GW,N,,,29099,,24,7,1,12,1,2,Community water system,,,,2,,,,80,,Yes,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,MO6048200,Active,No,A&H COUNTRY ESTATES,No,3,VVVVSSVVVVVVU,GW,0,6,2,A,0,1,17,,No,1,No,0,110013027429,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,08/15/2018,1,No,,06/08/2017,2
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5252577,Ground water,,04/16/2014,NTNCWS,Barry,,0,,MO,11/19/2008,GW,N,,,29009,,0,0,1,0,0,0,Non-Transient non-community system,,,,1,,,,25,,No,,Private,,,P,MO5252577,Active,No,ABC WATER ASSN,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110050620495,,11/19/2008,1,No,,04/16/2014,1
07,No Violation,,06/16/2011,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO6202688,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,06/02/2017,TNCWS,St. Louis,,0,19,MO,07/31/2018,GW,N,,,29189,,16,0,1,10,1,1,Transient non-community system,,,,1,,,,25,,No,8000=Revised Total Coliform Rule,Private,,06/16/2011,P,MO6202688,Active,No,ABERDEEN GOLF CLUB,No,2,VVVV_SSV_VVVU,GW,0,3,2,A,0,0,16,,No,1,No,0,110052767341,,07/31/2018,1,No,,06/02/2017,2
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1272844,Ground water,3100=Coliform (TCR),08/30/2017,TNCWS,Benton,,0,3,MO,07/08/2015,GW,N,,,29015,,5,0,1,0,0,0,Transient non-community system,,,COLE CAMP,1,,,,300,,No,,Private,,,P,MO1272844,Active,No,ABUNDANT LIFE CHRISTIAN CHURCH,No,1,____________U,GW,0,0,0,A,0,0,5,,No,1,No,0,110050600408,,07/08/2015,1,No,,08/30/2017,1
07,No Violation,,03/21/2005,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5048082,Ground water,5000=Lead and Copper Rule,12/11/2017,CWS,Greene,,0,,MO,07/16/2009,GW,N,,,29077,,1,0,1,0,0,0,Community water system,,,STAFFORD,2,,,,125,,No,,Private,,03/21/2005,P,MO5048082,Active,No,ACRES OF SHADE MHP,No,2,____________U,GW,0,0,0,A,0,0,1,,No,0,No,0,110013037258,,07/16/2009,1,No,,12/11/2017,2
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO2024000,Surface water purchased,,08/16/2017,CWS,Adair,,0,,MO,09/30/1998,SW,N,,,29001,,0,0,1,0,0,0,Community water system,08/16/2017,,KIRKSVILLE,2,,,,7500,,No,,Local government,,,L,MO2024000,Active,No,ADAIR COUNTY PWSD 1,No,2,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,110013060864,,09/30/1998,1,No,,04/09/2014,2
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO3191747,Ground water,,,TNCWS,Camden,,0,,MO,02/03/2006,GW,N,,,29029,,0,0,1,0,0,0,Transient non-community system,,,,,,,,57,,No,,Private,,,P,MO3191747,Active,No,ADAMS ALE RESORT,No,0,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110050773935,,02/03/2006,0,No,,10/18/2011,
07,No Violation,,11/27/2006,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO1010001,Surface water,2950=TTHM; 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,06/07/2018,CWS,Bates,,0,22,MO,05/11/2018,SW,N,,,29013,,38,0,1,6,1,1,Community water system,,,ADRIAN,2,,,,1635,,No,8000=Revised Total Coliform Rule,Local government,,11/27/2006,L,MO1010001,Active,No,ADRIAN PWS,No,2,VV______VVVVU,SW,0,3,0,A,0,0,38,,No,1,No,0,110042445565,,05/11/2018,1,No,,06/07/2018,2
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO4010002,Ground water,,10/20/2015,CWS,Stoddard,05/02/2008,0,,MO,,GW,N,,,29207,,0,0,1,0,0,0,Community water system,10/20/2015,,ADVANCE,1,,,,1347,,No,,Local government,,,L,MO4010002,Active,No,ADVANCE PWS,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110009874181,,05/02/2008,1,No,,02/14/2013,1
07,In Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5172802,Ground water,1038=Nitrate-Nitrite; 3014=E. COLI; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,06/30/2017,CWS,Cedar,,0,11,MO,01/17/2018,GW,N,,,29039,,15,6,1,10,1,2,Community water system,06/30/2017,,,2,,,,250,,Yes,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,MO5172802,Active,No,AGAPE BOARDING SCHOOL,No,4,__VVVVVVVVVVU,GW,0,2,0,A,0,1,9,,No,1,No,0,110048297918,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,01/17/2018,1,No,,06/28/2016,4
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5272441,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/17/2018,TNCWS,Greene,,0,3,MO,02/16/2017,GW,N,,,29077,,2,0,1,9,1,1,Transient non-community system,05/17/2018,,,1,,,,50,,No,8000=Revised Total Coliform Rule,Private,,,P,MO5272441,Active,No,AGAPE LIFE FELLOWSHIP,No,1,___VVVVVVVVVU,GW,0,1,0,A,0,0,2,,No,1,No,0,110050682258,,02/16/2017,1,No,,10/23/2013,1
07,In Violation,,11/09/2016,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5031627,Ground water,0700=Groundwater Rule; 1038=Nitrate-Nitrite; 3014=E. COLI; 7000=Consumer Confidence Rule; 7500=Public Notice,06/23/2015,TNCWS,Barry,,0,14,MO,07/24/2017,GW,N,,,29009,,22,5,1,12,1,1,Transient non-community system,,15,GOLDEN,1,,,,42,,Yes,1038=Nitrate-Nitrite,Private,,11/09/2016,P,MO5031627,Active,No,AIRPARK BEACH,No,1,VVVVVVVVVVVVU,GW,0,4,0,A,1,1,2,,No,1,No,0,110063365790,,07/24/2017,1,No,2,06/23/2015,1
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5031435,Ground water,,10/11/2017,CWS,Barry,,0,,MO,12/20/2004,GW,N,,,29009,,0,0,1,0,0,0,Community water system,10/11/2017,,,2,,,,50,,No,,Private,,,P,MO5031435,Active,No,AIRPORT HOMEOWNERS ASSN INC,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110020595765,,12/20/2004,1,No,,03/19/2015,2
07,No Violation,,01/11/2006,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MO5238288,Ground water,3100=Coliform (TCR),10/31/2018,TNCWS,Cedar,,0,,MO,02/26/2010,GW,N,,,29039,,0,0,1,0,0,0,Transient non-community system,,,,,,,,26,,No,,Private,,01/11/2006,P,MO5238288,Active,No,AIRPORT VILLAGE MHP,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110050780295,,02/26/2010,1,No,,10/31/2018,1
