EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0490001,Ground water purchased,,01/24/2018,CWS,Montgomery,,,,MS,07/16/2009,GW,N,,,28097,,0,0,1,0,0,0,Community water system,,,,2,,,,486,,No,,Public/Private,,,M,MS0490001,Active,No,51-55 WATER ASSOCIATION,No,2,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,,07/16/2009,1,No,,01/24/2018,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240280,Ground water,,,TNCWS,Harrison,,,,MS,,GW,N,,,28047,,0,0,1,0,0,0,Transient non-community system,,,GULFPORT,,,,,65,,No,,Private,,,P,MS0240280,Active,No,53 QUICK STOP,No,,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,0,No,,,
04,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0240226,Ground water,,09/02/2016,NTNCWS,Harrison,,,,MS,05/16/1997,GW,N,,,28047,,0,0,1,0,0,0,Non-Transient non-community system,,,,1,,,,45,,No,,Private,,,P,MS0240226,Active,No,A PLACE TO GROW,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,05/16/1997,1,No,,09/02/2016,1
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0610001,Ground water,,08/23/2017,CWS,Rankin,,,,MS,06/03/2013,GW,N,,,28121,,0,0,1,0,0,0,Community water system,,,,2,,,,1584,,No,,Public/Private,,,M,MS0610001,Active,No,ACL WATER ASSOCIATION #1,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,06/03/2013,1,No,,08/23/2017,2
04,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0610041,Ground water,,08/23/2017,CWS,Rankin,,,,MS,06/03/2013,GW,N,,,28121,,0,0,1,0,0,0,Community water system,,,,2,,,,1420,,No,,Public/Private,,,M,MS0610041,Active,No,ACL WATER ASSOCIATION #2,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,06/03/2013,1,No,,08/23/2017,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0260001,Ground water,3100=Coliform (TCR),01/23/2017,CWS,Holmes,,1,3,MS,01/12/2016,GW,N,,,28051,,5,0,1,0,0,0,Community water system,,,,1,,,,1560,,No,,Public/Private,,,M,MS0260001,Active,No,ACONA WATER ASSOCIATION #1,No,2,____________U,GW,0,0,0,A,0,0,5,,No,1,No,0,,01/12/2016,1,No,,01/23/2017,1
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0010009,Ground water,3100=Coliform (TCR),01/20/2016,CWS,Adams,,,,MS,04/29/2013,GW,N,,,28001,,0,0,1,0,0,0,Community water system,,,,1,,,,8532,,No,,Public/Private,,,M,MS0010009,Active,No,ADAMS CO W/A #2-SOUTH,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,04/29/2013,1,No,,01/20/2016,1
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0010015,Ground water,,01/20/2016,CWS,Adams,,,,MS,04/29/2013,GW,N,,,28001,,0,0,1,0,0,0,Community water system,,,,1,,,,8598,,No,,Public/Private,,,M,MS0010015,Active,No,ADAMS CO W/A #4-KAISER LAKE,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,04/29/2013,1,No,,01/20/2016,1
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0530001,Ground water,1038=Nitrate-Nitrite; 1040=Nitrate; 1041=Nitrite; 3100=Coliform (TCR); 5000=Lead and Copper Rule,12/18/2018,CWS,Oktibbeha,,,7,MS,03/01/2018,GW,N,,,28105,,11,1,1,8,1,1,Community water system,,,,2,,,,2064,,Yes,1038=Nitrate-Nitrite; 1040=Nitrate; 1041=Nitrite; 5000=Lead and Copper Rule,Public/Private,,,M,MS0530001,Active,No,ADATON W/A #1-JOSEY CREEK,No,2,____VVVVVVVVU,GW,0,2,0,A,0,1,10,,No,1,No,0,5000=Lead and Copper Rule,03/01/2018,1,No,,12/18/2018,2
04,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MS0440013,Ground water,,06/21/2016,CWS,Lowndes,,,,MS,10/15/2013,GW,N,,,28087,,0,0,1,0,0,0,Community water system,,,,1,,,,105,,No,,Private,,,P,MS0440013,Active,No,AIRBASE TRAILER PARK,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,10/15/2013,1,No,,06/21/2016,1
