EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
08,Serious Violator,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004255,Ground water,1038=Nitrate-Nitrite; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,04/05/2018,TNCWS,Silver Bow,,0,32,MT,03/15/2019,GW,N,,,30093,,30,11,1,12,1,2,Transient non-community system,,,BUTTE,1,,,,37,,Yes,1038=Nitrate-Nitrite; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,MT0004255,Active,No,2 BAR LAZY H CAMPGROUND,Yes,1,VVVVVVVVVVVSV,GW,0,3,1,A,0,1,19,,No,1,Yes,1,110050738804,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,03/15/2019,1,No,,04/05/2018,1
08,No Violation,,04/02/2013,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000720,Ground water,1038=Nitrate-Nitrite; 3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/05/2016,TNCWS,Blaine,,0,25,MT,02/15/2019,GW,N,,,30005,,19,0,1,6,1,2,Transient non-community system,,2,TURNER,1,,,,52,,No,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,Private,,04/02/2013,P,MT0000720,Active,No,241 GRILL & TAVERN,No,1,_V_VV____VVV_,GW,0,3,0,A,0,0,17,,No,1,No,0,110050529362,8000=Revised Total Coliform Rule,02/15/2019,1,No,,05/05/2016,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0000829,Ground water,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,02/13/2018,CWS,Missoula,,0,5,MT,10/19/2015,GW,N,,,30063,,2,0,1,3,1,0,Community water system,,,MISSOULA,2,,,,35,,No,,Private,,,P,MT0000829,Active,No,2727 WEST CENTRAL DUPLEXES,No,2,VVV__________,GW,0,1,0,A,0,0,2,,No,1,No,0,110012962703,,10/19/2015,1,No,,02/13/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001711,Surface water purchased,,08/18/2015,TNCWS,Yellowstone,,0,,MT,04/15/2008,SW,N,,,30111,,0,0,1,0,0,0,Transient non-community system,,,ACTON,1,,,,50,,No,,Private,,,P,MT0001711,Active,No,3 NORTH BAR AND GRILL,No,1,_____________,SWP,0,0,0,A,0,0,,,No,0,No,0,110052960881,,04/15/2008,1,No,,08/18/2015,1
08,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001291,Groundwater under influence of surface water,0200=Surface Water Treatment Rule; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,10/17/2018,TNCWS,Gallatin,,0,10,MT,08/03/2017,SW,N,,,30031,,25,5,1,10,1,1,Transient non-community system,,,GALLATIN GATEWAY,1,,,,215,,No,0200=Surface Water Treatment Rule,Private,,,P,MT0001291,Active,Yes,320 RANCH,No,1,_V__VVVSSVVVV,GU,0,2,2,A,0,1,20,,No,1,No,0,110050539360,0200=Surface Water Treatment Rule,08/03/2017,1,No,,10/17/2018,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0003988,Ground water,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,07/13/2017,TNCWS,Park,,0,14,MT,01/15/2019,GW,N,,,30067,,11,0,1,10,1,1,Transient non-community system,,,EMIGRANT,1,,,,210,,No,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,MT0003988,Active,No,7 POINT RANCH - UNAPPROVED,No,1,_VVVVVVVV__VV,GW,0,2,0,A,0,0,11,,No,1,No,0,110050661048,8000=Revised Total Coliform Rule,01/15/2019,1,No,,07/13/2017,1
08,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004383,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,07/19/2018,TNCWS,Lewis and Clark,,0,31,MT,01/19/2017,GW,N,,,30049,,18,0,1,6,1,0,Transient non-community system,,,WOLF CREEK,1,,,,108,,No,8000=Revised Total Coliform Rule,Private,,,P,MT0004383,Active,No,7 R GUEST RANCH,No,1,VVVVVV_______,GW,0,3,0,A,0,0,18,,No,1,No,0,110050628727,,01/19/2017,1,No,,07/19/2018,1
08,No Violation,,01/07/2010,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0004650,Ground water,8000=Revised Total Coliform Rule,05/06/2014,TNCWS,Ravalli,,0,2,MT,12/20/2016,GW,N,,,30081,,1,0,1,4,1,0,Transient non-community system,,,HAMILTON,1,,,,88,,No,,Private,,01/07/2010,P,MT0004650,Active,No,7TH DAY ADVENTIST/CHRISTIAN SCHOOL,No,1,_VVVV________,GW,0,1,0,A,0,0,1,,No,1,No,0,110050692620,,12/20/2016,1,No,,05/06/2014,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0003832,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/10/2018,TNCWS,Big Horn,,0,8,MT,06/15/2018,GW,N,,,30003,,7,0,1,3,1,0,Transient non-community system,,,GARRYOWEN,1,,,,102,,No,8000=Revised Total Coliform Rule,Private,,,P,MT0003832,Active,No,7TH RANCH RV CAMP,No,1,_VV______V___,GW,0,2,0,A,0,0,7,,No,1,No,0,110053031562,,06/15/2018,1,No,,05/10/2018,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=MT0001419,Ground water,,10/26/2016,TNCWS,Judith Basin,,0,,MT,04/16/2012,GW,N,,,30045,,0,0,1,0,0,0,Transient non-community system,,,STANFORD,1,,,,27,,No,,Private,,,P,MT0001419,Active,No,87 CASINO BAR AND GRILL  THE,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110050547253,,04/16/2012,1,No,,10/26/2016,1
