EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0150419,Ground water,,05/24/2018,TNCWS,Jackson,,0,,NC,06/11/2010,GW,N,,,37099,,0,0,1,0,0,0,Transient non-community system,,,CASHIERS,2,,,,75,,No,,Private,,,P,NC0150419,Active,No," 2MAC, LLC BUILDING ",No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110052748906,,06/11/2010,1,No,,05/24/2018,2
04,In Violation,,02/05/2019,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0197555,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,05/12/2017,TNCWS,Wilkes,,0,12,NC,02/05/2019,GW,N,,,37193,,6,1,1,6,1,1,Transient non-community system,,4,UNION GROVE,1,,1,,25,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,02/05/2019,P,NC0197555,Active,No,115 GAS AND GRILL,No,3,VV____VV___VV,GW,0,2,0,A,1,1,1,,Yes,1,No,0,110051042251,7500=Public Notice,02/05/2019,1,Yes,8,05/12/2017,3
04,In Violation,,01/24/2019,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0424697,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,12/12/2018,TNCWS,Columbus,,0,10,NC,01/24/2019,GW,N,,,37047,,9,5,1,7,1,1,Transient non-community system,,3,WHITEVILLE,2,,5,,50,,Yes,1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,01/24/2019,P,NC0424697,Active,No,1ST ST PAUL`S BAPT CHURCH,No,3,___VV___VVVVV,GW,0,3,0,A,1,1,1,,No,1,No,0,110018737991,1040=Nitrate,01/24/2019,1,No,6,12/12/2018,3
04,In Violation,,08/10/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0326955,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,01/16/2019,TNCWS,Cumberland,,2,14,NC,07/18/2018,GW,N,,,37051,,15,1,1,12,1,1,Transient non-community system,,14,FAYETTEVILLE,3,,1,,50,,No,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,08/10/2018,P,NC0326955,Active,No,210 MINI MART,No,8,VVVVVVVVVVVVV,GW,0,4,0,A,1,1,,,Yes,1,No,0,110051080423,7500=Public Notice,07/18/2018,1,Yes,7,01/16/2019,6
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC7065068,Ground water,,08/16/2018,TNCWS,New Hanover,,1,,NC,,GW,N,,,37129,,0,0,1,0,0,0,Transient non-community system,,,WILMINGTON,2,,,,50,,No,,Private,,,P,NC7065068,Active,No,24 FIT,No,7,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,NC7065068,,,1,No,,08/16/2018,6
04,In Violation,,01/31/2019,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC3086028,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,06/29/2018,TNCWS,Surry,,0,32,NC,02/19/2019,GW,N,,,37171,,11,1,1,12,1,3,Transient non-community system,,9,DOBSON,1,,1,,25,,Yes,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,01/31/2019,P,NC3086028,Active,No,268 FOOD MART INC,No,4,VVVVVVVVVVVVV,GW,0,3,0,A,1,1,1,,No,1,No,0,110050857195,1040=Nitrate; 8000=Revised Total Coliform Rule,02/19/2019,1,No,15,06/29/2018,4
04,In Violation,,01/24/2019,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC3017002,Ground water,1041=Nitrite,06/12/2018,TNCWS,Caswell,,0,2,NC,01/24/2019,GW,N,,,37033,,5,5,1,5,1,1,Transient non-community system,,,BURLINGTON,2,,5,,25,,Yes,1041=Nitrite,Private,,01/24/2019,P,NC3017002,Active,No,3 POINTS GROCERY & GRILL,No,5,________VVVVV,GW,0,1,0,A,1,1,,,No,1,No,0,110018740031,1041=Nitrite,01/24/2019,1,No,1,06/12/2018,5
04,In Violation,,04/18/2017,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0217420,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice,04/05/2017,TNCWS,Caswell,,0,24,NC,04/18/2017,GW,N,,,37033,,33,1,1,10,1,1,Transient non-community system,,27,PROSPECT HILL,1,,1,,25,,No,7500=Public Notice,Private,,04/18/2017,P,NC0217420,Active,No,3 POINTS GROCERY & GRILL  NO 2,No,4,V___VVVVVVVVV,GW,0,3,0,A,1,1,5,,Yes,1,No,0,110050800969,7500=Public Notice,04/18/2017,1,Yes,13,04/05/2017,4
04,In Violation,,02/05/2019,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0279766,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,01/17/2019,TNCWS,Rockingham,,0,14,NC,02/11/2019,GW,N,,,37157,,6,1,1,6,1,1,Transient non-community system,,5,REIDSVILLE,3,,1,,25,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,02/05/2019,P,NC0279766,Active,No,3 SISTERS CAFE,No,4,VV____VV___VV,GW,0,2,0,A,1,1,,,Yes,1,No,0,110051056735,7500=Public Notice,02/11/2019,1,Yes,9,01/17/2019,4
04,In Violation,,07/08/2016,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NC0347102,Ground water,0999=Chlorine; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,10/25/2017,CWS,Hoke,,2,18,NC,07/01/2017,GW,N,,,37093,,11,2,1,12,1,2,Community water system,,9,RAEFORD,2,,2,,90,,Yes,0999=Chlorine; 5000=Lead and Copper Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,07/08/2016,P,NC0347102,Active,No,401 MOBILE HOME PARK,No,13,VVVVVVVVVVVVV,GW,0,4,0,A,1,1,,,Yes,1,No,0,110012864766,5000=Lead and Copper Rule; 7500=Public Notice,07/01/2017,1,Yes,10,10/25/2017,11
