EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5311738,Surface water purchased,,09/20/2018,NTNCWS,Williams,,0,,ND,,SW,N,,,38105,,0,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,50,,No,,Private,,,P,ND5311738,Active,No,13 MILE CENTER,No,2,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,110063345036,,,1,No,,09/20/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0511551,Ground water,,06/07/2017,TNCWS,Bottineau,,0,,ND,08/13/2012,GW,N,,,38009,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,150,,No,,Private,,,P,ND0511551,Active,No,A-FRAME BAR & GRILL,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110050707972,,08/13/2012,1,No,,06/07/2017,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3900001,Ground water,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,09/12/2016,CWS,Richland,,0,1,ND,09/12/2016,GW,N,,,38077,,8,0,1,4,1,0,Community water system,,,ABERCROMBIE,1,,,,263,,No,,Local government,,,L,ND3900001,Active,No,ABERCROMBIE CITY OF,No,1,SSSV________U,GW,0,2,3,A,0,0,8,,No,1,No,0,110012904777,,09/12/2016,1,No,,09/12/2016,1
08,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND1801056,Ground water,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,07/18/2018,CWS,Grand Forks,,0,,ND,08/21/1991,GW,N,,,38035,,2,1,1,12,1,1,Community water system,,,,2,,,,3438,,Yes,5000=Lead and Copper Rule,Private,,,P,ND1801056,Active,No,AGASSIZ WATER USERS DISTRICT,No,2,VVVVVVVVVVVVU,GW,0,1,0,A,0,1,1,,No,0,No,0,110012903714,5000=Lead and Copper Rule,08/21/1991,1,No,,07/18/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2700006,Ground water,0999=Chlorine,10/25/2018,CWS,McKenzie,,0,3,ND,05/06/2015,GW,N,,,38053,,1,0,1,0,0,0,Community water system,,,ALEXANDER,2,,,,1335,,No,,Local government,,,L,ND2700006,Active,No,ALEXANDER CITY OF,No,4,____________U,GW,0,0,0,A,0,0,1,,No,1,No,0,110012903974,,05/06/2015,1,No,,10/25/2018,4
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711221,Ground water,3100=Coliform (TCR),10/25/2018,TNCWS,McKenzie,,0,3,ND,05/04/2016,GW,N,,,38053,,1,0,1,3,1,0,Transient non-community system,,,ALEXANDER,2,,,,25,,No,3100=Coliform (TCR),Local government,,,L,ND2711221,Active,No,ALEXANDER WATER SPRING,No,3,VVV_________U,GW,0,1,0,A,0,0,1,,No,1,No,0,110011043735,,05/04/2016,1,No,,10/25/2018,3
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0501057,Ground water,,06/20/2018,CWS,Bottineau,,0,,ND,09/30/1983,GW,N,,,38009,,0,0,1,0,0,0,Community water system,,,,3,,,1,890,,No,,Private,,,P,ND0501057,Active,No,ALL SEASONS WD-SYSTEM I,No,3,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110013271468,,09/30/1983,1,No,,06/20/2018,3
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0501127,Ground water purchased,,06/20/2018,CWS,Bottineau,,0,,ND,12/15/2011,GW,N,,,38009,,0,0,1,0,0,0,Community water system,,,,3,,,,790,,No,,Private,,,P,ND0501127,Active,No,ALL SEASONS WD-SYSTEM III,No,3,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,110012907694,,12/15/2011,1,No,,06/20/2018,3
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND4001153,Ground water,,06/20/2018,CWS,Rolette,,0,,ND,,GW,N,,,38079,,0,0,1,0,0,0,Community water system,,,,3,,,,670,,No,,Private,,,P,ND4001153,Active,No,ALL SEASONS WD-SYSTEM IV,No,3,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110063034372,,,1,No,,06/20/2018,3
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3501476,Ground water purchased,,08/07/2018,CWS,Pierce,,0,,ND,,GW,N,,,38069,,0,0,1,0,0,0,Community water system,,,,3,,,,1075,,No,,Private,,,P,ND3501476,Active,No,ALL SEASONS WD-SYSTEM V,No,3,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,110021039730,,,1,No,,08/07/2018,3
08,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND5311699,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,07/20/2016,TNCWS,Williams,,0,18,ND,04/26/2017,GW,N,,,38105,,15,1,1,5,1,1,Transient non-community system,,,,1,,,,70,,Yes,8000=Revised Total Coliform Rule,Private,,,P,ND5311699,Active,No,ALLSTATE PETERBILT,No,1,__VVVV_____VU,GW,0,1,0,A,0,1,14,,No,1,No,0,110063359342,8000=Revised Total Coliform Rule,04/26/2017,1,No,,07/20/2016,1
08,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3000012,Surface water purchased,1006=Chloramine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,09/19/2018,CWS,Morton,,0,26,ND,04/23/2017,SW,N,,,38059,,12,2,1,12,1,2,Community water system,,,ALMONT,2,,,,122,,Yes,1006=Chloramine; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,Local government,,,L,ND3000012,Active,No,ALMONT CITY OF,No,2,VVVVVVVVVVVVU,SWP,0,5,0,A,0,1,10,,Yes,1,No,0,110012904223,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,04/23/2017,1,No,,09/19/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2711711,Ground water,0999=Chlorine; 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule,05/03/2017,TNCWS,McKenzie,,0,6,ND,03/05/2018,GW,N,,,38053,,3,0,1,5,1,0,Transient non-community system,,,,2,,,,50,,No,8000=Revised Total Coliform Rule,Private,,,P,ND2711711,Active,No,AMBER HILLS LODGE,No,2,_____VVVVV__U,GW,0,1,0,A,0,0,3,,No,1,No,0,110063343840,,03/05/2018,1,No,,05/03/2017,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND1211226,Ground water,3100=Coliform (TCR),08/29/2018,TNCWS,Divide,,0,3,ND,03/28/2016,GW,N,,,38023,,5,0,1,3,1,0,Transient non-community system,,,AMBROSE,2,,,,75,,No,3100=Coliform (TCR),Local government,,,L,ND1211226,Active,No,AMBROSE COMMUNITY WELL,No,2,VVV_________U,GW,0,1,0,A,0,0,5,,No,1,No,0,110050875362,,03/28/2016,1,No,,08/29/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0900017,Ground water purchased,3100=Coliform (TCR),05/29/2018,CWS,Cass,,0,3,ND,06/24/2015,GW,N,,,38017,,1,0,1,0,0,0,Community water system,,,AMENIA,2,,,,94,,No,,Local government,,,L,ND0900017,Active,No,AMENIA CITY OF,No,2,____________U,GWP,0,0,0,A,0,0,1,,No,1,No,0,110012903135,,06/24/2015,1,No,,05/29/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND3200023,Ground water purchased,,05/24/2016,CWS,Nelson,,0,,ND,12/07/2001,GW,N,,,38063,,0,0,1,0,0,0,Community water system,,,ANETA,2,,,,222,,No,,Local government,,,L,ND3200023,Active,No,ANETA CITY OF,No,2,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,110022357876,,12/07/2001,1,No,,05/24/2016,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0800648,Purchased ground water under influence of surface water source,,08/24/2018,CWS,Burleigh,,0,,ND,05/17/2011,SW,N,,,38015,,0,0,1,0,0,0,Community water system,,,,2,,,,200,,No,,Private,,,P,ND0800648,Active,No,APPLE VALLEY COOP,No,2,____________U,GUP,0,0,0,A,0,0,,,No,0,No,0,110013271636,,05/17/2011,1,No,,08/24/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0900030,Ground water purchased,,05/29/2018,CWS,Cass,,0,,ND,09/21/1997,GW,N,,,38017,,0,0,1,0,0,0,Community water system,,,ARGUSVILLE,2,,,,475,,No,,Local government,,,L,ND0900030,Active,No,ARGUSVILLE CITY OF,No,2,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,110013271725,,09/21/1997,1,No,,05/29/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2710034,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,06/20/2017,TNCWS,McKenzie,,0,15,ND,09/19/2018,GW,N,,,38053,,9,0,1,10,1,0,Transient non-community system,,,ARNEGARD,2,,,,25,,No,8000=Revised Total Coliform Rule,Local government,,,L,ND2710034,Active,No,ARNEGARD CITY PARK,No,2,VVVVVVVV_VV_U,GW,0,2,0,A,0,0,9,,No,1,No,0,110050888919,,09/19/2018,1,No,,06/20/2017,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND2701606,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,09/12/2016,CWS,McKenzie,,1,18,ND,03/01/2017,GW,N,,,38053,,10,0,1,9,1,0,Community water system,,,,1,,,,32,,No,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,ND2701606,Active,No,ARNEGARD DIAMOND ESTATES,No,2,VVVVVVVVV___U,GW,0,3,0,A,0,0,10,,No,1,No,0,110048638738,,03/01/2017,1,No,,09/12/2016,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND0900035,Ground water purchased,0999=Chlorine; 3100=Coliform (TCR),05/29/2018,CWS,Cass,,0,6,ND,09/05/2014,GW,N,,,38017,,2,0,1,0,0,0,Community water system,,,ARTHUR,2,,,,337,,No,,Local government,,,L,ND0900035,Active,No,ARTHUR CITY OF,No,2,____________U,GWP,0,0,0,A,0,0,2,,No,1,No,0,110013271743,,09/05/2014,1,No,,05/29/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=ND1800036,Ground water purchased,,09/26/2017,CWS,Grand Forks,,0,,ND,07/15/1991,GW,N,,,38035,,0,0,1,0,0,0,Community water system,,,ARVILLA,2,,,,180,,No,,Private,,,P,ND1800036,Active,No,ARVILLA WATER USERS ASSOCIATION,No,2,____________U,GWP,0,0,0,A,0,0,,,No,0,No,0,110013270717,,07/15/1991,1,No,,09/26/2017,2
