EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
07,No Violation,,12/21/2015,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120574,Ground water,3100=Coliform (TCR),11/16/2017,CWS,Washington,,0,12,NE,01/07/2016,GW,N,,,31177,,20,0,1,3,1,0,Community water system,,20,BLAIR,2,,,,60,,No,,Private,,12/21/2015,P,NE3120574,Active,No,133 ESTATES,No,9,VVV_________U,GW,0,1,0,A,1,0,,,No,1,No,0,110013253326,,01/07/2016,1,No,1,11/16/2017,9
07,No Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120018,Ground water,,03/01/2018,CWS,Buffalo,,0,,NE,01/27/1999,GW,N,,,31019,,0,0,1,0,0,0,Community water system,,,KEARNEY,2,,,,90,,No,,Private,,,P,NE3120018,Active,No,1733 ESTATES ASSOCIATES,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110013254664,,01/27/1999,1,No,,03/01/2018,2
07,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150075,Ground water,1038=Nitrate-Nitrite; 3100=Coliform (TCR),04/24/2017,TNCWS,Butler,,0,2,NE,12/31/2018,GW,N,,,31023,,5,5,1,9,1,1,Transient non-community system,,,COLUMBUS,1,,,,300,,Yes,1038=Nitrate-Nitrite,Private,,,P,NE3150075,Active,No,7 MILE MINI MART,No,4,VVVVV___VVVVU,GW,0,2,0,A,0,1,,,No,1,No,0,110050851208,1038=Nitrate-Nitrite,12/31/2018,1,No,,04/24/2017,4
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3102305,Ground water,,04/19/2016,CWS,Butler,,0,,NE,11/12/1998,GW,N,,,31023,,0,0,1,0,0,0,Community water system,,,ABIE,1,,,,70,,No,,Local government,,,L,NE3102305,Active,No,"ABIE, VILLAGE OF",No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110013264305,,11/12/1998,1,No,,04/19/2016,1
07,No Violation,,11/28/2000,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120859,Ground water,,07/19/2016,TNCWS,Keith,,0,,NE,08/09/2004,GW,N,,,31101,,0,0,1,0,0,0,Transient non-community system,,,ARTHUR,1,,,,25,,No,,Private,,11/28/2000,P,NE3120859,Active,No,ACKLEY VALLEY WATER SYSTEM,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110050860948,,08/09/2004,1,No,,07/19/2016,1
07,No Violation,,05/20/2013,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150004,Ground water,,05/11/2017,NTNCWS,Adams,,0,,NE,05/15/2013,GW,N,,,31001,,0,0,1,0,0,0,Non-Transient non-community system,,,HASTINGS,1,,,,588,,No,,Local government,,05/20/2013,L,NE3150004,Active,No,ADAMS CO DIST 90,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110050919342,,05/15/2013,1,No,,05/11/2017,2
07,In Violation,,,8,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3121003,Ground water,3100=Coliform (TCR),02/28/2017,NTNCWS,Custer,,0,6,NE,10/31/2014,GW,N,,,31041,,10,0,1,12,1,1,Non-Transient non-community system,,,BROKEN BOW,2,,,,130,,No,,Private,,,P,NE3121003,Active,Yes,ADAMS LAND & CATTLE LLC-SOUTH LOT,No,4,VVVVVVVVVVVVU,GW,0,1,0,A,0,1,10,,No,1,No,0,110050918897,,10/31/2014,1,No,,02/28/2017,4
07,No Violation,,03/24/1998,10,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3106712,Ground water,,12/04/2018,CWS,Gage,,1,,NE,11/10/2008,GW,N,,,31067,,0,0,1,0,0,0,Community water system,,,ADAMS,2,,,1,572,,No,,Local government,,03/24/1998,L,NE3106712,Active,No,"ADAMS, VILLAGE OF",No,11,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110013261095,,11/10/2008,1,No,,12/04/2018,10
07,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3150534,Ground water,,01/19/2018,TNCWS,Platte,,0,,NE,08/30/2004,GW,N,,,31141,,0,0,1,0,0,0,Transient non-community system,,,COLUMBUS,2,,,,34,,No,,Private,,,P,NE3150534,Active,No,ADM ANIMAL NUTRITION,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110000596882,,08/30/2004,1,No,,01/19/2018,2
07,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NE3120843,Ground water,3100=Coliform (TCR),11/18/2015,TNCWS,Keith,,0,,NE,07/24/2012,GW,N,,,31101,,0,0,1,6,1,0,Transient non-community system,,,LEMOYNE,1,,,,25,,No,,Private,,,P,NE3120843,Active,No,ADMIRALS COVE,No,2,VVVVVV______U,GW,0,1,0,A,0,0,,,No,0,No,0,110050931346,,07/24/2012,1,No,,11/18/2015,2
