EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196020,Ground water,,03/07/2016,NTNCWS,Hillsborough,,0,,NH,01/31/2011,GW,N,,,33011,,0,0,1,0,0,0,Non-Transient non-community system,,,BEDFORD,1,,,,75,,No,,Private,,,P,NH0196020,Active,No,101 PLAZA,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110017740603,,01/31/2011,1,No,,03/07/2016,1
01,In Violation,,11/13/2008,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1698080,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,10/10/2014,TNCWS,Belknap,,0,3,NH,06/09/2014,GW,N,,,33001,,2,2,1,12,1,1,Transient non-community system,,,NEW HAMPTON,1,,,,350,,Yes,8000=Revised Total Coliform Rule,Private,,11/13/2008,P,NH1698080,Active,No,104 DINER,No,2,_VVVVVVVVVVVV,GW,0,1,0,A,0,1,,,No,1,No,0,110044780270,8000=Revised Total Coliform Rule,06/09/2014,1,No,,10/10/2014,2
01,In Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1758050,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,09/24/2015,TNCWS,Rockingham,,0,8,NH,01/09/2015,GW,N,,,33015,,10,2,1,10,1,1,Transient non-community system,,,NEWTON,1,,,,48,,Yes,8000=Revised Total Coliform Rule,Private,,,P,NH1758050,Active,No,108 EXPRESS MINI MART,No,1,___VVVVVVVVVV,GW,0,1,0,A,0,1,8,,No,1,No,0,110051100599,8000=Revised Total Coliform Rule,01/09/2015,1,No,,09/24/2015,1
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1566040,Ground water,,02/08/2017,NTNCWS,Hillsborough,,0,,NH,,GW,N,,,33011,,0,0,1,0,0,0,Non-Transient non-community system,,,MILFORD,2,,,,32,,No,,Private,,,P,NH1566040,Active,No,115/119 EMERSON RD,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110063347775,,,1,No,,02/08/2017,2
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH0196330,Ground water,,11/13/2018,NTNCWS,Hillsborough,,0,,NH,10/31/2012,GW,N,,,33011,,0,0,1,0,0,0,Non-Transient non-community system,,,BEDFORD,2,,,,50,,No,,Private,,,P,NH0196330,Active,No,124 BEDFORD CENTER RD,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110046549829,,10/31/2012,1,No,,11/13/2018,2
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1936070,Ground water,,11/21/2016,NTNCWS,Rockingham,,0,,NH,09/13/1994,GW,N,,,33015,,0,0,1,0,0,0,Non-Transient non-community system,,,PLAISTOW,1,,,,135,,No,,Private,,,P,NH1936070,Active,No,144 MAIN STREET,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110050890167,,09/13/1994,1,No,,11/21/2016,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2236190,Ground water,,12/17/2018,NTNCWS,Rockingham,,0,,NH,,GW,N,,,33015,,0,0,1,0,0,0,Non-Transient non-community system,,,STRATHAM,1,,,,25,,No,,Private,,,P,NH2236190,Active,No,149/151 PORTSMOUTH AVE,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,NH2236190,,,1,No,,12/17/2018,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1048120,Ground water,,08/22/2018,TNCWS,Rockingham,,0,,NH,07/22/2013,GW,N,,,33015,,0,0,1,0,0,0,Transient non-community system,,,HAMPTON FALLS,1,,,,30,,No,,Private,,,P,NH1048120,Active,No,153 LAFAYETTE RD WATER SYSTEM,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110063374110,,07/22/2013,1,No,,08/22/2018,2
01,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH2342010,Ground water,"4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium",11/29/2018,CWS,Grafton,,2,28,NH,08/10/2018,GW,N,,,33009,,20,20,1,6,1,1,Community water system,,,THORNTON,2,,,,110,,No,"4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium",Private,,,P,NH2342010,Active,Yes,175 ESTATES,Yes,4,_______VVSSSV,GW,0,1,3,A,0,1,,,No,1,No,1,110017737564,,08/10/2018,1,No,,11/29/2018,2
01,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NH1176100,Ground water,,11/02/2016,NTNCWS,Hillsborough,,0,,NH,,GW,N,,,33011,,0,0,1,0,0,0,Non-Transient non-community system,,,HOLLIS,1,,,,75,,No,,Private,,,P,NH1176100,Active,No,18 CLINTON DR BLDG,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,NH1176100,,,1,No,,11/02/2016,1
