EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
02,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1414409,Ground water,,04/13/2017,NTNCWS,Morris,,0,,NJ,04/09/2008,GW,N,,,34027,,0,0,1,0,0,0,Non-Transient non-community system,04/13/2017,,JEFFERSON TWP.-1414,2,,,,199,,No,,Private,,,P,NJ1414409,Active,No,#45 SOUTH PLAZA PHASE #1,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110051212228,,04/09/2008,1,No,,10/03/2008,2
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1406326,Ground water,3100=Coliform (TCR),09/21/2018,NTNCWS,Morris,,0,3,NJ,02/22/2014,GW,N,,,34027,,0,0,1,0,0,0,Non-Transient non-community system,09/21/2018,,CHESTER BORO-1406,3,,,,65,,No,,Private,,,P,NJ1406326,Active,No,1 MILL RIDGE LANE,No,3,_____________,GW,0,0,0,A,0,0,,,No,1,No,0,110050970008,,02/22/2014,1,No,,,3
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1913324,Ground water,,08/07/2018,TNCWS,Sussex,,0,,NJ,,GW,N,,,34037,,0,0,1,0,0,0,Transient non-community system,08/07/2018,,LAFAYETTE TWP.-1913,2,,,,174,,No,,Private,,,P,NJ1913324,Active,No,10 MILL POND DRIVE LLC,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110063374058,,,1,No,,,2
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ2104342,Ground water,,06/22/2016,TNCWS,Warren,,0,,NJ,01/16/2013,GW,N,,,34041,,0,0,1,0,0,0,Transient non-community system,06/22/2016,,BLAIRSTOWN TWP.-2104,1,,,,29,,No,,Private,,,P,NJ2104342,Active,No,10-31 INC,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110049212641,,01/16/2013,1,No,,,1
02,In Violation,,11/09/1992,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1429302,Ground water,0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule,03/27/2018,NTNCWS,Morris,,0,6,NJ,01/18/2019,GW,N,,,34027,,4,1,1,4,1,2,Non-Transient non-community system,03/27/2018,,PARSIPPANY TROY-HILLS-1429,3,,,,470,,Yes,0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM,Private,,11/09/1992,P,NJ1429302,Active,No,"100 JEFFERSON PROPERTIES, LLC",No,3,________VV_VV,GW,0,3,0,A,0,1,3,,No,1,No,0,110049221711,0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM,01/18/2019,1,No,,11/14/2001,3
02,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1427404,Ground water,3014=E. COLI; 3100=Coliform (TCR),09/16/2015,TNCWS,Morris,,0,4,NJ,09/12/2018,GW,N,,,34027,,6,0,1,1,1,0,Transient non-community system,09/16/2015,,MOUNT OLIVE TWP.-1427,1,,,,80,,No,,Private,,,P,NJ1427404,Active,No,180 GOLDMINE ROAD COMPLEX,No,1,__________V__,GW,0,1,0,A,0,0,6,,No,1,No,0,110050982308,,09/12/2018,1,No,,,1
02,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1427405,Ground water,,08/15/2017,TNCWS,Morris,,0,,NJ,12/04/2013,GW,N,,,34027,,0,0,1,0,0,0,Transient non-community system,09/16/2015,,MOUNT OLIVE TWP.-1427,1,,,,89,,No,,Private,,,P,NJ1427405,Active,No,186 GOLDMINE ROAD COMPLEX,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110050982326,,12/04/2013,1,No,,08/15/2017,2
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1803305,Ground water,3100=Coliform (TCR),05/31/2017,TNCWS,Somerset,,0,1,NJ,01/13/2015,GW,N,,,34035,,1,0,1,0,0,0,Transient non-community system,05/31/2017,,BERNARDSVILLE BORO-1803,1,,,,62,,No,,Private,,,P,NJ1803305,Active,No,1ST PRESBYTERIAN CHURCH OF BERNARDSVILLE,No,1,_____________,GW,0,0,0,A,0,0,1,,No,1,No,0,110049350304,,01/13/2015,1,No,,,1
02,No Violation,,03/30/2016,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1431309,Ground water,3100=Coliform (TCR),10/09/2015,TNCWS,Morris,,0,4,NJ,10/14/2015,GW,N,,,34027,,1,0,1,0,0,0,Transient non-community system,10/09/2015,1,PEQUANNOCK TWP.-1431,1,,,,504,,No,,Private,,03/30/2016,P,NJ1431309,Active,No,23 PETROLEUM INC,No,1,_____________,GW,0,0,0,A,1,0,,,No,1,No,0,110051114833,,10/14/2015,1,No,1,07/19/2000,1
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NJ1106343,Ground water,1040=Nitrate,02/02/2017,TNCWS,Mercer,,0,1,NJ,07/12/2018,GW,N,,,34021,,5,0,1,1,1,0,Transient non-community system,02/02/2017,,HOPEWELL TWP.1106-,1,,,,35,,No,1040=Nitrate,Private,,,P,NJ1106343,Active,No,2490 PROFESSIONAL CENTER,No,1,_________V___,GW,0,1,0,A,0,0,5,,No,1,No,0,110051036829,,07/12/2018,1,No,,12/12/2001,1
