EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
06,In Violation,,09/14/2017,4,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3503701,Ground water,0700=Groundwater Rule; 5000=Lead and Copper Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,05/08/2018,NTNCWS,Bernalillo,,0,84,NM,01/16/2019,GW,N,,,35001,,35,1,1,12,1,2,Non-Transient non-community system,,16,ALBUQUERQUE,1,,,,25,,Yes,0700=Groundwater Rule; 8000=Revised Total Coliform Rule,Private,,09/14/2017,P,NM3503701,Active,No,ABC PRESCHOOL,No,1,VVVVSSVVVVVVV,GW,0,4,2,A,1,1,18,,No,1,No,0,110063343118,0700=Groundwater Rule; 8000=Revised Total Coliform Rule,01/16/2019,1,No,1,05/08/2018,1
06,In Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3591521,Ground water,0700=Groundwater Rule; 1038=Nitrate-Nitrite; 7500=Public Notice; 8000=Revised Total Coliform Rule,10/16/2014,TNCWS,Rio Arriba,,0,9,NM,02/22/2018,GW,N,,,35039,,7,1,1,4,1,1,Transient non-community system,,,ABIQUIU,1,,,,100,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,Federal government,,,F,NM3591521,Active,No,ABIQUIU DAM,No,1,__V_______VVV,GW,0,2,0,A,0,1,6,,Yes,1,No,0,110028023412,7500=Public Notice,02/22/2018,1,Yes,,10/16/2014,1
06,In Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3590121,Ground water,0700=Groundwater Rule; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 7500=Public Notice; 8000=Revised Total Coliform Rule,03/11/2015,NTNCWS,Rio Arriba,,0,37,NM,02/22/2018,GW,N,,,35039,,22,1,1,12,1,1,Non-Transient non-community system,,,ABIQUIU,1,,,,125,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,State government,,,S,NM3590121,Active,No,ABIQUIU ELEMENTARY SCHOOL,No,1,VVVVVVVSSSSVV,GW,0,4,4,A,0,1,21,,Yes,1,No,0,110028924644,7500=Public Notice,02/22/2018,1,Yes,,03/11/2015,1
06,Serious Violator,,,5,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3591821,Ground water,0700=Groundwater Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,06/20/2017,TNCWS,Rio Arriba,,0,44,NM,09/06/2018,GW,N,,,35039,,43,13,1,12,1,2,Transient non-community system,,,ABIQUIU,2,,,,191,,No,0700=Groundwater Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,,P,NM3591821,Active,Yes,ABIQUIU INN,Yes,2,VVVVVSSVVSSSV,GW,0,3,5,A,0,1,30,,Yes,1,No,1,110051118599,0700=Groundwater Rule; 7500=Public Notice,09/06/2018,1,Yes,,06/20/2017,2
06,Serious Violator,01/20/1999,06/24/2009,6,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3500221,Ground water,0700=Groundwater Rule; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,06/20/2017,CWS,Rio Arriba,06/20/2002,0,73,NM,08/20/2018,GW,N,,,35039,,50,17,1,12,1,3,Community water system,,,ABIQUIU,2,,,,420,,No,0700=Groundwater Rule; 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,Local government,,06/24/2009,L,NM3500221,Active,Yes,ABIQUIU MDWCA,Yes,2,VVVSSSSSSSSSV,GW,0,6,9,A,0,1,33,,Yes,1,No,1,110010698263,0700=Groundwater Rule; 7000=Consumer Confidence Rule; 7500=Public Notice,08/20/2018,1,Yes,,06/20/2017,2
06,In Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3501030,Ground water,0700=Groundwater Rule; 1038=Nitrate-Nitrite; 7500=Public Notice; 8000=Revised Total Coliform Rule,07/25/2017,TNCWS,Torrance,,0,16,NM,08/20/2018,GW,N,,,35057,,20,2,1,12,1,1,Transient non-community system,,,MOUNTAINAIR,1,,,,30,,No,1038=Nitrate-Nitrite; 7500=Public Notice; 8000=Revised Total Coliform Rule,Federal government,,,F,NM3501030,Active,No,ABO RUINS SALINAS PUEBLO MISSIONS,No,1,VVVVVVVVSVVVV,GW,0,4,1,A,0,1,18,,Yes,1,No,0,110051151882,7500=Public Notice,08/20/2018,1,Yes,,07/25/2017,1
06,In Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NM3502001,Ground water,7500=Public Notice; 8000=Revised Total Coliform Rule,07/16/2014,TNCWS,Bernalillo,,0,5,NM,04/18/2017,GW,N,,,35001,,3,1,1,6,1,1,Transient non-community system,,,ALBUQUERQUE,1,,,,400,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,,P,NM3502001,Active,No,ABUELITA'S,No,1,_VV______VVVV,GW,0,2,0,A,0,1,2,,Yes,1,No,0,110049263694,7500=Public Notice,04/18/2017,1,Yes,,07/16/2014,1
06,Serious Violator,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063501001,Ground water,"0700=Groundwater Rule; 1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1038=Nitrate-Nitrite; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 8000=Revised Total Coliform Rule",10/11/2016,CWS,,10/25/2018,0,9,NM,,GW,Y,,,35,10/11/2016,25,20,1,12,1,7,Community water system,,,,1,,,,2374,,Yes,"0700=Groundwater Rule; 1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1038=Nitrate-Nitrite; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 8000=Revised Total Coliform Rule",Native American,,,N,063501001,Active,Yes,ACOMA MAIN,Yes,1,VVVVVVVVVSSSU,GW,1,7,3,A,0,1,5,,No,1,No,1,110012917175,"0700=Groundwater Rule; 1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1038=Nitrate-Nitrite; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 4000=Gross Alpha, Excl. Radon and U",10/25/2018,1,No,,,1
06,In Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063504107,Ground water,0700=Groundwater Rule,11/21/2016,NTNCWS,,05/02/2018,0,3,NM,,GW,Y,,,35,11/21/2016,5,5,1,5,1,1,Non-Transient non-community system,,,,1,,,,1950,,No,0700=Groundwater Rule,Native American,,,N,063504107,Active,Yes,ACOMA SKY CITY CASINO,No,1,_______VVVVVU,GW,1,1,0,A,0,1,,,No,1,No,0,110050922962,0700=Groundwater Rule,05/02/2018,1,No,,,1
06,In Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=063503107,Ground water,0700=Groundwater Rule,11/21/2016,NTNCWS,,05/01/2018,0,4,NM,,GW,Y,,,35,11/21/2016,5,5,1,5,1,1,Non-Transient non-community system,,,,1,,,,1612,,No,0700=Groundwater Rule,Native American,,,N,063503107,Active,Yes,ACOMA SKY CITY CULTURAL CENTER,No,1,_______VVVVVU,GW,1,1,0,A,0,1,,,No,1,No,0,110050922819,0700=Groundwater Rule,05/01/2018,1,No,,,1
