EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000735,Ground water,,10/20/2016,TNCWS,Washoe,,,,NV,07/24/2004,GW,N,,,32031,,0,0,1,0,0,0,Transient non-community system,10/20/2016,,,1,,,,30,,No,,Private,,,P,NV0000735,Active,No,4TH STREET BISTRO,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,07/24/2004,1,No,,,1
09,No Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0002563,Ground water,,08/01/2017,TNCWS,Lincoln,,,,NV,07/23/2012,GW,N,,,32017,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,26,,No,,Private,,,P,NV0002563,Active,No,A COWBOYS DREAM,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,07/23/2012,1,No,,08/01/2017,2
09,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000915,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,04/18/2016,TNCWS,Humboldt,,,11,NV,03/01/2019,GW,N,,,32013,,12,0,1,6,1,1,Transient non-community system,,,,1,,,,25,,No,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,NV0000915,Active,No,A1 FUEL STOP,No,1,VV_______VVVV,GW,0,2,0,A,0,0,12,,No,1,No,0,8000=Revised Total Coliform Rule,03/01/2019,1,No,,04/18/2016,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000703,Ground water,1040=Nitrate,02/09/2017,TNCWS,Washoe,,,2,NV,04/28/2016,GW,N,,,32031,,5,0,1,2,1,0,Transient non-community system,02/09/2017,,,1,,,,25,,No,,Private,,,P,NV0000703,Active,No,AIR BASE INN,No,3,VV___________,GW,0,1,0,A,0,0,5,,No,1,No,0,,04/28/2016,1,No,,04/20/2016,3
09,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000866,Ground water,,10/27/2016,TNCWS,Washoe,,,,NV,07/20/2006,GW,N,,,32031,,0,0,1,0,0,0,Transient non-community system,10/27/2016,,,1,,,,25,,No,,Private,,,P,NV0000866,Active,No,AIR SAILING INC GLIDERPORT,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,07/20/2006,1,No,,,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000005,Ground water,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1041=Nitrite; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 4006=Combined Uranium",10/18/2016,CWS,Lincoln,,,32,NV,04/26/2017,GW,N,,,32017,,30,0,1,11,1,0,Community water system,,,ALAMO,1,,,,900,,No,"1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1035=Mercury; 1036=Nickel; 1041=Nitrite; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total",Local government,,,L,NV0000005,Active,No,ALAMO SEWER AND WATER GID,No,1,VVVVVVVVVVV__,GW,0,4,0,A,0,0,30,,No,1,No,0,,04/26/2017,1,No,,10/18/2016,1
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0002190,Ground water,,05/09/2017,NTNCWS,Nye,,,,NV,09/30/1988,GW,N,,,32023,,0,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,200,,No,,Local government,,,L,NV0002190,Active,No,AMARGOSA ELEMENTARY SCHOOL,No,3,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,09/30/1988,1,No,,05/09/2017,3
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0000828,Ground water,,05/09/2017,TNCWS,Nye,,,,NV,11/23/2009,GW,N,,,32023,,0,0,1,0,0,0,Transient non-community system,,,,2,,,,25,,No,,Local government,,,L,NV0000828,Active,No,AMARGOSA PARK,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,11/23/2009,1,No,,05/09/2017,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0003061,Ground water,,05/09/2017,NTNCWS,Nye,,,,NV,06/25/2008,GW,N,,,32023,,0,0,1,0,0,0,Non-Transient non-community system,,,,2,,,,25,,No,,Local government,,,L,NV0003061,Active,No,AMARGOSA SENIOR CENTER,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,06/25/2008,1,No,,05/09/2017,2
09,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NV0005037,Ground water,,09/27/2018,NTNCWS,Nye,,,,NV,,GW,N,,,32023,,0,0,1,0,0,0,Non-Transient non-community system,,,AMARGOSA,2,,,,25,,No,,Local government,,,L,NV0005037,Active,No,AMARGOSA TOWN COMPLEX,No,4,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,09/27/2018,4
