EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5930117,Groundwater under influence of surface water,"2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2043=Aldicarb sulfoxide; 2044=Aldicarb sulfone; 2046=Carbofuran; 2047=Aldicarb; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2456=Total Haloacetic Acids (HAA5); 2946=ETHYLENE DIBROMIDE; 2950=TTHM; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3100=Coliform (TCR)",08/15/2018,NTNCWS,Westchester,,,7,NY,04/25/2016,SW,N,,,36119,,5,0,1,2,1,0,Non-Transient non-community system,08/15/2018,,NORTH CASTLE (T),5,,,,25,,No,3100=Coliform (TCR),Private,,,P,NY5930117,Active,No,1 - 3 NEW KING STREET,No,6,VV___________,GU,0,1,0,A,0,0,5,,No,1,No,0,,04/25/2016,1,No,,,6
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5930130,Ground water,5000=Lead and Copper Rule,02/06/2019,NTNCWS,Westchester,,,2,NY,02/07/2017,GW,N,,,36119,,1,0,1,12,1,1,Non-Transient non-community system,02/06/2019,,,6,,,,50,,No,5000=Lead and Copper Rule,Private,1,,P,NY5930130,Active,No,1 BYRAM BROOK PL.,No,6,VVVVVVVVVVVV_,GW,0,1,0,A,0,0,1,,No,1,No,0,5000=Lead and Copper Rule,02/07/2017,1,No,,,6
02,No Violation,,10/19/2001,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3922610,Ground water,3100=Coliform (TCR),09/20/2012,TNCWS,Putnam,,,2,NY,03/18/2015,GW,N,,,36079,,5,0,1,0,0,0,Transient non-community system,09/20/2012,,PATTERSON (T),,,,,25,,No,,Private,,10/19/2001,P,NY3922610,Active,No,1 FRONT STREET,No,,_____________,GW,0,0,0,A,0,0,5,,No,1,No,0,,03/18/2015,0,No,,10/26/2004,
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1330513,Ground water,,01/16/2019,NTNCWS,Dutchess,,,,NY,11/26/2013,GW,N,,,36027,,0,0,1,0,0,0,Non-Transient non-community system,01/16/2019,,EAST FISHKILL (T),3,,,,61,,No,,Private,,,P,NY1330513,Active,No,10 CORPORATE PARK,No,7,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,11/26/2013,1,No,,,7
02,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY5930066,Groundwater under influence of surface water,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3100=Coliform (TCR)",09/11/2018,NTNCWS,Westchester,,,12,NY,10/11/2018,SW,N,,,36119,,9,5,1,5,1,1,Non-Transient non-community system,09/11/2018,,NORTH CASTLE (T),5,,,,170,,Yes,1040=Nitrate; 3100=Coliform (TCR),Private,,,P,NY5930066,Active,No,10 NEW KING STREET ASSOCIATES,No,5,VV________VVV,GU,0,2,0,A,0,1,4,,No,1,No,0,,10/11/2018,1,No,,,5
02,No Violation,,12/10/2001,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY2230031,Ground water,,10/15/2018,TNCWS,Jefferson,,,,NY,12/10/2001,GW,N,,,36045,,0,0,1,0,0,0,Transient non-community system,10/15/2018,,ALEXANDRIA (T),5,,,,25,,No,,Private,,12/10/2001,P,NY2230031,Active,No,1000 ISLANDS BAIT STORE SERVICE STATION,No,6,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,12/10/2001,1,No,,05/29/2012,6
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY2213157,Ground water,,10/03/2018,TNCWS,Jefferson,,,1,NY,03/01/2019,GW,N,,,36045,,0,0,1,0,0,0,Transient non-community system,10/03/2018,,ORLEANS (T),6,,,,88,,No,,Private,,,P,NY2213157,Active,No,1000 ISLANDS CAMPGROUND,No,6,_____________,GW,0,0,0,A,0,0,,,No,1,No,0,,03/01/2019,1,No,,08/15/2012,6
02,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY1330752,Ground water,,04/16/2018,NTNCWS,Dutchess,,,,NY,,GW,N,,,36027,,0,0,1,0,0,0,Non-Transient non-community system,04/16/2018,,WAPPINGER (T),1,,,,25,,No,,Private,,,P,NY1330752,Active,No,1070-1072 ROUTE 9,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,1
02,No Violation,,05/07/2007,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3706696,Ground water,1040=Nitrate; 3100=Coliform (TCR),09/26/2018,TNCWS,Oswego,,,8,NY,03/18/2019,GW,N,,,36075,,7,0,1,1,1,0,Transient non-community system,09/26/2018,,RICHLAND (T),5,,,,165,,No,,Private,,05/07/2007,P,NY3706696,Active,No,"11 NORTH BAR & GRILL, LLC",No,5,V____________,GW,0,2,0,A,0,0,7,,No,1,No,0,,03/18/2019,1,No,,07/15/2003,5
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=NY3913003,Ground water,,,TNCWS,Putnam,,,6,NY,03/18/2015,GW,N,,,36079,,0,0,1,0,0,0,Transient non-community system,,,COLD SPRING (V),,,,,25,,No,,Private,,,P,NY3913003,Active,No,1122 ROUTE 9D LLC,No,,_____________,GW,0,0,0,A,0,0,,,No,1,No,0,,03/18/2015,0,No,,,
