EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH2859812,Ground water,3100=Coliform (TCR),05/22/2017,TNCWS,Geauga,,1,2,OH,01/23/2014,GW,N,,,39055,,0,0,1,11,1,0,Transient non-community system,,,,1,,,,60,,No,,Private,,,P,OH2859812,Active,No,14085 RAVENNA RD GPD,No,3,VVVVVVVVVVV_U,GW,0,1,0,A,0,0,,,No,1,No,0,110051453627,,01/23/2014,1,No,,05/22/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH1563012,Ground water,,02/10/2017,TNCWS,Columbiana,,0,,OH,02/09/2011,GW,N,,,39029,,0,0,1,0,0,0,Transient non-community system,04/27/2012,,,1,,,,90,,No,,Private,,,P,OH1563012,Active,No,1ST CHRISTIAN CHURCH OF KENSINGTON,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051413396,,02/09/2011,1,No,,02/10/2017,1
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH7855212,Ground water,3100=Coliform (TCR),10/19/2017,TNCWS,Trumbull,,0,4,OH,10/31/2014,GW,N,,,39155,,10,0,1,12,1,1,Transient non-community system,02/01/2012,,,1,,,,110,,No,,Private,,,P,OH7855212,Active,Yes,3 WAY CAFE,No,2,VVVVVVVVVVVVU,GW,0,1,0,A,0,1,10,,No,1,No,0,110051420663,,10/31/2014,1,No,,10/19/2017,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH5536412,Ground water,,01/23/2018,TNCWS,Miami,,0,,OH,07/27/2010,GW,N,,,39109,,0,0,1,0,0,0,Transient non-community system,04/07/2008,,,1,,,,80,,No,,Private,,,P,OH5536412,Active,No,36 SKATE CLUB,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110052470571,,07/27/2010,1,No,,01/23/2018,1
05,In Violation,,12/08/2011,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH7937812,Ground water,1040=Nitrate; 8000=Revised Total Coliform Rule,08/16/2016,TNCWS,Tuscarawas,,0,,OH,04/26/2010,GW,N,,,39157,,6,6,1,4,1,2,Transient non-community system,08/24/2011,,,1,,,,75,,Yes,1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,12/08/2011,P,OH7937812,Active,No,39 OUTPOST,No,1,________VVVVU,GW,0,2,0,A,0,1,,,No,0,No,0,110051531035,1040=Nitrate; 8000=Revised Total Coliform Rule,04/26/2010,1,No,,08/16/2016,1
05,Serious Violator,,12/27/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH2939612,Ground water,3014=E. COLI; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,10/09/2018,TNCWS,Greene,,0,28,OH,12/18/2018,GW,N,,,39057,,15,10,1,11,1,2,Transient non-community system,06/14/2011,3,,1,,1,,201,,Yes,3014=E. COLI; 8000=Revised Total Coliform Rule,Private,,12/27/2018,P,OH2939612,Active,Yes,"4-H CAMP CLIFTON, INC.",Yes,2,_VVVVVVVVVVSU,GW,0,3,1,A,1,1,2,,No,1,No,1,110051263850,3014=E. COLI; 8000=Revised Total Coliform Rule,12/18/2018,1,No,4,10/09/2018,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH4549612,Ground water,,05/17/2016,TNCWS,Licking,,0,,OH,09/27/2013,GW,N,,,39089,,0,0,1,0,0,0,Transient non-community system,11/06/2014,,,1,,,,270,,No,,Private,,,P,OH4549612,Active,No,4-H CAMP OHIO-CAMP,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110051257377,,09/27/2013,1,No,,05/17/2016,2
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH4549622,Ground water,3100=Coliform (TCR),09/02/2016,TNCWS,Licking,,0,2,OH,06/18/2014,GW,N,,,39089,,0,0,1,0,0,0,Transient non-community system,11/06/2014,,,1,,,,110,,No,,Private,,,P,OH4549622,Active,No,4-H CAMP OHIO-POOL,No,3,____________U,GW,0,0,0,A,0,0,,,No,1,No,0,110051257395,,06/18/2014,1,No,,09/02/2016,3
05,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH2632712,Ground water,8000=Revised Total Coliform Rule,09/22/2016,TNCWS,Fulton,,0,3,OH,04/09/2018,GW,N,,,39051,,1,0,1,1,1,0,Transient non-community system,09/22/2016,,,1,,,,156,,No,,Private,,,P,OH2632712,Active,No,4-H CAMP PALMER,No,1,________V___U,GW,0,1,0,A,0,0,1,,No,1,No,0,110051688768,,04/09/2018,1,No,,05/31/2007,1
05,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OH0735012,Ground water,8000=Revised Total Coliform Rule,08/25/2016,TNCWS,Belmont,,0,,OH,02/15/2011,GW,N,,,39013,,1,1,1,3,1,1,Transient non-community system,,,,1,,,,25,,Yes,8000=Revised Total Coliform Rule,Private,,,P,OH0735012,Active,No,4-H CAMP PIEDMONT PWS,No,2,_________VVVU,GW,0,1,0,A,0,1,,,No,0,No,0,110051580909,8000=Revised Total Coliform Rule,02/15/2011,1,No,,08/25/2016,2
