EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
06,No Violation,,,5,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK4002687,Ground water,8000=Revised Total Coliform Rule,06/25/2018,TNCWS,Grady,,0,26,OK,12/14/2018,GW,N,,,40051,,13,0,1,8,1,1,Transient non-community system,,,,2,,,,50,,No,8000=Revised Total Coliform Rule,Private,,,P,OK4002687,Active,No,4 STOP,No,2,____VVVVVVVVU,GW,0,1,0,A,0,0,13,,No,1,No,0,OK4002687,8000=Revised Total Coliform Rule,12/14/2018,1,No,,06/25/2018,2
06,No Violation,,,7,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK2006075,Ground water,3100=Coliform (TCR),03/29/2017,TNCWS,Payne,,0,3,OK,11/20/2014,GW,N,,,40119,,5,0,1,0,0,0,Transient non-community system,,,,4,,,,40,,No,,Private,,,P,OK2006075,Active,No,"4 T'S OF STILLWATER, LLC",No,5,____________U,GW,0,0,0,A,0,0,5,,No,1,No,0,110063357077,,11/20/2014,1,No,,03/29/2017,5
06,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK5001404,Ground water,1038=Nitrate-Nitrite,08/07/2018,TNCWS,Cleveland,,1,2,OK,02/13/2018,GW,N,,,40027,,5,0,1,8,1,1,Transient non-community system,,,,5,,,,26,,No,1038=Nitrate-Nitrite,Private,,,P,OK5001404,Active,No,5- K ENTERPRISES,No,8,____VVVVVVVVU,GW,0,1,0,A,0,0,5,,No,1,No,0,110052654025,,02/13/2018,1,No,,08/07/2018,7
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK3006003,Surface water purchased,0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM,01/05/2017,CWS,Payne,07/24/2009,0,2,OK,09/14/2018,SW,N,,,40119,,1,0,1,1,1,0,Community water system,,,,3,,,,2500,,No,0999=Chlorine,Local government,,,L,OK3006003,Active,No,51 EAST WATER,No,3,__________V_U,SWP,0,1,0,A,0,0,1,,No,1,No,0,110012838215,,09/14/2018,1,No,,01/05/2017,3
06,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK6005588,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,01/18/2018,TNCWS,Oklahoma,,0,23,OK,11/15/2018,GW,N,,,40109,,10,6,1,8,1,2,Transient non-community system,,,,3,,,,26,,Yes,3014=E. COLI; 8000=Revised Total Coliform Rule,Private,,,P,OK6005588,Active,No,66 LAKE STOP,No,4,____VVVVVVVVU,GW,0,2,0,A,0,1,4,,No,1,No,0,110051860143,3014=E. COLI,11/15/2018,1,No,,01/18/2018,4
06,In Violation,,05/17/2012,8,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK5005548,Ground water,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,12/28/2017,CWS,Oklahoma,,0,7,OK,11/17/2017,GW,N,,,40109,,3,0,1,12,1,1,Community water system,,,,6,,,,175,,Yes,5000=Lead and Copper Rule,Private,,05/17/2012,P,OK5005548,Active,No,ABES RV PARK,No,8,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,3,,No,1,No,0,110012833577,5000=Lead and Copper Rule,11/17/2017,1,No,,12/28/2017,8
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK4001492,Ground water,3014=E. COLI; 8000=Revised Total Coliform Rule,06/22/2016,NTNCWS,Cleveland,,0,4,OK,08/18/2017,GW,N,,,40027,,2,0,1,8,1,0,Non-Transient non-community system,,,,4,,,,87,,No,8000=Revised Total Coliform Rule,Native American,,,N,OK4001492,Active,No,ABSENTEE SHAWNEE HEALTH CENTER,No,4,VVVVVVVV____U,GW,0,2,0,A,0,0,2,,No,1,No,0,110022320727,,08/18/2017,1,No,,06/22/2016,4
06,In Violation,,,5,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=062001458,Ground water,"1005=Arsenic; 1038=Nitrate-Nitrite; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2456=Total Haloacetic Acids (HAA5); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2950=TTHM; 2959=Chlordane; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule",10/26/2016,NTNCWS,,09/06/2017,0,13,OK,,GW,Y,,,40,10/26/2016,16,3,1,12,1,3,Non-Transient non-community system,,,,1,,,,775,,Yes,"2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2959=Chlordane; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule",Native American,,,N,062001458,Active,No,ABSENTEE SHAWNEE LITTLE AXE SOUTH CASINO,No,1,VVVVVVVVVVVVU,GW,0,4,0,A,0,1,13,,Yes,1,No,0,110063340399,7500=Public Notice,09/06/2017,1,Yes,,,1
06,No Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=062001459,Ground water,,06/28/2018,TNCWS,,,0,,OK,,GW,Y,,,40,06/28/2018,0,0,1,0,0,0,Transient non-community system,,,,1,,,,155,,No,,Native American,,,N,062001459,Active,No,ABSENTEE SHAWNEE TRIBAL YOUTH CAMP,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,062001459,,,1,No,,,1
06,In Violation,,05/01/2002,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OK4006359,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,08/20/2018,TNCWS,Pottawatomie,,1,8,OK,10/17/2017,GW,N,,,40125,,4,1,1,10,1,1,Transient non-community system,,,,5,,,,25,,Yes,8000=Revised Total Coliform Rule,Private,,05/01/2002,P,OK4006359,Active,No,ABUELITA ROSAS,No,6,VVVVVVVVV__VU,GW,0,3,0,A,0,1,3,,No,1,No,0,110051898844,8000=Revised Total Coliform Rule,10/17/2017,1,No,,08/20/2018,5
