EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0563105,Ground water,1041=Nitrite,,NTNCWS,Salinas Municipio,,0,1,PR,06/13/2014,GW,N,,,72123,,0,0,1,0,0,0,Non-Transient non-community system,,,SALINAS,,,,,140,,No,,Private,,,P,PR0563105,Active,No,A.E.E. AGUIRRE CICLO COMBINADO,No,0,_____________,GW,0,0,0,A,0,0,,,No,1,No,0,110000307800,,06/13/2014,0,No,,09/25/2013,1
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0563065,Ground water,3100=Coliform (TCR),08/09/2016,NTNCWS,"Guayama Municipio, Salinas Municipio",04/24/1998,0,,PR,08/13/2004,GW,N,,,"72057, 72123",,0,0,1,1,1,0,Non-Transient non-community system,,,SALINAS,1,,,,257,,No,,Private,,,P,PR0563065,Active,No,A.E.E. AGUIRRE TERMOELECTRICA,No,1,V____________,GW,0,1,0,A,0,0,,,No,0,No,0,110000307800,,08/13/2004,1,No,,08/09/2016,1
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0209122,Ground water,2067=Heptachlor epoxide; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM,10/02/2018,NTNCWS,Barceloneta Municipio,,0,1,PR,06/24/2015,GW,N,,,72017,,1,0,1,0,0,0,Non-Transient non-community system,,,BARCELONETA,2,,,,490,,No,,Private,,,P,PR0209122,Active,No,ABBOTT PHARMACEUTICALS PR LTD.,No,1,_____________,GW,0,0,0,A,0,0,1,,No,1,No,0,110007806188,,06/24/2015,1,No,,10/02/2018,2
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0209032,Ground water,2456=Total Haloacetic Acids (HAA5); 2950=TTHM,09/28/2018,NTNCWS,Barceloneta Municipio,,0,1,PR,06/24/2015,GW,N,,,72017,,1,0,1,0,0,0,Non-Transient non-community system,,,BARCELONETA,2,,,,935,,No,,Private,,,P,PR0209032,Active,No,ABBVIE NORTE INC.,No,1,_____________,GW,0,0,0,A,0,0,1,,No,1,No,0,110007806188,,06/24/2015,1,No,,09/28/2018,2
02,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0458334,Ground water,3100=Coliform (TCR),,NTNCWS,Ponce Municipio,,0,,PR,11/15/2010,GW,N,,,72113,,0,0,1,0,0,0,Non-Transient non-community system,,,PONCE,,,,,323,,No,,Local government,,,L,PR0458334,Active,No,ACADEMIA RAMOS MORALES,No,0,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110052596954,,11/15/2010,0,No,,07/08/2011,
02,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0458264,Ground water,3100=Coliform (TCR),08/29/2015,CWS,Ponce Municipio,,0,,PR,09/30/2010,GW,N,,,72113,,2,0,1,12,1,1,Community water system,,,PONCE,1,,,,320,,Yes,3100=Coliform (TCR),Local government,1,,L,PR0458264,Active,No,ACD. COMUNAL RIO CHIQUITO,No,1,VVVVVVVVVVVVV,GW,0,1,0,A,0,1,2,,No,0,No,0,110047973387,,09/30/2010,1,No,,08/29/2015,1
02,In Violation,01/20/2012,01/20/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0476224,Surface water,0200=Surface Water Treatment Rule; 3100=Coliform (TCR),08/15/2018,CWS,Villalba Municipio,05/07/2012,0,1,PR,08/11/2015,SW,N,,,72149,,40,15,1,12,1,2,Community water system,,,VILLALBA,2,,15,,69,,Yes,0200=Surface Water Treatment Rule; 3100=Coliform (TCR),Private,,09/03/1992,P,PR0476224,Active,Yes,ACEITUNA I,No,2,SSSSSSSSVVVVV,SW,0,2,8,A,0,1,25,,No,1,No,0,110013055861,0200=Surface Water Treatment Rule,08/11/2015,1,No,,08/15/2018,2
02,In Violation,07/06/2006,07/06/2006,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0476234,Surface water,0200=Surface Water Treatment Rule; 3100=Coliform (TCR),05/10/2016,CWS,Villalba Municipio,05/07/2012,0,1,PR,08/11/2015,SW,N,,,72149,,40,15,1,12,1,2,Community water system,,,VILLALBA,1,,10,,132,,Yes,0200=Surface Water Treatment Rule; 3100=Coliform (TCR),Private,,,P,PR0476234,Active,Yes,ACEITUNA II,No,1,SSSSSSSSVVVVV,SW,0,2,8,A,0,1,25,,No,1,No,0,110010615076,0200=Surface Water Treatment Rule,08/11/2015,1,No,,05/10/2016,1
02,In Violation,01/20/2012,01/20/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0476324,Surface water,0200=Surface Water Treatment Rule; 3100=Coliform (TCR),06/14/2016,CWS,Villalba Municipio,05/07/2012,0,1,PR,08/11/2015,SW,N,,,72149,,35,10,1,12,1,2,Community water system,,,VILLALBA,1,,10,,36,,Yes,0200=Surface Water Treatment Rule; 3100=Coliform (TCR),Private,,,P,PR0476324,Active,Yes,ACEITUNA III,No,1,SSSSSSSSVVVVV,SW,0,2,8,A,0,1,25,,No,1,No,0,110012961358,0200=Surface Water Treatment Rule,08/11/2015,1,No,,06/14/2016,1
02,In Violation,,08/08/2016,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=PR0004654,Surface water,0100=Turbidity; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3014=E. COLI; 3015=Cryptosporidium; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,06/13/2014,CWS,Villalba Municipio,,0,7,PR,08/13/2018,SW,N,,,72149,,44,4,1,12,1,2,Community water system,,30,VILLALBA,1,,,,11095,,Yes,0100=Turbidity; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3014=E. COLI; 3015=Cryptosporidium; 5000=Lead and Copper Rule,Local government,,08/08/2016,L,PR0004654,Active,No,ACEITUNAS,No,1,VVVVSSSSVVSVV,SW,0,3,5,A,1,1,10,,No,1,No,0,110047697480,5000=Lead and Copper Rule,08/13/2018,1,No,3,06/13/2014,1
