EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
01,No Violation,,,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980147,Ground water,,03/17/2014,TNCWS,Newport,,,,RI,11/18/2009,GW,N,,,44005,,0,0,1,0,0,0,Transient non-community system,,,LITTLE COMPTON,1,,,,68,,No,,Private,,,P,RI2980147,Active,No,A-1 PIZZA,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,11/18/2009,1,No,,03/17/2014,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI1000009,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,03/28/2017,CWS,Providence,,,9,RI,03/16/2017,GW,N,,,44007,,11,0,1,1,1,0,Community water system,,,FOSTER,2,,,,45,,No,8000=Revised Total Coliform Rule,Private,1,,P,RI1000009,Active,No,"ABBEY LANE COMMUNITY ASSN., INC.",No,4,____V_______U,GW,0,1,0,A,0,0,11,,No,1,No,0,,03/16/2017,1,No,,03/28/2017,4
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2973111,Ground water,3100=Coliform (TCR),06/14/2017,TNCWS,Washington,,,4,RI,04/11/2014,GW,N,,,44009,,0,0,1,0,0,0,Transient non-community system,,,NEW SHOREHAM,1,,,,186,,No,,Private,,,P,RI2973111,Active,No,"ABM, INC.DBA THE ATLANTIC INN",No,1,____________U,GW,0,0,0,A,0,0,,,No,1,No,0,,04/11/2014,1,No,,06/14/2017,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2000077,Ground water,,07/01/2014,TNCWS,Newport,,,,RI,03/05/2010,GW,N,,,44005,,0,0,1,0,0,0,Transient non-community system,,,LITTLE COMPTON,1,,,,110,,No,,Private,,,P,RI2000077,Active,No,ABRAHAM MANCHESTER RESTAURANT & TAVERN,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,03/05/2010,1,No,,07/01/2014,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980002,Ground water,0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3100=Coliform (TCR),07/24/2018,NTNCWS,Washington,,,17,RI,10/16/2014,GW,N,,,44009,,7,0,1,0,0,0,Non-Transient non-community system,,,NORTH KINGSTOWN,1,,,,70,,No,,Private,,,P,RI2980002,Active,No,ADCARE RHODE ISLAND INC,No,1,____________U,GW,0,0,0,A,0,0,7,,No,1,No,0,,10/16/2014,1,No,,07/24/2018,1
01,No Violation,,08/06/2009,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2943219,Ground water,3100=Coliform (TCR),02/15/2011,TNCWS,Providence,,,4,RI,10/16/2015,GW,N,,,44007,,1,0,1,0,0,0,Transient non-community system,,,GLOCESTER,,,,,50,,No,,Private,,08/06/2009,P,RI2943219,Active,No,ADLER BROTHERS DEVELOPMENT,No,,____________U,GW,0,0,0,A,0,0,1,,No,1,No,0,,10/16/2015,0,No,,02/15/2011,
01,No Violation,,02/02/1998,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980004,Ground water,,07/26/2018,TNCWS,Providence,,,,RI,02/11/1998,GW,N,,,44007,,0,0,1,0,0,0,Transient non-community system,,,GLOCESTER,2,,,,155,,No,,Private,,02/02/1998,P,RI2980004,Active,No,AEGEAN PIZZA & CREAMERY,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,02/11/1998,1,No,,07/26/2018,2
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2943218,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,05/04/2016,TNCWS,Providence,,,17,RI,09/18/2017,GW,N,,,44007,,5,0,1,5,1,0,Transient non-community system,,,GLOCESTER,1,,,,100,,No,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Private,,,P,RI2943218,Active,No,AGIOS INC DBA THE GENTLEMAN FARMER REST.,No,1,VVVV__V_____U,GW,0,3,0,A,0,0,5,,No,1,No,0,,09/18/2017,1,No,,05/04/2016,1
01,No Violation,,01/30/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980039,Ground water,3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,12/18/2018,TNCWS,Washington,,,24,RI,01/30/2018,GW,N,,,44009,,19,0,1,2,1,0,Transient non-community system,,14,CHARLESTOWN,1,,,,40,,No,8000=Revised Total Coliform Rule,Private,,01/30/2018,P,RI2980039,Active,No,"ALBACO,L.L.C.   (A.K.A. SHORELINE PLAZA)",No,4,_______SV___U,GW,0,2,1,A,1,0,5,,No,1,No,0,,01/30/2018,1,No,1,12/18/2018,4
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980295,Ground water,3100=Coliform (TCR),10/24/2018,TNCWS,Providence,,,8,RI,04/22/2015,GW,N,,,44007,,1,0,1,0,0,0,Transient non-community system,,,GLOCESTER,1,,,,450,,No,,Private,,,P,RI2980295,Active,No,"ALLIED REALTY ASSOCIATES, LLC",No,3,____________U,GW,0,0,0,A,0,0,1,,No,1,No,0,,04/22/2015,1,No,,10/24/2018,3
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2087020,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,06/20/2017,TNCWS,Washington,,,6,RI,02/23/2018,GW,N,,,44009,,2,0,1,3,1,0,Transient non-community system,,,NORTH KINGSTOWN,1,,,,500,,No,8000=Revised Total Coliform Rule,Private,,,P,RI2087020,Active,No,"ALLIES DONUTS, INC.",No,1,_______VVV__U,GW,0,1,0,A,0,0,2,,No,1,No,0,,02/23/2018,1,No,,06/20/2017,1
01,In Violation,,06/01/1999,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2051719,Ground water,5000=Lead and Copper Rule,05/12/2014,NTNCWS,Providence,,,2,RI,02/01/2018,GW,N,,1,44007,,6,5,1,12,1,1,Non-Transient non-community system,,,CRANSTON,1,0,5,,200,1,No,5000=Lead and Copper Rule,Private,,06/01/1999,P,RI2051719,Active,Yes,ALPINE COUNTRY CLUB,No,1,VVVVVVVVVVVVU,GW,0,1,0,A,0,1,1,0,No,1,No,0,5000=Lead and Copper Rule,02/01/2018,1,No,,05/12/2014,1
01,In Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2519426,Ground water,5000=Lead and Copper Rule,02/08/2018,CWS,Kent,,,4,RI,11/19/2018,GW,N,,,44003,,1,1,1,1,1,1,Community water system,,,COVENTRY,2,,,,105,,Yes,5000=Lead and Copper Rule,Private,,,P,RI2519426,Active,No,ALPINE NURSING HOME,No,2,___________VU,GW,0,1,0,A,0,1,,,No,1,No,0,5000=Lead and Copper Rule,11/19/2018,1,No,,02/08/2018,2
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980465,Ground water,,11/14/2018,TNCWS,Newport,,,,RI,,GW,N,,,44005,,0,0,1,0,0,0,Transient non-community system,,,TIVERTON,1,,,,25,,No,,Private,,,P,RI2980465,Active,No,AMICABLE CONGREGATIONAL CHURCH,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,11/14/2018,2
01,No Violation,,09/20/2010,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980151,Ground water,,03/08/2016,TNCWS,Washington,,,,RI,09/20/2010,GW,N,,,44009,,0,0,1,0,0,0,Transient non-community system,,,RICHMOND,1,,,,64,,No,,Private,,09/20/2010,P,RI2980151,Active,No,"ANDREWS REALTY, INC. DBA RICHMOND PLAZA",No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/20/2010,1,No,,03/08/2016,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980336,Ground water,,06/28/2016,TNCWS,Washington,,,,RI,09/28/2011,GW,N,,,44009,,0,0,1,0,0,0,Transient non-community system,,,CHARLESTOWN,1,,,,100,,No,,Private,,,P,RI2980336,Active,No,"ARROWHEAD DENTAL ASSOCIATES, INC.",No,3,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/28/2011,1,No,,06/28/2016,3
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI1858417,Ground water,,10/02/2018,NTNCWS,Washington,,,,RI,07/11/2007,GW,N,,,44009,,0,0,1,0,0,0,Non-Transient non-community system,,,HOPKINTON,1,,,,300,,No,,Local government,,,L,RI1858417,Active,No,ASHAWAY ELEMENTARY SCHOOL,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,07/11/2007,1,No,,10/02/2018,1
01,In Violation,,02/05/2008,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI1858415,Ground water,"2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2043=Aldicarb sulfoxide; 2044=Aldicarb sulfone; 2046=Carbofuran; 2047=Aldicarb; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2959=Chlordane; 5000=Lead and Copper Rule",09/11/2018,NTNCWS,Washington,,,8,RI,10/17/2018,GW,N,,,44009,,3,2,1,5,1,2,Non-Transient non-community system,,,HOPKINTON,1,,,,50,,Yes,"2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2043=Aldicarb sulfoxide; 2044=Aldicarb sulfone; 2046=Carbofuran; 2047=Aldicarb; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2959=Chlordane; 5000=Lead and Copper Rule",Private,,02/05/2008,P,RI1858415,Active,No,ASHAWAY LINE & TWINE MFG. CO.-LOWER MILL,No,1,_VV______VVVU,GW,0,2,0,A,0,1,1,,No,1,No,0,5000=Lead and Copper Rule,10/17/2018,1,No,,09/11/2018,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI1000044,Ground water,,09/11/2018,TNCWS,Washington,,,,RI,06/15/2012,GW,N,,,44009,,0,0,1,0,0,0,Transient non-community system,,,HOPKINTON,1,,,,25,,No,,Private,,,P,RI1000044,Active,No,ASHAWAY LINE & TWINE MFG. CO.-UPPER MILL,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,06/15/2012,1,No,,09/11/2018,1
01,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2980460,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,06/17/2014,TNCWS,Washington,,,8,RI,04/30/2018,GW,N,,,44009,,2,0,1,1,1,0,Transient non-community system,,,HOPKINTON,1,,,,150,,No,,Private,,,P,RI2980460,Active,No,ASHAWAY RV RESORT,No,1,_________V__U,GW,0,1,0,A,0,0,2,,No,1,No,0,,04/30/2018,1,No,,06/17/2014,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2519429,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,05/08/2018,TNCWS,Kent,,,12,RI,09/19/2016,GW,N,,,44003,,3,0,1,2,1,0,Transient non-community system,,,COVENTRY,1,,,,50,,No,8000=Revised Total Coliform Rule,Private,,,P,RI2519429,Active,No,AYOHO CAMPGROUND,No,1,_VV_________U,GW,0,1,0,A,0,0,3,,No,1,No,0,,09/19/2016,1,No,,05/08/2018,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=RI2428717,Ground water,,03/02/2016,TNCWS,Washington,,,,RI,,GW,N,,,44009,,0,0,1,0,0,0,Transient non-community system,,,HOPKINTON,1,,,,50,,No,,Private,,,P,RI2428717,Active,No,BACK IN THYME,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,03/02/2016,1
