EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC2972002,Ground water,,04/02/2018,TNCWS,Kershaw,,2,,SC,,GW,N,,,45055,,0,0,1,0,0,0,Transient non-community system,,,KERSHAW,1,,,,26,,No,,Private,,,P,SC2972002,Active,No,341 BAR & GRILL (SC2972002),No,3,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,SC2972002,,,1,No,,04/02/2018,1
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC2174000,Ground water,,03/20/2018,TNCWS,Florence,,1,,SC,,GW,N,,,45041,,0,0,1,0,0,0,Transient non-community system,,,LAKE CITY,2,,,,25,,No,,Private,,,P,SC2174000,Active,No,341 EXPRESS (2174000),No,3,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110067292496,,,1,No,,03/20/2018,2
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC4570950,Ground water,8000=Revised Total Coliform Rule,10/18/2018,TNCWS,Williamsburg,,1,1,SC,08/20/2018,GW,N,,,45089,,1,1,1,5,1,1,Transient non-community system,,,GREELEYVILLE,2,,,,25,,Yes,8000=Revised Total Coliform Rule,Private,,,P,SC4570950,Active,No,4 WAY STOP (4570950),No,3,________VVVVV,GW,0,1,0,A,0,1,,,No,1,No,0,110052887989,,08/20/2018,1,No,,10/18/2018,2
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3250104,Ground water,3014=E. COLI,08/09/2018,CWS,Lexington,,0,2,SC,10/17/2018,GW,N,,,45063,,1,1,1,4,1,1,Community water system,,,LEXINGTON,3,,,,80,,Yes,3014=E. COLI,Private,,,P,SC3250104,Active,No,AAA CHASEHUNT FARMS (3250104),No,3,_________VVVV,GW,0,1,0,A,0,1,,,No,1,No,0,110016957952,3014=E. COLI,10/17/2018,1,No,,08/09/2018,3
04,No Violation,,09/30/2010,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3250024,Ground water,3014=E. COLI; 3100=Coliform (TCR),06/02/2017,CWS,Lexington,,0,11,SC,07/01/2016,GW,N,,,45063,,7,0,1,1,1,0,Community water system,,,BALLENTINE,2,,,9,50,,No,,Private,6,09/30/2010,P,SC3250024,Active,No,AAA HILTON SOUND (SC3250024),No,2,V____________,GW,0,1,0,A,0,0,7,,No,1,No,0,110008571553,,07/01/2016,1,No,,06/02/2017,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3250030,Surface water purchased,,11/27/2018,CWS,Lexington,,0,,SC,06/17/2004,SW,N,,,45063,,0,0,1,0,0,0,Community water system,,,GILBERT,3,,,,43,,No,,Private,,,P,SC3250030,Active,No,AAA LAKESIDE FOREST 2 (3250030),No,3,_____________,SWP,0,0,0,A,0,0,,,No,0,No,0,110048196493,,06/17/2004,1,No,,11/27/2018,3
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC4050004,Ground water,,06/02/2017,CWS,Richland,,0,,SC,04/13/2007,GW,N,,,45079,,0,0,1,0,0,0,Community water system,,,BALLENTINE,2,,,2,50,,No,,Private,,,P,SC4050004,Active,No,AAA LANDS POINT S/D (SC4050004),No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110002314585,,04/13/2007,1,No,,06/02/2017,2
04,No Violation,,04/04/2016,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3250014,Ground water,3100=Coliform (TCR),11/27/2018,CWS,Lexington,,0,11,SC,03/08/2016,GW,N,,,45063,,15,0,1,1,1,0,Community water system,,10,GILBERT,3,,,,134,,No,,Private,,04/04/2016,P,SC3250014,Active,No,AAA MURRAY HILL ESTATES (3250014),No,3,V____________,GW,0,1,0,A,1,0,5,,No,1,No,0,110008571606,,03/08/2016,1,No,2,11/27/2018,3
04,In Violation,,04/14/2010,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC4150007,Ground water,3014=E. COLI; 3100=Coliform (TCR),10/03/2018,CWS,Saluda,,0,7,SC,11/29/2018,GW,N,,,45081,,2,1,1,8,1,1,Community water system,,,LEESVILLE,6,,,,88,,Yes,3014=E. COLI,Private,,04/14/2010,P,SC4150007,Active,No,AAA PERRY WATER SYSTEM (4150007),No,6,_____VVVVVVVV,GW,0,1,0,A,0,1,1,,No,1,No,0,110008569502,3014=E. COLI,11/29/2018,1,No,,10/03/2018,6
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3270011,Ground water,,08/09/2018,CWS,Lexington,,0,,SC,12/30/2011,GW,N,,,45063,,0,0,1,0,0,0,Community water system,,,GASTON,3,,,,69,,No,,Private,,,P,SC3270011,Active,No,AAA RAPHA RESIDENTIAL CARE (3270011),No,3,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110002202214,,12/30/2011,1,No,,08/09/2018,3
