EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
08,No Violation,,11/09/2006,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602259,Ground water,,11/15/2017,CWS,Lawrence,,,,SD,01/31/2011,GW,N,"57754, 57785",,46081,,0,0,1,0,0,0,Community water system,06/24/2015,,"LEAD, STURGIS",2,,,,40,,No,,Private,,11/09/2006,P,SD4602259,Active,No,76 RANCH ESTATES,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,01/31/2011,1,No,,11/15/2017,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600020,Surface water,"2920=CARBON, TOTAL",08/05/2014,CWS,Brown,,,1,SD,07/15/2014,SW,N,"57401, 57402",,46013,,1,0,1,0,0,0,Community water system,,,ABERDEEN,1,,,,26091,,No,,Local government,,,L,SD4600020,Active,No,ABERDEEN,No,1,_____________,SW,0,0,0,A,0,0,1,,No,1,No,0,,07/15/2014,1,No,,08/05/2014,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600004,Ground water purchased,0700=Groundwater Rule,08/31/2016,CWS,Union,,,1,SD,11/30/2017,GW,N,57001,,46127,,1,0,1,1,1,0,Community water system,,,ALCESTER,1,,,,885,,No,,Local government,,,L,SD4600004,Active,No,ALCESTER,No,1,_______V_____,GWP,0,1,0,A,0,0,1,,No,1,No,0,,11/30/2017,1,No,,08/31/2016,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600062,Surface water purchased,0400=Stage 1 Disinfectants and Disinfection Byproducts Rule,07/22/2014,CWS,Hanson,,,1,SD,12/11/2014,SW,N,57311,,46061,,5,0,1,0,0,0,Community water system,,,ALEXANDRIA,1,,,,615,,No,,Local government,,,L,SD4600062,Active,No,ALEXANDRIA,No,1,_____________,SWP,0,0,0,A,0,0,5,,No,1,No,0,,12/11/2014,1,No,,07/22/2014,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690481,Surface water purchased,2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 3100=Coliform (TCR); 5000=Lead and Copper Rule,10/04/2016,CWS,,05/02/2012,,,SD,,SW,Y,,,46,10/04/2016,3,0,1,6,1,0,Community water system,,,,1,,,,420,,No,,Native American,,,N,084690481,Active,No,ALLEN WATER SYSTEM,No,1,VVVVVV______U,SWP,1,1,0,A,0,0,3,,No,0,No,0,,05/02/2012,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600025,Surface water purchased,0400=Stage 1 Disinfectants and Disinfection Byproducts Rule; 0999=Chlorine; 3100=Coliform (TCR),08/15/2017,CWS,Jerauld,,,5,SD,04/21/2014,SW,N,"57312, 57362",,46073,,5,0,1,0,0,0,Community water system,,,"ALPENA, MILLER",2,,,,286,,No,,Local government,,,L,SD4600025,Active,No,ALPENA,No,2,_____________,SWP,0,0,0,A,0,0,5,,No,1,No,0,,04/21/2014,1,No,,08/15/2017,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600615,Ground water,,08/24/2016,TNCWS,Pennington,,,,SD,07/06/2005,GW,N,57702,,46103,,0,0,1,0,0,0,Transient non-community system,08/25/2014,,RAPID CITY,1,,,,200,,No,,Private,,,P,SD4600615,Active,No,AMERICAN BUFFALO RESORT,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,07/06/2005,1,No,,08/24/2016,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=084690466,Surface water purchased,5000=Lead and Copper Rule,09/06/2017,CWS,,03/30/2011,,,SD,,SW,Y,,,46,09/06/2017,1,0,1,4,1,0,Community water system,,,,2,,,,300,,No,,Native American,,,N,084690466,Active,No,AMERICAN HORSE SCHOOL,No,2,__VVVV______U,SWP,1,1,0,A,0,0,1,,No,0,No,0,,03/30/2011,1,No,,,2
08,No Violation,,10/17/1989,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600030,Ground water purchased,1006=Chloramine,08/24/2016,CWS,Marshall,,,2,SD,02/25/2015,GW,N,"57421, 57430",,46091,,5,0,1,0,0,0,Community water system,08/24/2016,,"AMHERST, BRITTON",1,,,,35,,No,,Private,,10/17/1989,P,SD4600030,Active,No,AMHERST WATER COMPANY,No,1,_____________,GWP,0,0,0,A,0,0,5,,No,1,No,0,,02/25/2015,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4602318,Ground water,3100=Coliform (TCR),05/06/2015,CWS,Lawrence,,,2,SD,01/06/2016,GW,N,"57702, 75027",,46081,,2,0,1,2,1,0,Community water system,05/06/2015,,"FLOWER MOUND, RAPID CITY",1,,,,50,,No,,Private,,,P,SD4602318,Active,No,APPLE SPRINGS SUBDIVISION,No,1,VV___________,GW,0,1,0,A,0,0,2,,No,1,No,0,,01/06/2016,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600385,Ground water purchased,,03/16/2017,CWS,Kingsbury,,,,SD,02/20/2001,GW,N,57212,,46077,,0,0,1,0,0,0,Community water system,03/16/2017,,ARLINGTON,2,,,,915,,No,,Local government,,,L,SD4600385,Active,No,ARLINGTON,No,2,_____________,GWP,0,0,0,A,0,0,,,No,0,No,0,,02/20/2001,1,No,,,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600028,Surface water purchased,,08/09/2017,CWS,Douglas,,,,SD,01/19/2010,SW,N,57313,,46043,,0,0,1,0,0,0,Community water system,,,ARMOUR,2,,,,702,,No,,Local government,,,L,SD4600028,Active,No,ARMOUR,No,2,_____________,SWP,0,0,0,A,0,0,,,No,0,No,0,,01/19/2010,1,No,,08/09/2017,2
08,No Violation,,09/10/1990,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600058,Ground water purchased,,10/29/2015,CWS,Brookings,,,,SD,07/30/2007,GW,N,57002,,46011,,0,0,1,0,0,0,Community water system,10/29/2015,,AURORA,1,,,,850,,No,,Local government,,09/10/1990,L,SD4600058,Active,No,AURORA,No,1,_____________,GWP,0,0,0,A,0,0,,,No,0,No,0,,07/30/2007,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SD4600621,Surface water,=Not applicable,03/28/2017,CWS,"Aurora, Brule, Buffalo, Davison, Douglas, Jerauld",,,1,SD,02/10/2015,SW,N,57355,,"46003, 46015, 46017, 46035, 46043, 46073",,1,0,1,5,1,0,Community water system,,,KIMBALL,1,,,,2600,,No,,Private,,,P,SD4600621,Active,No,AURORA-BRULE RURAL WATER SYSTEM,No,1,VVVVV________,SW,0,1,0,A,0,0,1,,No,1,No,0,,02/10/2015,1,No,,03/28/2017,1
