EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001261,Ground water,,05/31/2018,TNCWS,Blount,,,,TN,04/30/2010,GW,N,,,47009,,0,0,1,0,0,0,Transient non-community system,05/31/2018,,,2,,,,68,,No,,Federal government,,,F,TN0001261,Active,No,ABRAMS CREEK CAMPGROUND,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,04/30/2010,1,No,,,2
04,Serious Violator,,11/13/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0004910,Ground water,3014=E. COLI; 8000=Revised Total Coliform Rule,09/01/2016,NTNCWS,Hickman,,,2,TN,12/19/2018,GW,N,,,47081,,11,11,1,12,1,2,Non-Transient non-community system,09/01/2016,,,2,,,1,90,,Yes,3014=E. COLI; 8000=Revised Total Coliform Rule,Private,1,11/13/2012,P,TN0004910,Active,Yes,ACCURATE ENERGETIC SYSTEMS,Yes,2,VVVVVVVVVVVSU,GW,0,2,1,A,0,1,,,No,1,No,1,3014=E. COLI; 8000=Revised Total Coliform Rule,12/19/2018,1,No,,,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0000002,Ground water,,04/25/2017,CWS,McNairy,,,,TN,06/28/2013,GW,N,,,47109,,0,0,1,0,0,0,Community water system,04/25/2017,,ADAMSVILLE,2,,,,8878,,No,,Local government,,,L,TN0000002,Active,No,ADAMSVILLE WATER SYSTEM,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,06/28/2013,1,No,,,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0004447,Ground water,,05/12/2015,TNCWS,Sevier,,,,TN,06/26/1990,GW,N,,,47155,,0,0,1,0,0,0,Transient non-community system,05/12/2015,,,1,,,,300,,No,,Private,,,P,TN0004447,Active,No,ADVENTURE BOUND CAMPING RESORT-GATLINBUR,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,06/26/1990,1,No,,,1
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0004408,Surface water,,08/16/2017,NTNCWS,Coffee,,,,TN,06/15/2011,SW,N,,,47031,,0,0,1,0,0,0,Non-Transient non-community system,08/16/2017,,,2,,,,2500,,No,,Federal government,2,,F,TN0004408,Active,No,AEDC COMPLEX-WATER PLANT,No,2,____________U,SW,0,0,0,A,0,0,,,No,0,No,0,,06/15/2011,1,No,,,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0004409,Groundwater under influence of surface water,,08/16/2017,TNCWS,Coffee,,,,TN,12/14/2001,SW,N,,,47031,,0,0,1,0,0,0,Transient non-community system,08/16/2017,,,2,,,,75,,No,,Federal government,,,F,TN0004409,Active,No,AEDC GOLF COURSE WATER SYSTEM,No,2,____________U,GU,0,0,0,A,0,0,,,No,0,No,0,,12/14/2001,1,No,,,2
04,No Violation,,10/05/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0001623,Ground water,,08/28/2018,TNCWS,Obion,,,,TN,11/01/2012,GW,N,,,47131,,0,0,1,0,0,0,Transient non-community system,08/28/2018,,,2,,,,30,,No,,Private,,10/05/2012,P,TN0001623,Active,No,ALAMO BAPTIST CHURCH,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,11/01/2012,1,No,,,2
04,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0000005,Ground water,0999=Chlorine; 3100=Coliform (TCR),12/11/2017,CWS,Crockett,,,2,TN,03/03/2014,GW,N,,,47033,,0,0,1,12,1,2,Community water system,12/11/2017,,ALAMO,2,,,,3175,,Yes,,Local government,,,L,TN0000005,Active,No,ALAMO WATER DEPARTMENT,No,2,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,,,No,1,No,0,,03/03/2014,1,No,,,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0000007,Surface water,2456=Total Haloacetic Acids (HAA5),11/29/2017,CWS,Blount,,,3,TN,08/10/2017,SW,N,,,47009,,5,0,1,2,1,0,Community water system,11/29/2017,,"ALCOA, MARYVILLE",2,,,,30123,,No,2456=Total Haloacetic Acids (HAA5),Local government,,,L,TN0000007,Active,No,ALCOA WATER SYSTEM,No,2,_____VV_____U,SW,0,1,0,A,0,0,5,,No,1,No,0,,08/10/2017,1,No,,,2
04,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TN0005097,Ground water,,06/28/2017,TNCWS,Campbell,,,,TN,09/01/2009,GW,N,,,47013,,0,0,1,0,0,0,Transient non-community system,06/28/2017,,,2,,,,100,,No,,Private,,,P,TN0005097,Active,No,ALDER SPRINGS VILLAGE,No,2,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/01/2009,1,No,,,2
