EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
06,In Violation,09/19/2012,07/11/2014,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX2140030,Ground water,0700=Groundwater Rule; 1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,09/28/2016,TNCWS,Starr,,0,40,TX,06/20/2018,GW,N,,,48427,,99,11,1,12,1,2,Transient non-community system,,82,,1,,9,,25,,No,0700=Groundwater Rule; 1040=Nitrate; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,07/11/2014,P,TX2140030,Active,Yes,1017 CAFE,No,1,VVVVVVVVVVVVV,GW,0,5,0,A,1,1,6,,Yes,1,No,0,110053012360,0700=Groundwater Rule; 7500=Public Notice,06/20/2018,1,Yes,1,09/28/2016,1
06,In Violation,09/27/2013,09/27/2013,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1520067,Ground water,1005=Arsenic; 1025=Fluoride; 5000=Lead and Copper Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,03/11/2016,CWS,Lubbock,07/27/1988,0,80,TX,02/07/2019,GW,N,,,48303,,112,95,1,12,1,2,Community water system,,2,,1,,90,,50,,No,1005=Arsenic; 1025=Fluoride; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,07/12/2010,P,TX1520067,Active,Yes,114TH STREET MOBILE HOME PARK,No,1,VVVVSVVVVVVVV,GW,0,4,1,A,0,1,15,,No,1,Yes,0,110048344163,1025=Fluoride; 7500=Public Notice,02/07/2019,1,No,,03/11/2016,1
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX0260049,Ground water purchased,0999=Chlorine; 3100=Coliform (TCR),01/11/2018,CWS,Burleson,,0,12,TX,04/12/2016,GW,N,,,48051,,5,0,1,3,1,0,Community water system,,,,2,,,,0,,No,3100=Coliform (TCR),Private,,,P,TX0260049,Active,No,130 REGIONAL WSC,No,2,VVV__________,GWP,0,1,0,A,0,0,5,,No,1,No,0,110049506236,,04/12/2016,1,No,,01/11/2018,2
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1011354,Ground water,,03/30/2016,TNCWS,Harris,,0,,TX,,GW,N,,,48201,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,100,,No,,Private,,,P,TX1011354,Active,No,1300 ALDINE MAIL ROUTE OFFICE PARK,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,110052630550,,,1,No,,03/30/2016,1
06,In Violation,,01/02/2014,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1012765,Ground water,0999=Chlorine; 5000=Lead and Copper Rule,11/30/2018,NTNCWS,Harris,04/28/1992,0,4,TX,10/16/2018,GW,N,,,48201,,4,1,1,6,1,2,Non-Transient non-community system,,2,,1,,,,25,,Yes,0999=Chlorine; 5000=Lead and Copper Rule,Private,,01/02/2014,P,TX1012765,Active,No,1350 HUGH ROAD WATER SYSTEM,No,1,_______VVVVVV,GW,0,2,0,A,1,1,1,,No,1,No,0,110052825109,5000=Lead and Copper Rule,10/16/2018,1,No,1,11/30/2018,1
06,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1012239,Ground water,5000=Lead and Copper Rule; 7500=Public Notice,05/02/2016,NTNCWS,Harris,,0,18,TX,03/08/2019,GW,N,,3,48201,,21,19,1,9,1,2,Non-Transient non-community system,,,,1,0,,,48,3,Yes,5000=Lead and Copper Rule; 7500=Public Notice,Private,1,,P,TX1012239,Active,Yes,14200 STUEBNER AIRLINE OFFICE WAREHOUSE,Yes,1,VVVV____VVSSV,GW,0,2,2,A,0,1,2,0,Yes,1,Yes,1,110052787882,5000=Lead and Copper Rule; 7500=Public Notice,03/08/2019,1,Yes,,05/02/2016,1
06,No Violation,,08/25/2010,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1013173,Surface water purchased,0999=Chlorine; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule,,NTNCWS,Harris,,0,19,TX,10/05/2017,SW,N,,,48201,,7,0,1,7,1,0,Non-Transient non-community system,,,,,,,,450,,No,0999=Chlorine; 8000=Revised Total Coliform Rule,Federal government,,08/25/2010,F,TX1013173,Active,No,147TH T A N G,No,0,VVV_VVVV_____,SWP,0,2,0,A,0,0,7,,No,1,No,0,110052592271,,10/05/2017,0,No,,07/30/2013,
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1700580,Ground water,0999=Chlorine; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule,01/23/2017,CWS,Montgomery,,0,8,TX,02/09/2017,GW,N,,,48339,,4,0,1,3,1,0,Community water system,,,,2,,,,48,,No,,Private,,,P,TX1700580,Active,No,1485 LIMITED CRYSTAL SPRINGS WATER CO,No,2,__VVV________,GW,0,2,0,A,0,0,4,,No,1,No,0,110048995744,,02/09/2017,1,No,,01/23/2017,2
06,Serious Violator,,03/07/2018,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX1520279,Ground water,0999=Chlorine; 1025=Fluoride; 1040=Nitrate; 3014=E. COLI; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7500=Public Notice,09/20/2018,NTNCWS,Lubbock,,0,88,TX,03/21/2019,GW,N,,,48303,,132,104,1,12,1,4,Non-Transient non-community system,,20,,2,,95,,192,,Yes,0999=Chlorine; 1025=Fluoride; 1040=Nitrate; 3014=E. COLI; 5000=Lead and Copper Rule; 7500=Public Notice,Private,,03/07/2018,P,TX1520279,Active,Yes,1585 & FRANKFORD DISCOUNT RV STORAGE,Yes,3,VVVSSSSVVVVSV,GW,0,6,5,A,1,1,8,,Yes,1,Yes,1,110063355417,1025=Fluoride; 3014=E. COLI; 5000=Lead and Copper Rule; 7500=Public Notice,03/21/2019,1,Yes,2,09/20/2018,3
06,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=TX2370116,Ground water,,,TNCWS,Waller,,0,,TX,,GW,N,,,48473,,0,0,1,0,0,0,Transient non-community system,,,,,,,,25,,No,,Private,,,P,TX2370116,Active,No,2 K RESERVE,No,0,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,TX2370116,,,0,No,,,
