EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
08,No Violation,04/14/1997,04/14/1997,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH02001,Ground water,"0200=Surface Water Treatment Rule; 4000=Gross Alpha, Excl. Radon and U; 4020=Radium-226; 4030=Radium-228; 8000=Revised Total Coliform Rule",11/14/2016,CWS,Box Elder,10/01/1996,,26,UT,12/22/2017,GW,N,,,49003,,13,0,1,6,1,0,Community water system,,,,1,,,,880,,No,0200=Surface Water Treatment Rule,Private,,03/22/1995,P,UTAH02001,Active,No,ACME WATER COMPANY,No,1,V___VVVVV____,GW,0,3,0,A,0,0,13,,No,1,No,0,,12/22/2017,1,No,,11/14/2016,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH14007,Ground water,1040=Nitrate; 8000=Revised Total Coliform Rule,08/31/2016,TNCWS,Millard,,,10,UT,12/22/2017,GW,N,,,49027,,6,0,1,2,1,0,Transient non-community system,,,,1,,,,150,,No,,Federal government,,,F,UTAH14007,Active,No,ADELAIDE CAMPGROUND,No,1,_V_____V_____,GW,0,1,0,A,0,0,6,,No,1,No,0,,12/22/2017,1,No,,08/31/2016,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH18062,Ground water,1040=Nitrate; 3100=Coliform (TCR),09/20/2016,TNCWS,Salt Lake,,,6,UT,10/30/2016,GW,N,,,49035,,7,0,1,4,1,0,Transient non-community system,,,,1,,,,55,,No,,Federal government,,,F,UTAH18062,Active,No,ALBION BASIN CAMPGROUND,No,1,VVVV_________,GW,0,2,0,A,0,0,7,,No,1,No,0,,10/30/2016,1,No,,09/20/2016,1
08,In Violation,,09/30/1985,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH18052,Ground water,0200=Surface Water Treatment Rule; 1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,08/02/2016,TNCWS,Salt Lake,,,16,UT,04/18/2017,GW,N,,,49035,,14,0,1,12,1,1,Transient non-community system,,,,1,,,,340,,Yes,0200=Surface Water Treatment Rule; 3100=Coliform (TCR),Private,,09/30/1985,P,UTAH18052,Active,No,ALFS INN,No,1,VVVVVVVVVVVVV,GW,0,3,0,A,0,1,14,,No,1,No,0,,04/18/2017,1,No,,08/02/2016,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH25007,Ground water,0700=Groundwater Rule,10/16/2018,CWS,Utah,,,4,UT,01/30/2014,GW,N,,,49049,,0,0,1,0,0,0,Community water system,,,,2,,,,9500,,No,,Local government,,,L,UTAH25007,Active,No,ALPINE CITY,No,2,_____________,GW,0,0,0,A,0,0,,,No,1,No,0,,01/30/2014,1,No,,10/16/2018,2
08,Serious Violator,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH25124,Ground water,0700=Groundwater Rule; 1040=Nitrate; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule,07/12/2018,CWS,Utah,,,22,UT,02/14/2019,GW,N,,,49049,,19,6,1,12,1,2,Community water system,,,,2,,,,230,,No,0700=Groundwater Rule; 1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,,P,UTAH25124,Active,Yes,ALPINE COVE WATER SSD,Yes,2,VVVVVVVSSSSSV,GW,0,5,5,A,0,1,13,,Yes,1,Yes,1,0700=Groundwater Rule; 8000=Revised Total Coliform Rule,02/14/2019,1,No,,07/12/2018,2
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH18049,Ground water,"1074=Antimony, Total",08/04/2016,CWS,Salt Lake,07/20/1992,,,UT,11/17/2013,GW,N,,,49035,,0,0,1,0,0,0,Community water system,,,,1,,,,1397,,No,,Local government,,,L,UTAH18049,Active,No,ALTA TOWN WATER SYSTEM,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,11/17/2013,1,No,,08/04/2016,1
08,In Violation,12/03/1996,12/03/1996,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH13001,Ground water,"0700=Groundwater Rule; 1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule",08/18/2016,CWS,Kane,09/23/1996,,22,UT,02/03/2019,GW,N,,,49025,,22,5,1,12,1,2,Community water system,,,,1,,,,136,,Yes,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule",Local government,,,L,UTAH13001,Active,No,ALTON TOWN WATER SYSTEM,No,1,VVVVVVVSVVVVV,GW,0,7,1,A,0,1,17,,No,1,No,0,1040=Nitrate; 7000=Consumer Confidence Rule,02/03/2019,1,No,,08/18/2016,1
08,No Violation,,09/30/1985,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH03002,Ground water,"0200=Surface Water Treatment Rule; 1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 3100=Coliform (TCR); 4000=Gross Alpha, Excl. Radon and U; 4020=Radium-226; 4030=Radium-228; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule",09/10/2018,CWS,Cache,,,26,UT,04/22/2018,GW,N,,,49005,,24,0,1,10,1,0,Community water system,,,,2,,,,495,,No,0200=Surface Water Treatment Rule; 1040=Nitrate,Local government,,09/30/1985,L,UTAH03002,Active,No,AMALGA TOWN WATER SYSTEM,No,2,VVVVVVVVVV___,GW,0,5,0,A,0,0,24,,No,1,No,0,,04/22/2018,1,No,,09/10/2018,2
08,In Violation,,07/12/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=UTAH25008,Ground water,3014=E. COLI; 3100=Coliform (TCR),08/09/2018,CWS,Utah,,,8,UT,11/06/2015,GW,N,,,49049,,11,0,1,12,1,1,Community water system,,,,1,,,,29500,,No,,Local government,,07/12/2012,L,UTAH25008,Active,Yes,AMERICAN FORK CITY,No,4,VVVVVVVVVVVVV,GW,0,1,0,A,0,1,11,,No,1,No,0,,11/06/2015,1,No,,08/09/2018,4
