EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA4057255,Ground water,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,05/24/2017,TNCWS,Essex,,0,4,VA,10/25/2016,GW,N,,,51057,,6,0,1,4,1,0,Transient non-community system,,,,1,,,,50,,No,8000=Revised Total Coliform Rule,Private,,,P,VA4057255,Active,No,17 SOUTH,No,2,VVVV________U,GW,0,2,0,A,0,0,6,,No,1,No,0,110052996166,,10/25/2016,1,No,,05/24/2017,2
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA3810297,Ground water,8000=Revised Total Coliform Rule,11/03/2017,TNCWS,,,0,12,VA,12/20/2018,GW,N,,,51,,8,8,1,7,1,1,Transient non-community system,,,VIRGINIA BEACH,2,,,,125,,Yes,8000=Revised Total Coliform Rule,Private,,,P,VA3810297,Active,No,1715 HARPERS ROAD,No,2,_____VVVVVVVU,GW,0,1,0,A,0,1,,,No,1,No,0,110053007544,8000=Revised Total Coliform Rule,12/20/2018,1,No,,11/03/2017,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA6177377,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,03/26/2018,TNCWS,Spotsylvania,,0,10,VA,10/23/2017,GW,N,,,51177,,4,0,1,4,1,0,Transient non-community system,,,,3,,,,252,,No,8000=Revised Total Coliform Rule,Private,,,P,VA6177377,Active,No,208 VARIETY STORE,No,3,VV____VV____U,GW,0,2,0,A,0,0,4,,No,1,No,0,110050664731,,10/23/2017,1,No,,03/26/2018,3
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA1077411,Ground water,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,08/07/2018,TNCWS,Grayson,,0,6,VA,10/30/2018,GW,N,,,51077,,8,7,1,8,1,2,Transient non-community system,,,,3,,,,75,,Yes,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,VA1077411,Active,No,"21 GROCERY AND VALLEY DINER, LLC",No,3,____VVVVVVVVU,GW,0,2,0,A,0,1,1,,No,1,No,0,110052979229,8000=Revised Total Coliform Rule,10/30/2018,1,No,,08/07/2018,3
03,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA3131590,Ground water,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,09/01/2016,TNCWS,Northampton,,0,22,VA,12/20/2018,GW,N,,,51131,,16,13,1,8,1,2,Transient non-community system,,,,1,,,,30,,Yes,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,VA3131590,Active,No,21229 SOUTH BAYSIDE ROAD,Yes,1,____VVVVVSSSU,GW,0,2,3,A,0,1,3,,No,1,No,1,110053026694,8000=Revised Total Coliform Rule,12/20/2018,1,No,,09/01/2016,1
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA3001717,Ground water,3100=Coliform (TCR),01/25/2018,TNCWS,Accomack,,0,3,VA,02/02/2015,GW,N,,,51001,,1,0,1,0,0,0,Transient non-community system,,,,2,,,,100,,No,,Private,,,P,VA3001717,Active,No,25345 LANKFORD HIGHWAY (HAPPY BUFFET),No,2,____________U,GW,0,0,0,A,0,0,1,,No,1,No,0,110053011478,,02/02/2015,1,No,,01/25/2018,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA2065790,Ground water,8000=Revised Total Coliform Rule,11/07/2018,TNCWS,Fluvanna,,0,4,VA,07/19/2018,GW,N,,,51065,,2,0,1,4,1,0,Transient non-community system,,,,2,,,,110,,No,8000=Revised Total Coliform Rule,Private,,,P,VA2065790,Active,No,30 THOMAS JEFFERSON PARKWAY,No,4,____VV___VV_U,GW,0,1,0,A,0,0,2,,No,1,No,0,110052920693,,07/19/2018,1,No,,11/07/2018,4
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA4115515,Ground water,0700=Groundwater Rule; 1038=Nitrate-Nitrite; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,08/14/2018,TNCWS,Mathews,,0,14,VA,08/09/2016,GW,N,,,51115,,16,1,1,12,1,1,Transient non-community system,,,,2,,,,110,,No,7500=Public Notice; 8000=Revised Total Coliform Rule,Local government,,,L,VA4115515,Active,No,384 OLD FERRY ROAD,No,2,SSVVVVVVVSVVU,GW,0,4,3,A,0,1,15,,Yes,1,No,0,110049927488,7500=Public Notice,08/09/2016,1,Yes,,08/14/2018,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA3175850,Ground water,1038=Nitrate-Nitrite; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,10/23/2018,TNCWS,Southampton,07/28/2008,1,53,VA,04/19/2018,GW,N,,,51175,,25,0,1,11,1,1,Transient non-community system,,,,1,,,,50,,No,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,VA3175850,Active,No,460 CAFE AND FARMERS MARKET,No,3,_VVVVVVVSSSVU,GW,0,3,3,A,0,0,25,,No,1,No,0,110052922771,,04/19/2018,1,No,,10/23/2018,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA2003075,Ground water,,03/30/2017,NTNCWS,Albemarle,,0,,VA,09/14/2011,GW,N,,,51003,,0,0,1,0,0,0,Non-Transient non-community system,,,,3,,,,70,,No,,Private,1,,P,VA2003075,Active,No,"4F, LLC",No,4,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,110052767467,,09/14/2011,1,No,,03/30/2017,4
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VA5031980,Ground water,,03/16/2017,CWS,Campbell,,0,1,VA,07/17/2014,GW,N,,,51031,,0,0,1,0,0,0,Community water system,,,,3,,,,290,,No,,Private,,,P,VA5031980,Active,No,501 TRAILER COURT,No,3,____________U,GW,0,0,0,A,0,0,,,No,1,No,0,110012821571,,07/17/2014,1,No,,03/16/2017,3
